predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Ethnicity,Asian,2.78 [1.96-3.96],2.52 [1.76-3.59],2.57 [1.8-3.67],2.57 [1.8-3.67],2.63 [1.78-3.88],2.64 [1.78-3.93],2.81 [1.89-4.19],2.81 [1.89-4.19],2.82 [1.89-4.2],2.82 [1.89-4.2],2.83 [1.9-4.21],2.83 [1.9-4.22],2.84 [1.9-4.23],2.84 [1.9-4.23],2.88 [1.93-4.29],2.86 [1.92-4.26],2.86 [1.91-4.26],2.85 [1.91-4.25],2.85 [1.91-4.25],2.8 [1.87-4.17],2.78 [1.87-4.15],2.77 [1.86-4.14],2.77 [1.86-4.14],2.79 [1.87-4.17]
Ethnicity,Black,1.98 [1.19-3.3],2 [1.2-3.34],2 [1.2-3.33],2 [1.2-3.33],2.17 [1.24-3.77],2.29 [1.29-4.07],2.39 [1.34-4.25],2.39 [1.34-4.25],2.39 [1.34-4.27],2.39 [1.34-4.27],2.41 [1.35-4.29],2.41 [1.35-4.3],2.43 [1.36-4.33],2.42 [1.36-4.32],2.43 [1.36-4.33],2.46 [1.38-4.38],2.46 [1.38-4.38],2.45 [1.38-4.38],2.45 [1.37-4.37],2.46 [1.38-4.39],2.44 [1.37-4.36],2.43 [1.36-4.34],2.43 [1.36-4.34],2.52 [1.4-4.53]
Ethnicity,Mixed,0.98 [0.63-1.53],0.89 [0.57-1.39],0.88 [0.56-1.37],0.88 [0.56-1.37],0.8 [0.5-1.27],0.84 [0.53-1.34],0.86 [0.54-1.38],0.86 [0.54-1.38],0.87 [0.54-1.38],0.86 [0.54-1.38],0.87 [0.54-1.38],0.87 [0.54-1.39],0.86 [0.54-1.38],0.87 [0.54-1.39],0.88 [0.55-1.41],0.88 [0.55-1.41],0.88 [0.55-1.41],0.88 [0.55-1.41],0.88 [0.55-1.42],0.89 [0.55-1.42],0.89 [0.55-1.42],0.89 [0.55-1.42],0.89 [0.55-1.42],0.91 [0.57-1.47]
Ethnicity,Other,3.41 [1.77-6.58],3.23 [1.67-6.24],3.21 [1.66-6.21],3.21 [1.66-6.21],3.12 [1.56-6.27],3 [1.49-6.03],3.17 [1.57-6.37],3.17 [1.57-6.38],3.17 [1.57-6.38],3.17 [1.58-6.39],3.17 [1.58-6.39],3.18 [1.58-6.39],3.17 [1.57-6.38],3.18 [1.58-6.4],3.18 [1.58-6.4],3.12 [1.55-6.27],3.12 [1.55-6.28],3.11 [1.55-6.27],3.11 [1.54-6.25],3.05 [1.51-6.13],3.06 [1.52-6.17],3.07 [1.53-6.18],3.07 [1.53-6.19],3.21 [1.59-6.47]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.95 [0.84-1.07],0.95 [0.84-1.07],0.99 [0.87-1.11],0.99 [0.88-1.12],0.99 [0.88-1.12],1 [0.89-1.13],1.03 [0.91-1.17],1.03 [0.91-1.17],1.04 [0.91-1.17],1.04 [0.92-1.18],1.04 [0.92-1.18],1.04 [0.92-1.18],1.04 [0.92-1.18],1.04 [0.92-1.18],1.04 [0.92-1.18],1.05 [0.93-1.19],1.05 [0.92-1.19],1.05 [0.92-1.19],1.05 [0.92-1.19],1.05 [0.93-1.19],1.06 [0.93-1.2],1.06 [0.93-1.2],1.06 [0.93-1.2],1.08 [0.95-1.22]
BMI,Overweight,0.95 [0.85-1.06],0.98 [0.88-1.09],1.03 [0.93-1.16],1.03 [0.93-1.16],1.03 [0.93-1.16],1.03 [0.92-1.16],1.04 [0.93-1.16],1.04 [0.93-1.16],1.04 [0.93-1.16],1.04 [0.93-1.16],1.04 [0.93-1.17],1.04 [0.93-1.17],1.04 [0.93-1.17],1.04 [0.93-1.16],1.04 [0.93-1.17],1.04 [0.93-1.17],1.04 [0.93-1.17],1.04 [0.93-1.17],1.04 [0.93-1.17],1.04 [0.93-1.17],1.05 [0.94-1.17],1.05 [0.94-1.17],1.05 [0.94-1.17],1.06 [0.94-1.18]
BMI,Underweight,0.71 [0.43-1.17],0.71 [0.43-1.18],0.68 [0.41-1.12],0.66 [0.39-1.09],0.66 [0.39-1.09],0.69 [0.41-1.15],0.7 [0.42-1.17],0.7 [0.42-1.17],0.7 [0.42-1.17],0.7 [0.42-1.17],0.7 [0.42-1.18],0.7 [0.42-1.17],0.7 [0.41-1.17],0.7 [0.42-1.17],0.71 [0.42-1.19],0.7 [0.42-1.17],0.7 [0.42-1.17],0.7 [0.42-1.17],0.7 [0.42-1.17],0.71 [0.42-1.19],0.71 [0.42-1.2],0.72 [0.43-1.21],0.72 [0.43-1.21],0.73 [0.44-1.24]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.53 [0.45-0.63],0.52 [0.44-0.61],0.52 [0.44-0.61],0.53 [0.45-0.62],0.5 [0.42-0.59],0.5 [0.42-0.59],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.51 [0.43-0.61],0.52 [0.43-0.62],0.52 [0.44-0.62],0.52 [0.44-0.62],0.52 [0.43-0.62]
Ever smoker,Former cigarette smoker,0.9 [0.82-0.99],0.93 [0.84-1.02],0.94 [0.85-1.03],0.97 [0.88-1.07],0.94 [0.85-1.04],0.94 [0.85-1.04],0.94 [0.85-1.05],0.94 [0.85-1.05],0.94 [0.85-1.05],0.95 [0.85-1.05],0.95 [0.85-1.05],0.95 [0.85-1.05],0.95 [0.85-1.05],0.95 [0.85-1.05],0.94 [0.85-1.04],0.94 [0.85-1.04],0.94 [0.85-1.04],0.94 [0.85-1.04],0.94 [0.85-1.04],0.94 [0.85-1.04],0.94 [0.85-1.05],0.95 [0.85-1.05],0.95 [0.85-1.05],0.94 [0.85-1.04]
Ever smoker,Prefer not to say,0.7 [0.53-0.92],0.7 [0.53-0.92],0.7 [0.53-0.92],0.68 [0.52-0.91],0.85 [0.57-1.27],0.85 [0.57-1.27],0.87 [0.59-1.3],0.87 [0.59-1.3],0.87 [0.59-1.3],0.87 [0.58-1.29],0.87 [0.58-1.29],0.87 [0.58-1.29],0.87 [0.58-1.29],0.87 [0.58-1.29],0.87 [0.58-1.29],0.86 [0.58-1.28],0.86 [0.58-1.28],0.86 [0.58-1.29],0.86 [0.58-1.28],0.86 [0.58-1.28],0.86 [0.58-1.28],0.87 [0.58-1.29],0.87 [0.58-1.29],0.87 [0.58-1.3]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.56 [0.47-0.67],0.58 [0.48-0.69],0.57 [0.47-0.69],0.53 [0.44-0.65],0.54 [0.44-0.66],0.56 [0.46-0.69],0.56 [0.46-0.69],0.56 [0.45-0.69],0.57 [0.46-0.7],0.57 [0.46-0.71],0.57 [0.46-0.71],0.57 [0.46-0.7],0.57 [0.46-0.71],0.57 [0.46-0.7],0.57 [0.46-0.7],0.59 [0.47-0.73],0.58 [0.47-0.73],0.59 [0.47-0.73],0.59 [0.47-0.73],0.62 [0.5-0.77],0.63 [0.5-0.78],0.63 [0.51-0.79],0.63 [0.51-0.79],0.64 [0.51-0.8]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,1.59 [0.18-14.19],1.64 [0.18-14.71],1.63 [0.18-14.67],1.68 [0.19-15.15],1.67 [0.19-15.06],1.58 [0.18-14.27],1.76 [0.19-16],1.76 [0.19-16],1.75 [0.19-15.92],1.74 [0.19-15.86],1.75 [0.19-15.94],1.75 [0.19-15.96],1.75 [0.19-15.9],1.75 [0.19-15.95],1.75 [0.19-15.89],1.68 [0.18-15.32],1.67 [0.18-15.18],1.66 [0.18-15.15],1.66 [0.18-15.13],1.84 [0.2-17.09],1.87 [0.2-17.37],1.87 [0.2-17.33],1.87 [0.2-17.33],1.88 [0.2-17.35]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.87 [0.69-1.09],0.9 [0.72-1.14],0.94 [0.74-1.18],0.88 [0.7-1.11],0.85 [0.66-1.09],0.84 [0.65-1.09],0.92 [0.71-1.19],0.92 [0.71-1.19],0.92 [0.71-1.19],0.93 [0.71-1.2],0.93 [0.72-1.21],0.93 [0.72-1.2],0.93 [0.71-1.2],0.93 [0.71-1.2],0.93 [0.72-1.2],0.93 [0.72-1.21],0.93 [0.72-1.21],0.93 [0.72-1.21],0.94 [0.72-1.22],0.96 [0.74-1.24],0.96 [0.74-1.25],0.96 [0.74-1.24],0.96 [0.74-1.24],1.01 [0.77-1.31]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.75 [0.59-0.95],0.78 [0.61-0.99],0.79 [0.62-1.01],0.8 [0.62-1.02],0.83 [0.63-1.08],0.84 [0.64-1.1],0.91 [0.69-1.2],0.91 [0.69-1.2],0.91 [0.69-1.2],0.91 [0.69-1.2],0.92 [0.7-1.21],0.91 [0.69-1.2],0.91 [0.69-1.2],0.91 [0.69-1.2],0.92 [0.69-1.21],0.92 [0.69-1.21],0.92 [0.69-1.21],0.92 [0.69-1.21],0.92 [0.69-1.21],0.93 [0.71-1.23],0.94 [0.71-1.24],0.94 [0.71-1.25],0.94 [0.71-1.25],0.96 [0.72-1.26]
Hypertension (high blood pressure),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension (high blood pressure),1,0.92 [0.81-1.05],0.99 [0.87-1.13],1.01 [0.89-1.15],0.99 [0.87-1.13],0.96 [0.84-1.11],0.96 [0.83-1.1],0.97 [0.84-1.11],0.97 [0.84-1.11],0.97 [0.84-1.12],0.97 [0.84-1.12],0.97 [0.84-1.12],0.97 [0.84-1.12],0.98 [0.85-1.13],0.98 [0.85-1.13],0.98 [0.85-1.13],0.98 [0.85-1.13],0.98 [0.85-1.13],0.98 [0.85-1.13],0.98 [0.85-1.13],0.98 [0.85-1.13],0.99 [0.85-1.14],0.99 [0.86-1.14],0.99 [0.86-1.14],0.99 [0.86-1.15]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,1.11 [0.54-2.29],1.21 [0.58-2.49],1.24 [0.6-2.56],1.2 [0.58-2.49],1.14 [0.54-2.38],1.13 [0.54-2.4],1.24 [0.58-2.63],1.24 [0.59-2.64],1.25 [0.59-2.66],1.27 [0.6-2.69],1.27 [0.6-2.69],1.27 [0.6-2.69],1.26 [0.59-2.68],1.25 [0.59-2.66],1.24 [0.58-2.64],1.24 [0.58-2.65],1.25 [0.58-2.66],1.26 [0.59-2.69],1.28 [0.6-2.73],1.3 [0.6-2.79],1.3 [0.61-2.81],1.32 [0.61-2.83],1.32 [0.61-2.84],1.29 [0.59-2.79]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.59 [0.33-1.08],0.61 [0.33-1.11],0.59 [0.32-1.08],0.6 [0.33-1.12],0.63 [0.32-1.23],0.62 [0.32-1.21],0.66 [0.34-1.31],0.66 [0.34-1.31],0.66 [0.34-1.3],0.66 [0.34-1.3],0.67 [0.34-1.31],0.67 [0.34-1.31],0.67 [0.34-1.31],0.67 [0.34-1.32],0.69 [0.35-1.36],0.68 [0.35-1.34],0.68 [0.35-1.34],0.68 [0.35-1.35],0.68 [0.34-1.34],0.71 [0.36-1.4],0.73 [0.37-1.44],0.73 [0.37-1.45],0.73 [0.37-1.45],0.76 [0.38-1.51]
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,1.92 [0.8-4.63],1.84 [0.76-4.45],1.88 [0.77-4.54],1.75 [0.72-4.27],1.39 [0.56-3.46],1.58 [0.59-4.22],1.8 [0.67-4.86],1.8 [0.67-4.86],1.8 [0.67-4.84],1.8 [0.67-4.85],1.8 [0.67-4.85],1.79 [0.66-4.83],1.78 [0.66-4.81],1.78 [0.66-4.81],1.86 [0.69-5.04],1.8 [0.67-4.87],1.8 [0.67-4.88],1.81 [0.67-4.89],1.8 [0.67-4.87],1.97 [0.72-5.37],1.95 [0.72-5.32],1.92 [0.71-5.23],1.92 [0.71-5.23],2.03 [0.75-5.51]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,0.75 [0.52-1.1],0.7 [0.48-1.02],0.64 [0.44-0.94],0.62 [0.42-0.91],0.6 [0.39-0.92],0.6 [0.39-0.93],0.61 [0.4-0.94],0.61 [0.4-0.94],0.61 [0.4-0.94],0.61 [0.4-0.94],0.61 [0.4-0.95],0.61 [0.4-0.95],0.62 [0.4-0.96],0.61 [0.4-0.95],0.61 [0.4-0.95],0.62 [0.4-0.95],0.62 [0.4-0.95],0.62 [0.4-0.95],0.62 [0.4-0.95],0.64 [0.41-0.98],0.65 [0.42-1],0.65 [0.42-1.01],0.65 [0.42-1.01],0.64 [0.41-0.99]
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,0.77 [0.67-0.88],0.73 [0.64-0.84],0.72 [0.63-0.82],0.74 [0.64-0.85],0.73 [0.63-0.85],0.73 [0.63-0.85],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.65-0.88],0.76 [0.66-0.89],0.77 [0.66-0.9],0.77 [0.66-0.9],0.77 [0.66-0.9],0.8 [0.69-0.93]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Other lung condition,1,0.75 [0.51-1.1],0.82 [0.56-1.21],0.83 [0.57-1.22],0.83 [0.56-1.22],0.81 [0.54-1.22],0.87 [0.58-1.33],1.01 [0.66-1.54],1 [0.66-1.53],1 [0.66-1.53],1 [0.66-1.53],1 [0.66-1.53],1.01 [0.66-1.54],1 [0.66-1.53],1.01 [0.66-1.54],1.01 [0.66-1.54],1.04 [0.68-1.6],1.04 [0.68-1.6],1.05 [0.68-1.6],1.04 [0.68-1.6],1.09 [0.71-1.67],1.09 [0.71-1.67],1.11 [0.72-1.7],1.11 [0.72-1.7],1.15 [0.75-1.78]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.76 [0.48-1.21],0.84 [0.53-1.34],0.86 [0.54-1.38],0.86 [0.54-1.39],0.85 [0.52-1.39],0.85 [0.52-1.39],0.89 [0.54-1.46],0.89 [0.54-1.46],0.89 [0.54-1.46],0.89 [0.54-1.46],0.89 [0.54-1.46],0.88 [0.53-1.45],0.88 [0.54-1.45],0.88 [0.53-1.45],0.88 [0.53-1.45],0.88 [0.53-1.45],0.88 [0.53-1.45],0.88 [0.53-1.45],0.88 [0.53-1.45],0.92 [0.55-1.52],0.92 [0.56-1.53],0.92 [0.56-1.53],0.92 [0.56-1.53],0.93 [0.56-1.55]
Condition affecting the brain and nerves,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
