predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_vaccine_type,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Ethnicity,Mixed,1.51 [1.09-2.1],1.12 [0.81-1.57],1.12 [0.8-1.56],1.12 [0.8-1.56],1.12 [0.81-1.57],1.12 [0.79-1.57],1.14 [0.78-1.67],1.2 [0.81-1.75],1.21 [0.83-1.78],1.21 [0.82-1.78],1.23 [0.84-1.81],1.23 [0.83-1.8],1.22 [0.83-1.8],1.22 [0.83-1.79],1.22 [0.83-1.79],1.22 [0.83-1.79],1.22 [0.83-1.8],1.22 [0.83-1.8],1.22 [0.83-1.79],1.21 [0.82-1.77],1.21 [0.82-1.77],1.22 [0.83-1.79],1.21 [0.83-1.79],1.21 [0.82-1.78],1.21 [0.82-1.78],1.21 [0.82-1.78]
Ethnicity,Other,1.19 [0.94-1.51],1.12 [0.89-1.42],1.14 [0.9-1.45],1.14 [0.9-1.45],1.13 [0.89-1.44],1.09 [0.85-1.39],0.91 [0.71-1.18],0.92 [0.71-1.19],0.98 [0.75-1.26],0.96 [0.74-1.25],0.99 [0.76-1.28],0.99 [0.76-1.28],0.98 [0.76-1.27],0.98 [0.76-1.27],0.98 [0.76-1.27],0.98 [0.76-1.27],0.99 [0.76-1.28],0.99 [0.76-1.28],0.98 [0.76-1.28],0.97 [0.75-1.26],0.97 [0.75-1.26],0.95 [0.74-1.24],0.95 [0.74-1.24],0.95 [0.74-1.24],0.95 [0.74-1.24],0.96 [0.74-1.25]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,2.39 [2.18-2.63],2.12 [1.93-2.33],2.11 [1.92-2.32],2.11 [1.92-2.32],2.11 [1.92-2.32],2.12 [1.92-2.33],2.17 [1.95-2.41],2.19 [1.97-2.43],2.16 [1.94-2.4],2.16 [1.94-2.4],2.16 [1.94-2.4],2.16 [1.94-2.4],2.15 [1.94-2.4],2.16 [1.94-2.4],2.16 [1.94-2.4],2.16 [1.94-2.4],2.16 [1.94-2.4],2.17 [1.95-2.41],2.17 [1.95-2.41],2.16 [1.95-2.41],2.16 [1.95-2.41],2.16 [1.95-2.41],2.17 [1.95-2.41],2.17 [1.95-2.41],2.17 [1.95-2.41],2.18 [1.96-2.42]
Vaccine type,AstraZeneca/Oxford [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Vaccine type,Don't know,0.77 [0.5-1.18],0.74 [0.48-1.15],0.77 [0.5-1.19],0.79 [0.51-1.23],0.79 [0.5-1.23],0.79 [0.5-1.23],0.87 [0.52-1.48],0.95 [0.55-1.63],0.98 [0.57-1.69],0.97 [0.56-1.67],0.98 [0.57-1.69],0.98 [0.57-1.69],0.99 [0.57-1.7],0.99 [0.57-1.7],0.99 [0.57-1.7],0.99 [0.57-1.7],0.99 [0.57-1.7],0.98 [0.57-1.69],0.98 [0.57-1.69],0.98 [0.57-1.68],0.97 [0.57-1.67],0.96 [0.56-1.66],0.96 [0.56-1.65],0.97 [0.56-1.66],0.97 [0.56-1.66],0.98 [0.57-1.69]
Vaccine type,Moderna,1.64 [0.48-5.64],1.43 [0.42-4.92],1.43 [0.41-4.92],1.43 [0.41-4.92],1.5 [0.43-5.17],1.5 [0.43-5.17],1.93 [0.44-8.51],2.02 [0.46-8.91],2.03 [0.46-8.97],2 [0.45-8.83],2.06 [0.47-9.13],2.05 [0.46-9.05],2.03 [0.46-8.96],2.02 [0.46-8.92],2.01 [0.46-8.9],2.01 [0.46-8.89],2 [0.45-8.85],2.01 [0.45-8.88],2 [0.45-8.85],1.97 [0.45-8.72],1.97 [0.45-8.68],1.89 [0.43-8.33],1.89 [0.43-8.37],1.85 [0.42-8.18],1.85 [0.42-8.18],1.79 [0.4-7.9]
Vaccine type,Pfizer/BioNTech,3.78 [3.61-3.97],3.69 [3.51-3.87],3.67 [3.49-3.85],3.67 [3.49-3.85],3.67 [3.49-3.85],3.67 [3.49-3.85],3.64 [3.45-3.84],3.64 [3.45-3.84],3.63 [3.44-3.83],3.63 [3.44-3.83],3.63 [3.45-3.83],3.63 [3.44-3.83],3.63 [3.44-3.83],3.63 [3.44-3.83],3.63 [3.44-3.83],3.63 [3.44-3.83],3.63 [3.44-3.83],3.63 [3.44-3.83],3.63 [3.44-3.83],3.63 [3.44-3.83],3.63 [3.44-3.82],3.61 [3.42-3.81],3.61 [3.42-3.81],3.61 [3.42-3.81],3.61 [3.42-3.81],3.8 [3.59-4.02]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.73 [0.69-0.78],0.69 [0.65-0.73],0.71 [0.66-0.75],0.71 [0.67-0.76],0.7 [0.66-0.75],0.7 [0.66-0.75],0.7 [0.66-0.75],0.7 [0.66-0.75],0.72 [0.68-0.77],0.72 [0.68-0.77],0.75 [0.7-0.8],0.75 [0.7-0.8],0.74 [0.69-0.79],0.74 [0.69-0.79],0.74 [0.69-0.79],0.74 [0.69-0.79],0.74 [0.69-0.79],0.74 [0.69-0.79],0.74 [0.69-0.79],0.74 [0.69-0.79],0.74 [0.69-0.79],0.73 [0.69-0.79],0.74 [0.69-0.79],0.74 [0.69-0.79],0.74 [0.69-0.79],0.74 [0.69-0.79]
BMI,Overweight,0.81 [0.77-0.86],0.82 [0.78-0.87],0.86 [0.81-0.91],0.86 [0.81-0.91],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.8-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9],0.86 [0.82-0.91],0.86 [0.81-0.91],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.8-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.81-0.9]
BMI,Underweight,0.84 [0.68-1.05],0.84 [0.67-1.04],0.78 [0.63-0.97],0.79 [0.63-0.98],0.8 [0.64-0.99],0.79 [0.63-1],0.79 [0.63-1],0.81 [0.64-1.01],0.84 [0.67-1.05],0.88 [0.7-1.1],0.87 [0.69-1.09],0.87 [0.69-1.09],0.87 [0.69-1.1],0.87 [0.69-1.1],0.87 [0.69-1.1],0.87 [0.69-1.1],0.88 [0.7-1.1],0.87 [0.69-1.1],0.88 [0.7-1.11],0.88 [0.7-1.1],0.88 [0.7-1.11],0.88 [0.7-1.11],0.88 [0.7-1.11],0.88 [0.7-1.11],0.88 [0.7-1.11],0.88 [0.7-1.11]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.77 [0.7-0.84],0.7 [0.64-0.77],0.71 [0.65-0.78],0.71 [0.65-0.78],0.71 [0.65-0.78],0.72 [0.66-0.79],0.69 [0.63-0.77],0.69 [0.63-0.77],0.72 [0.65-0.8],0.72 [0.65-0.8],0.73 [0.66-0.8],0.73 [0.65-0.8],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.74 [0.66-0.82],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81]
Ever smoker,Former cigarette smoker,0.86 [0.82-0.9],0.9 [0.86-0.94],0.93 [0.89-0.98],0.93 [0.89-0.98],0.93 [0.88-0.97],0.91 [0.87-0.96],0.93 [0.88-0.98],0.93 [0.88-0.98],0.94 [0.9-0.99],0.94 [0.9-0.99],0.95 [0.9-1],0.94 [0.9-0.99],0.94 [0.9-0.99],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1]
Ever smoker,Prefer not to say,0.8 [0.7-0.92],0.8 [0.7-0.93],0.81 [0.71-0.94],0.82 [0.71-0.94],0.8 [0.7-0.93],0.81 [0.7-0.94],0.78 [0.64-0.95],0.78 [0.64-0.95],0.79 [0.65-0.97],0.79 [0.65-0.96],0.79 [0.65-0.97],0.79 [0.65-0.97],0.79 [0.65-0.97],0.79 [0.65-0.97],0.79 [0.65-0.97],0.79 [0.65-0.97],0.79 [0.65-0.97],0.79 [0.65-0.97],0.8 [0.65-0.97],0.8 [0.65-0.97],0.8 [0.65-0.97],0.81 [0.66-0.98],0.81 [0.66-0.99],0.81 [0.66-0.99],0.81 [0.66-0.99],0.8 [0.66-0.98]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.59 [0.56-0.63],0.63 [0.59-0.66],0.63 [0.6-0.67],0.63 [0.59-0.67],0.64 [0.6-0.67],0.65 [0.62-0.69],0.67 [0.63-0.72],0.68 [0.64-0.73],0.68 [0.64-0.73],0.7 [0.66-0.75],0.72 [0.67-0.77],0.71 [0.67-0.76],0.71 [0.67-0.76],0.71 [0.67-0.76],0.71 [0.67-0.76],0.71 [0.67-0.76],0.72 [0.67-0.77],0.72 [0.67-0.77],0.73 [0.68-0.78],0.75 [0.7-0.8],0.75 [0.7-0.81],0.81 [0.75-0.87],0.81 [0.76-0.87],0.81 [0.76-0.87],0.81 [0.76-0.87],0.81 [0.75-0.86]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,0.18 [0.14-0.23],0.15 [0.11-0.2],0.16 [0.12-0.2],0.16 [0.12-0.2],0.16 [0.12-0.21],0.16 [0.12-0.21],0.16 [0.12-0.22],0.16 [0.12-0.22],0.19 [0.14-0.25],0.19 [0.14-0.25],0.19 [0.14-0.26],0.19 [0.14-0.26],0.19 [0.14-0.25],0.19 [0.14-0.25],0.19 [0.14-0.26],0.19 [0.14-0.26],0.19 [0.14-0.27],0.19 [0.14-0.26],0.19 [0.14-0.26],0.19 [0.14-0.26],0.19 [0.14-0.26],0.23 [0.16-0.31],0.23 [0.16-0.31],0.23 [0.16-0.31],0.23 [0.16-0.31],0.23 [0.16-0.31]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.64 [0.6-0.69],0.68 [0.63-0.72],0.71 [0.66-0.76],0.7 [0.66-0.75],0.7 [0.66-0.75],0.7 [0.66-0.75],0.72 [0.67-0.78],0.73 [0.68-0.79],0.76 [0.71-0.82],0.77 [0.71-0.83],0.77 [0.71-0.83],0.76 [0.71-0.82],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.76 [0.7-0.82],0.76 [0.7-0.82],0.76 [0.7-0.82],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.87 [0.81-0.94],0.95 [0.88-1.03],1.02 [0.94-1.1],1.02 [0.95-1.1],1.01 [0.94-1.09],1.01 [0.93-1.09],1.03 [0.95-1.12],1.04 [0.96-1.13],1.1 [1.01-1.19],1.1 [1.01-1.19],1.12 [1.03-1.22],1.12 [1.03-1.22],1.11 [1.02-1.21],1.11 [1.02-1.21],1.12 [1.03-1.22],1.12 [1.03-1.22],1.12 [1.03-1.22],1.12 [1.03-1.22],1.12 [1.03-1.22],1.12 [1.03-1.22],1.12 [1.03-1.22],1.12 [1.03-1.22],1.12 [1.03-1.22],1.12 [1.03-1.22],1.12 [1.03-1.22],1.12 [1.03-1.22]
Hypertension (high blood pressure),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension (high blood pressure),1,0.91 [0.87-0.96],1.01 [0.96-1.06],1.02 [0.97-1.07],1.02 [0.97-1.07],1.01 [0.97-1.07],1.01 [0.96-1.07],1.06 [1-1.12],1.06 [1-1.12],1.08 [1.02-1.14],1.09 [1.03-1.15],1.12 [1.05-1.18],1.11 [1.05-1.18],1.11 [1.05-1.18],1.12 [1.05-1.18],1.12 [1.05-1.18],1.12 [1.05-1.18],1.12 [1.06-1.18],1.12 [1.06-1.19],1.12 [1.06-1.19],1.12 [1.05-1.18],1.12 [1.05-1.18],1.12 [1.06-1.18],1.12 [1.06-1.19],1.12 [1.05-1.18],1.12 [1.05-1.18],1.12 [1.05-1.18]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,0.64 [0.53-0.76],0.69 [0.57-0.82],0.71 [0.59-0.85],0.71 [0.59-0.85],0.69 [0.58-0.83],0.69 [0.57-0.84],0.68 [0.55-0.83],0.7 [0.57-0.86],0.74 [0.6-0.91],0.75 [0.61-0.93],0.77 [0.62-0.95],0.76 [0.61-0.93],0.75 [0.6-0.92],0.75 [0.6-0.92],0.75 [0.61-0.92],0.75 [0.61-0.93],0.75 [0.61-0.93],0.75 [0.61-0.93],0.75 [0.61-0.93],0.76 [0.62-0.94],0.77 [0.63-0.95],0.77 [0.62-0.95],0.77 [0.62-0.95],0.77 [0.62-0.95],0.77 [0.62-0.95],0.77 [0.62-0.94]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.68 [0.58-0.8],0.7 [0.6-0.82],0.72 [0.61-0.84],0.71 [0.61-0.83],0.71 [0.61-0.83],0.71 [0.6-0.84],0.69 [0.58-0.82],0.69 [0.58-0.83],0.76 [0.64-0.91],0.89 [0.74-1.07],0.92 [0.77-1.11],0.91 [0.76-1.09],0.89 [0.74-1.07],0.9 [0.75-1.08],0.9 [0.75-1.08],0.9 [0.75-1.08],0.92 [0.76-1.11],0.92 [0.76-1.1],0.92 [0.76-1.1],0.93 [0.77-1.11],0.93 [0.77-1.11],0.96 [0.8-1.16],0.97 [0.8-1.16],0.96 [0.8-1.16],0.96 [0.8-1.16],0.97 [0.8-1.16]
