predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_second_vaccine
Ethnicity,Asian,1.22 [0.75-1.99],1.01 [0.62-1.65],1.03 [0.63-1.68],1.03 [0.63-1.68],1.01 [0.59-1.73],0.9 [0.52-1.55],0.94 [0.55-1.63],0.94 [0.55-1.63],0.97 [0.56-1.68],0.96 [0.55-1.66],0.95 [0.55-1.65],0.95 [0.55-1.64],0.95 [0.55-1.64],0.95 [0.55-1.64],0.95 [0.55-1.64],0.94 [0.54-1.64],0.94 [0.54-1.63],0.94 [0.54-1.63],0.93 [0.54-1.62],0.93 [0.53-1.61],0.9 [0.52-1.56],0.91 [0.52-1.58],0.91 [0.53-1.59],0.9 [0.52-1.56]
Ethnicity,Black,1.03 [0.52-2.04],0.88 [0.44-1.75],0.88 [0.44-1.76],0.88 [0.44-1.76],0.72 [0.34-1.5],0.65 [0.31-1.37],0.67 [0.32-1.41],0.66 [0.32-1.4],0.68 [0.32-1.44],0.69 [0.33-1.46],0.69 [0.33-1.45],0.68 [0.32-1.43],0.68 [0.32-1.43],0.68 [0.32-1.44],0.68 [0.32-1.43],0.68 [0.32-1.43],0.68 [0.32-1.43],0.68 [0.32-1.43],0.67 [0.32-1.42],0.66 [0.31-1.4],0.65 [0.31-1.38],0.66 [0.31-1.4],0.66 [0.31-1.4],0.67 [0.32-1.41]
Ethnicity,Mixed,0.7 [0.28-1.78],0.49 [0.19-1.26],0.49 [0.19-1.26],0.49 [0.19-1.26],0.5 [0.18-1.43],0.54 [0.19-1.54],0.54 [0.19-1.55],0.53 [0.19-1.53],0.54 [0.19-1.54],0.54 [0.19-1.55],0.54 [0.19-1.55],0.54 [0.19-1.54],0.54 [0.19-1.54],0.54 [0.19-1.55],0.54 [0.19-1.55],0.54 [0.19-1.55],0.55 [0.19-1.58],0.55 [0.19-1.58],0.55 [0.19-1.57],0.53 [0.18-1.54],0.57 [0.2-1.66],0.58 [0.2-1.68],0.56 [0.19-1.63],0.56 [0.19-1.64]
Ethnicity,Other,0.93 [0.4-2.15],0.86 [0.37-2],0.86 [0.37-2.01],0.86 [0.37-2.01],0.76 [0.32-1.77],0.85 [0.34-2.15],0.89 [0.35-2.26],0.88 [0.35-2.23],0.91 [0.36-2.29],0.92 [0.37-2.34],0.92 [0.37-2.34],0.91 [0.36-2.31],0.91 [0.36-2.31],0.91 [0.36-2.31],0.91 [0.36-2.31],0.91 [0.36-2.31],0.9 [0.35-2.28],0.9 [0.36-2.28],0.89 [0.35-2.26],0.88 [0.35-2.24],0.89 [0.35-2.24],0.89 [0.35-2.26],0.88 [0.35-2.24],0.88 [0.35-2.22]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.81 [0.63-1.04],0.74 [0.57-0.96],0.75 [0.58-0.97],0.75 [0.58-0.97],0.75 [0.58-0.97],0.76 [0.58-0.99],0.79 [0.61-1.03],0.79 [0.6-1.03],0.8 [0.61-1.05],0.79 [0.61-1.04],0.79 [0.6-1.04],0.79 [0.6-1.03],0.79 [0.6-1.03],0.79 [0.6-1.03],0.79 [0.6-1.03],0.79 [0.6-1.04],0.79 [0.6-1.04],0.79 [0.6-1.04],0.79 [0.6-1.04],0.79 [0.6-1.03],0.81 [0.61-1.06],0.81 [0.62-1.06],0.81 [0.61-1.06],0.81 [0.61-1.06]
BMI,Overweight,0.96 [0.76-1.22],0.98 [0.77-1.25],1 [0.78-1.27],0.99 [0.78-1.26],0.99 [0.78-1.26],0.98 [0.77-1.25],0.99 [0.77-1.26],0.98 [0.77-1.25],0.99 [0.78-1.26],0.98 [0.77-1.25],0.98 [0.77-1.25],0.98 [0.77-1.25],0.98 [0.77-1.25],0.98 [0.77-1.25],0.98 [0.77-1.25],0.98 [0.77-1.26],0.98 [0.77-1.25],0.98 [0.77-1.25],0.98 [0.77-1.26],0.98 [0.77-1.26],0.99 [0.78-1.27],0.99 [0.78-1.27],1 [0.78-1.27],1 [0.78-1.27]
BMI,Underweight,3.46 [0.47-25.26],3.42 [0.47-25.11],3.38 [0.46-24.76],3.36 [0.46-24.66],3.36 [0.46-24.66],3.32 [0.45-24.41],3.33 [0.45-24.48],3.3 [0.45-24.27],3.3 [0.45-24.29],3.29 [0.45-24.23],3.3 [0.45-24.29],3.4 [0.46-25.11],3.41 [0.46-25.13],3.39 [0.46-25.05],3.4 [0.46-25.09],3.39 [0.46-25.03],3.41 [0.46-25.19],3.41 [0.46-25.19],3.51 [0.47-25.96],3.48 [0.47-25.74],3.43 [0.46-25.37],3.4 [0.46-25.14],3.41 [0.46-25.24],3.41 [0.46-25.2]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.53 [0.38-0.74],0.49 [0.35-0.69],0.5 [0.35-0.69],0.49 [0.35-0.69],0.48 [0.33-0.7],0.48 [0.33-0.7],0.5 [0.34-0.73],0.5 [0.34-0.73],0.5 [0.34-0.73],0.5 [0.34-0.73],0.5 [0.34-0.73],0.49 [0.34-0.72],0.49 [0.34-0.72],0.49 [0.34-0.72],0.5 [0.34-0.73],0.49 [0.34-0.72],0.51 [0.35-0.76],0.51 [0.35-0.76],0.51 [0.35-0.76],0.51 [0.35-0.75],0.53 [0.36-0.78],0.53 [0.36-0.79],0.53 [0.36-0.78],0.53 [0.36-0.78]
Ever smoker,Former cigarette smoker,0.74 [0.61-0.9],0.8 [0.65-0.97],0.8 [0.66-0.98],0.79 [0.65-0.97],0.77 [0.62-0.95],0.77 [0.62-0.95],0.78 [0.63-0.97],0.77 [0.62-0.96],0.77 [0.62-0.96],0.77 [0.62-0.96],0.77 [0.62-0.96],0.77 [0.62-0.96],0.77 [0.62-0.96],0.77 [0.62-0.96],0.77 [0.62-0.96],0.77 [0.62-0.95],0.78 [0.62-0.97],0.78 [0.62-0.97],0.78 [0.62-0.97],0.78 [0.63-0.97],0.78 [0.63-0.98],0.78 [0.63-0.97],0.78 [0.63-0.97],0.78 [0.63-0.98]
Ever smoker,Prefer not to say,0.73 [0.42-1.26],0.74 [0.43-1.29],0.75 [0.43-1.29],0.73 [0.42-1.26],0.68 [0.32-1.42],0.68 [0.32-1.42],0.69 [0.33-1.46],0.68 [0.32-1.44],0.69 [0.33-1.45],0.69 [0.33-1.46],0.69 [0.33-1.46],0.69 [0.33-1.46],0.69 [0.33-1.47],0.69 [0.33-1.46],0.69 [0.33-1.47],0.7 [0.33-1.47],0.7 [0.33-1.47],0.7 [0.33-1.47],0.69 [0.33-1.47],0.7 [0.33-1.49],0.71 [0.34-1.51],0.72 [0.34-1.53],0.73 [0.34-1.54],0.73 [0.34-1.54]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.51 [0.4-0.66],0.57 [0.44-0.73],0.57 [0.44-0.73],0.58 [0.44-0.74],0.62 [0.46-0.82],0.65 [0.48-0.87],0.65 [0.48-0.87],0.66 [0.49-0.89],0.68 [0.5-0.91],0.66 [0.5-0.89],0.66 [0.49-0.89],0.67 [0.5-0.9],0.67 [0.5-0.9],0.67 [0.5-0.9],0.66 [0.49-0.89],0.67 [0.5-0.9],0.71 [0.52-0.96],0.71 [0.52-0.96],0.71 [0.52-0.98],0.74 [0.54-1.02],0.76 [0.55-1.05],0.75 [0.55-1.04],0.75 [0.55-1.04],0.77 [0.56-1.05]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,0.19 [0.07-0.54],0.16 [0.06-0.47],0.16 [0.06-0.48],0.16 [0.06-0.47],0.19 [0.06-0.61],0.18 [0.06-0.59],0.21 [0.07-0.68],0.21 [0.07-0.68],0.21 [0.06-0.67],0.21 [0.07-0.68],0.21 [0.06-0.67],0.21 [0.07-0.68],0.21 [0.06-0.68],0.21 [0.06-0.69],0.21 [0.06-0.69],0.21 [0.06-0.68],0.21 [0.06-0.68],0.21 [0.06-0.68],0.21 [0.06-0.68],0.23 [0.07-0.75],0.24 [0.07-0.8],0.24 [0.07-0.82],0.24 [0.07-0.82],0.24 [0.07-0.82]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.62 [0.48-0.81],0.69 [0.52-0.9],0.69 [0.53-0.91],0.7 [0.53-0.92],0.8 [0.58-1.09],0.8 [0.59-1.09],0.84 [0.61-1.15],0.83 [0.61-1.14],0.83 [0.61-1.14],0.81 [0.59-1.11],0.8 [0.58-1.1],0.81 [0.59-1.11],0.81 [0.59-1.11],0.8 [0.58-1.11],0.8 [0.58-1.1],0.8 [0.58-1.11],0.8 [0.58-1.1],0.8 [0.58-1.1],0.8 [0.58-1.1],0.8 [0.58-1.1],0.81 [0.59-1.11],0.8 [0.58-1.11],0.8 [0.58-1.1],0.8 [0.58-1.11]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.93 [0.67-1.3],1.1 [0.79-1.54],1.12 [0.8-1.57],1.15 [0.81-1.61],1.25 [0.86-1.83],1.32 [0.9-1.94],1.37 [0.93-2.02],1.36 [0.93-2],1.4 [0.95-2.06],1.4 [0.95-2.06],1.4 [0.95-2.06],1.41 [0.96-2.08],1.41 [0.96-2.08],1.4 [0.95-2.07],1.4 [0.95-2.07],1.4 [0.95-2.07],1.41 [0.95-2.08],1.41 [0.95-2.08],1.41 [0.96-2.08],1.4 [0.95-2.07],1.41 [0.96-2.09],1.41 [0.95-2.08],1.41 [0.95-2.08],1.4 [0.95-2.07]
Hypertension (high blood pressure),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension (high blood pressure),1,0.86 [0.7-1.06],1.01 [0.81-1.25],1.01 [0.82-1.26],1.01 [0.82-1.26],0.99 [0.78-1.26],1 [0.79-1.27],1.02 [0.8-1.29],1.02 [0.81-1.3],1.05 [0.82-1.33],1.03 [0.81-1.32],1.03 [0.81-1.32],1.04 [0.82-1.33],1.04 [0.82-1.33],1.04 [0.82-1.33],1.04 [0.82-1.33],1.04 [0.82-1.33],1.04 [0.82-1.33],1.04 [0.82-1.33],1.04 [0.82-1.33],1.04 [0.82-1.33],1.05 [0.82-1.34],1.04 [0.81-1.33],1.04 [0.81-1.33],1.04 [0.81-1.33]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,0.43 [0.24-0.78],0.51 [0.28-0.93],0.51 [0.28-0.94],0.51 [0.28-0.93],0.51 [0.27-0.99],0.56 [0.28-1.1],0.59 [0.3-1.16],0.59 [0.3-1.18],0.6 [0.3-1.2],0.58 [0.29-1.16],0.58 [0.29-1.15],0.58 [0.29-1.15],0.58 [0.29-1.15],0.58 [0.29-1.15],0.58 [0.29-1.15],0.58 [0.29-1.15],0.58 [0.29-1.17],0.58 [0.29-1.17],0.59 [0.29-1.17],0.6 [0.3-1.19],0.6 [0.3-1.19],0.59 [0.29-1.18],0.59 [0.29-1.17],0.59 [0.29-1.17]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.78 [0.39-1.56],0.85 [0.42-1.7],0.86 [0.43-1.72],0.84 [0.42-1.68],0.76 [0.37-1.53],0.86 [0.41-1.8],0.95 [0.45-2],1.04 [0.49-2.22],1.08 [0.5-2.31],1.05 [0.49-2.25],1.04 [0.48-2.23],1.06 [0.5-2.29],1.06 [0.5-2.29],1.05 [0.48-2.26],1.04 [0.48-2.25],1.03 [0.48-2.24],1.02 [0.47-2.22],1.02 [0.47-2.22],1.02 [0.47-2.21],1.08 [0.5-2.34],1.1 [0.51-2.4],1.11 [0.51-2.43],1.11 [0.51-2.41],1.11 [0.51-2.42]
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,0.84 [0.33-2.11],0.9 [0.36-2.27],0.9 [0.36-2.26],0.87 [0.35-2.2],0.95 [0.34-2.66],1.22 [0.37-3.97],1.33 [0.41-4.33],1.31 [0.4-4.28],1.36 [0.42-4.46],1.27 [0.39-4.17],1.27 [0.39-4.16],1.29 [0.39-4.25],1.28 [0.39-4.24],1.28 [0.39-4.24],1.28 [0.39-4.22],1.29 [0.39-4.26],1.29 [0.39-4.28],1.29 [0.39-4.28],1.29 [0.39-4.26],1.36 [0.41-4.53],1.41 [0.42-4.7],1.41 [0.42-4.7],1.42 [0.43-4.74],1.43 [0.43-4.75]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,0.9 [0.47-1.74],0.82 [0.42-1.58],0.81 [0.42-1.56],0.8 [0.41-1.55],0.98 [0.45-2.15],0.97 [0.44-2.12],1.09 [0.5-2.4],1.1 [0.5-2.41],1.13 [0.51-2.49],1.11 [0.5-2.45],1.11 [0.5-2.44],1.1 [0.5-2.44],1.1 [0.5-2.43],1.09 [0.49-2.41],1.09 [0.49-2.41],1.1 [0.5-2.43],1.11 [0.5-2.45],1.11 [0.5-2.45],1.11 [0.5-2.45],1.13 [0.51-2.51],1.18 [0.53-2.61],1.15 [0.52-2.55],1.16 [0.52-2.58],1.14 [0.52-2.54]
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,0.93 [0.71-1.22],0.88 [0.67-1.16],0.87 [0.66-1.15],0.9 [0.68-1.18],0.89 [0.66-1.21],0.88 [0.65-1.19],0.92 [0.68-1.25],0.92 [0.67-1.25],0.92 [0.67-1.25],0.92 [0.67-1.25],0.92 [0.67-1.25],0.92 [0.67-1.25],0.92 [0.67-1.25],0.92 [0.67-1.25],0.92 [0.67-1.25],0.92 [0.67-1.25],0.93 [0.69-1.27],0.93 [0.69-1.27],0.93 [0.68-1.27],0.93 [0.68-1.27],0.95 [0.69-1.29],0.94 [0.69-1.29],0.95 [0.69-1.29],0.95 [0.69-1.29]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Other lung condition,1,0.54 [0.39-0.75],0.62 [0.45-0.86],0.62 [0.45-0.87],0.61 [0.44-0.85],0.62 [0.43-0.88],0.68 [0.47-0.97],0.76 [0.52-1.11],0.76 [0.52-1.11],0.76 [0.52-1.1],0.75 [0.51-1.09],0.75 [0.51-1.09],0.75 [0.52-1.1],0.76 [0.52-1.1],0.75 [0.52-1.1],0.75 [0.52-1.1],0.76 [0.52-1.11],0.76 [0.52-1.11],0.76 [0.52-1.11],0.76 [0.52-1.11],0.76 [0.52-1.12],0.78 [0.53-1.14],0.78 [0.53-1.14],0.77 [0.53-1.13],0.77 [0.53-1.13]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.79 [0.48-1.32],0.92 [0.55-1.52],0.93 [0.56-1.55],0.91 [0.55-1.52],0.88 [0.52-1.49],0.92 [0.53-1.59],0.99 [0.57-1.72],1.02 [0.58-1.77],1.01 [0.58-1.75],1.01 [0.58-1.76],1.01 [0.58-1.77],1.03 [0.59-1.79],1.03 [0.59-1.79],1.03 [0.59-1.79],1.03 [0.59-1.79],1.03 [0.59-1.79],1.02 [0.58-1.77],1.02 [0.58-1.77],1.01 [0.58-1.77],1.05 [0.6-1.84],1.05 [0.6-1.84],1.06 [0.6-1.86],1.06 [0.61-1.86],1.06 [0.61-1.86]
Condition affecting the brain and nerves,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
