predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_vaccine_type,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Vaccine type,Pfizer/BioNTech,1.85 [1.75-1.95],1.96 [1.84-2.09],1.92 [1.8-2.05],1.92 [1.8-2.05],1.96 [1.83-2.09],1.96 [1.83-2.09],2.01 [1.87-2.16],2.01 [1.87-2.15],2.02 [1.88-2.17],2.03 [1.89-2.17],2.06 [1.92-2.21],2.06 [1.92-2.21],2.06 [1.92-2.22],2.07 [1.92-2.22],2.07 [1.92-2.22],2.07 [1.92-2.22],2.07 [1.92-2.22],2.07 [1.93-2.22],2.07 [1.93-2.22],2.07 [1.93-2.23],2.08 [1.93-2.23],2.09 [1.94-2.24],2.09 [1.94-2.24],2.09 [1.94-2.24],2.09 [1.94-2.24],1.87 [1.74-2.02]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.95 [0.91-1],0.94 [0.9-0.98],0.97 [0.93-1.02],0.98 [0.94-1.02],0.93 [0.89-0.97],0.92 [0.88-0.97],0.92 [0.88-0.97],0.92 [0.88-0.97],0.93 [0.89-0.98],0.93 [0.89-0.98],0.95 [0.91-1],0.95 [0.91-1],0.96 [0.92-1.01],0.96 [0.92-1.01],0.96 [0.92-1.01],0.96 [0.91-1.01],0.96 [0.92-1.01],0.96 [0.92-1.01],0.96 [0.92-1.01],0.96 [0.92-1.01],0.96 [0.92-1.01],0.96 [0.92-1.01],0.97 [0.92-1.01],0.97 [0.92-1.01],0.97 [0.92-1.01],0.98 [0.93-1.02]
BMI,Overweight,0.92 [0.89-0.96],0.95 [0.91-0.98],1.01 [0.97-1.05],1.01 [0.97-1.05],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.99 [0.95-1.03],0.98 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],1 [0.96-1.04]
BMI,Underweight,1.03 [0.87-1.21],1 [0.84-1.18],0.93 [0.79-1.11],0.92 [0.77-1.09],0.93 [0.78-1.12],0.95 [0.8-1.14],0.95 [0.8-1.14],0.97 [0.81-1.16],0.97 [0.81-1.16],0.97 [0.81-1.16],0.97 [0.81-1.16],0.97 [0.81-1.16],0.97 [0.81-1.16],0.97 [0.81-1.16],0.97 [0.81-1.16],0.97 [0.81-1.16],0.97 [0.81-1.16],0.97 [0.81-1.16],0.97 [0.81-1.17],0.98 [0.82-1.17],0.98 [0.82-1.17],0.98 [0.82-1.17],0.98 [0.82-1.17],0.98 [0.82-1.17],0.98 [0.82-1.17],0.99 [0.82-1.18]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.74 [0.69-0.78],0.71 [0.66-0.75],0.71 [0.67-0.76],0.72 [0.68-0.77],0.72 [0.68-0.77],0.73 [0.68-0.78],0.72 [0.67-0.77],0.72 [0.67-0.77],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78]
Ever smoker,Former cigarette smoker,0.93 [0.9-0.96],0.95 [0.92-0.99],0.97 [0.94-1.01],0.99 [0.96-1.02],0.96 [0.93-0.99],0.96 [0.93-1],0.96 [0.93-1],0.96 [0.93-1],0.97 [0.93-1],0.97 [0.93-1],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.94-1.01],0.97 [0.94-1.01],0.97 [0.94-1.01],0.97 [0.93-1.01]
Ever smoker,Prefer not to say,0.95 [0.85-1.05],0.93 [0.83-1.04],0.93 [0.83-1.04],0.94 [0.84-1.05],0.91 [0.81-1.02],0.92 [0.82-1.03],1 [0.86-1.17],1 [0.86-1.17],1.01 [0.87-1.18],1.01 [0.86-1.18],1.01 [0.87-1.18],1.01 [0.87-1.18],1.01 [0.86-1.18],1.01 [0.86-1.18],1.01 [0.86-1.18],1.01 [0.86-1.18],1.01 [0.86-1.18],1.01 [0.86-1.17],1.01 [0.86-1.17],1.01 [0.86-1.18],1.01 [0.87-1.18],1.01 [0.86-1.18],1.01 [0.86-1.18],1.01 [0.86-1.18],1.01 [0.86-1.18],1.01 [0.86-1.18]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.8 [0.74-0.85],0.83 [0.77-0.89],0.82 [0.76-0.87],0.78 [0.73-0.84],0.77 [0.72-0.83],0.75 [0.7-0.81],0.76 [0.7-0.82],0.78 [0.71-0.84],0.78 [0.71-0.84],0.78 [0.72-0.84],0.8 [0.74-0.87],0.8 [0.74-0.87],0.81 [0.74-0.87],0.81 [0.74-0.88],0.81 [0.74-0.88],0.81 [0.74-0.87],0.81 [0.74-0.88],0.81 [0.75-0.88],0.82 [0.75-0.89],0.82 [0.76-0.89],0.82 [0.76-0.9],0.85 [0.78-0.93],0.86 [0.79-0.93],0.86 [0.79-0.94],0.86 [0.79-0.94],0.86 [0.79-0.94]
Organ transplant recipient,1,0.51 [0.21-1.22],0.48 [0.2-1.17],0.49 [0.2-1.2],0.49 [0.2-1.21],0.43 [0.17-1.09],0.37 [0.15-0.93],0.34 [0.13-0.91],0.33 [0.12-0.89],0.37 [0.14-1],0.37 [0.14-1],0.36 [0.13-0.97],0.36 [0.13-0.98],0.37 [0.14-0.98],0.36 [0.14-0.98],0.37 [0.14-0.99],0.37 [0.14-0.99],0.37 [0.14-1],0.36 [0.14-0.99],0.37 [0.14-0.99],0.37 [0.14-1],0.37 [0.14-1],0.39 [0.14-1.05],0.39 [0.14-1.06],0.39 [0.14-1.07],0.39 [0.14-1.06],0.35 [0.13-0.95]
Diabetes (type I or II),1,0.72 [0.66-0.79],0.75 [0.69-0.82],0.78 [0.71-0.85],0.75 [0.68-0.82],0.72 [0.65-0.79],0.67 [0.61-0.74],0.67 [0.61-0.75],0.68 [0.61-0.76],0.7 [0.63-0.78],0.7 [0.63-0.78],0.7 [0.63-0.78],0.7 [0.63-0.78],0.71 [0.64-0.79],0.71 [0.64-0.79],0.71 [0.64-0.79],0.71 [0.64-0.79],0.71 [0.64-0.79],0.71 [0.64-0.79],0.71 [0.64-0.79],0.71 [0.64-0.79],0.71 [0.64-0.79],0.72 [0.64-0.8],0.72 [0.65-0.8],0.72 [0.65-0.8],0.72 [0.65-0.8],0.79 [0.71-0.88]
Heart disease or heart problems,1,0.85 [0.77-0.93],0.91 [0.83-1.01],0.95 [0.86-1.04],0.94 [0.85-1.04],0.91 [0.82-1.01],0.86 [0.78-0.96],0.89 [0.8-0.99],0.9 [0.81-1.01],0.93 [0.83-1.03],0.93 [0.83-1.03],0.95 [0.85-1.06],0.95 [0.85-1.06],0.95 [0.85-1.06],0.95 [0.85-1.07],0.95 [0.85-1.07],0.95 [0.85-1.07],0.95 [0.85-1.07],0.95 [0.85-1.07],0.96 [0.86-1.07],0.96 [0.86-1.07],0.96 [0.86-1.07],0.96 [0.86-1.07],0.96 [0.86-1.08],0.96 [0.86-1.08],0.96 [0.86-1.08],1.02 [0.91-1.14]
Hypertension,1,0.84 [0.81-0.88],0.94 [0.9-0.99],0.96 [0.92-1.01],0.95 [0.91-1],0.93 [0.89-0.98],0.92 [0.88-0.97],0.92 [0.87-0.97],0.92 [0.87-0.97],0.92 [0.87-0.97],0.92 [0.87-0.97],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-0.99],0.94 [0.89-1],0.94 [0.89-1],0.95 [0.9-1.01]
Stroke,1,0.77 [0.59-1.01],0.86 [0.66-1.12],0.9 [0.69-1.17],0.87 [0.67-1.14],0.84 [0.63-1.11],0.79 [0.6-1.05],0.79 [0.59-1.06],0.81 [0.6-1.09],0.83 [0.62-1.13],0.83 [0.62-1.13],0.86 [0.63-1.16],0.86 [0.64-1.16],0.87 [0.64-1.17],0.87 [0.64-1.17],0.87 [0.64-1.17],0.87 [0.64-1.17],0.87 [0.64-1.17],0.87 [0.64-1.17],0.87 [0.64-1.18],0.87 [0.65-1.18],0.88 [0.65-1.19],0.88 [0.65-1.19],0.89 [0.65-1.2],0.89 [0.65-1.2],0.89 [0.66-1.2],0.93 [0.69-1.26]
Kidney disease,1,0.87 [0.68-1.1],0.92 [0.72-1.17],0.9 [0.71-1.14],0.92 [0.72-1.17],0.9 [0.7-1.16],0.87 [0.68-1.12],0.91 [0.7-1.2],0.9 [0.69-1.18],0.93 [0.71-1.22],0.95 [0.72-1.24],0.96 [0.73-1.26],0.97 [0.74-1.27],0.98 [0.75-1.28],0.98 [0.75-1.29],0.98 [0.75-1.29],0.97 [0.74-1.27],0.98 [0.74-1.28],0.97 [0.74-1.28],0.98 [0.74-1.28],0.98 [0.75-1.29],0.98 [0.75-1.29],0.99 [0.76-1.31],1 [0.76-1.31],1 [0.76-1.32],1.01 [0.77-1.32],1.04 [0.79-1.36]
Liver disease,1,1.24 [0.95-1.62],1.23 [0.94-1.62],1.27 [0.97-1.66],1.19 [0.91-1.57],1.2 [0.91-1.59],1.19 [0.89-1.58],1.19 [0.88-1.61],1.22 [0.9-1.65],1.25 [0.92-1.7],1.25 [0.92-1.7],1.3 [0.96-1.77],1.3 [0.96-1.77],1.31 [0.96-1.78],1.31 [0.96-1.78],1.31 [0.97-1.78],1.31 [0.97-1.78],1.32 [0.97-1.79],1.32 [0.97-1.79],1.32 [0.97-1.79],1.32 [0.97-1.79],1.31 [0.97-1.79],1.33 [0.98-1.81],1.33 [0.98-1.81],1.34 [0.98-1.82],1.34 [0.98-1.82],1.38 [1.02-1.88]
Anemia,1,1.09 [0.93-1.28],0.97 [0.83-1.14],0.89 [0.76-1.04],0.86 [0.74-1.02],0.82 [0.7-0.97],0.81 [0.69-0.96],0.84 [0.7-1.01],0.84 [0.7-1.01],0.86 [0.71-1.03],0.86 [0.71-1.03],0.87 [0.72-1.04],0.87 [0.72-1.04],0.87 [0.72-1.05],0.87 [0.72-1.05],0.87 [0.72-1.05],0.87 [0.72-1.04],0.87 [0.72-1.04],0.87 [0.72-1.05],0.87 [0.72-1.05],0.87 [0.73-1.05],0.87 [0.73-1.05],0.89 [0.74-1.07],0.9 [0.74-1.08],0.9 [0.75-1.08],0.9 [0.75-1.08],0.9 [0.74-1.08]
Asthma,1,1.07 [1.01-1.13],0.97 [0.92-1.03],0.95 [0.9-1.01],0.96 [0.91-1.01],0.91 [0.86-0.97],0.91 [0.85-0.96],0.9 [0.85-0.96],0.9 [0.85-0.96],0.92 [0.86-0.98],0.91 [0.86-0.98],0.91 [0.86-0.98],0.91 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.87-0.98],0.92 [0.87-0.98],0.94 [0.88-1.01]
Other lung condition,1,0.78 [0.67-0.91],0.87 [0.75-1.01],0.87 [0.75-1.02],0.88 [0.76-1.03],0.84 [0.72-0.99],0.81 [0.69-0.95],0.8 [0.67-0.95],0.85 [0.72-1.02],0.91 [0.76-1.08],0.91 [0.76-1.09],0.91 [0.77-1.09],0.92 [0.77-1.09],0.92 [0.77-1.09],0.92 [0.77-1.1],0.92 [0.77-1.1],0.92 [0.77-1.09],0.92 [0.77-1.09],0.93 [0.78-1.1],0.93 [0.78-1.1],0.93 [0.78-1.1],0.93 [0.78-1.1],0.94 [0.79-1.12],0.95 [0.79-1.13],0.95 [0.79-1.13],0.95 [0.79-1.13],0.98 [0.82-1.17]
Cancer,1,0.68 [0.57-0.8],0.77 [0.65-0.91],0.79 [0.67-0.94],0.78 [0.66-0.93],0.78 [0.65-0.93],0.75 [0.63-0.9],0.74 [0.61-0.89],0.73 [0.61-0.89],0.76 [0.63-0.91],0.76 [0.63-0.92],0.76 [0.63-0.92],0.76 [0.63-0.92],0.76 [0.63-0.92],0.76 [0.63-0.92],0.76 [0.63-0.92],0.76 [0.63-0.92],0.77 [0.63-0.93],0.77 [0.63-0.93],0.77 [0.63-0.93],0.77 [0.63-0.93],0.77 [0.63-0.93],0.79 [0.65-0.95],0.79 [0.65-0.95],0.78 [0.65-0.95],0.78 [0.65-0.95],0.8 [0.66-0.96]
