predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,4.66 [3.87-5.61],4.09 [3.38-4.96],4.11 [3.39-4.99],4.13 [3.39-5.01],4.13 [3.39-5.01],4.13 [3.35-5.1],4.13 [3.35-5.09],4.15 [3.36-5.13],4.14 [3.35-5.11],4.22 [3.42-5.22],4.22 [3.41-5.21],4.22 [3.41-5.21],4.22 [3.41-5.22],4.21 [3.41-5.21],4.21 [3.41-5.21],4.23 [3.42-5.23],4.25 [3.43-5.25],4.24 [3.43-5.24],4.28 [3.46-5.29],4.28 [3.46-5.29],4.33 [3.5-5.36],4.33 [3.5-5.37],4.33 [3.5-5.37],4.33 [3.5-5.37],4.4 [3.53-5.47]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.78 [0.67-0.9],0.69 [0.59-0.81],0.7 [0.6-0.83],0.71 [0.6-0.83],0.68 [0.58-0.8],0.68 [0.58-0.8],0.69 [0.58-0.81],0.71 [0.6-0.84],0.7 [0.6-0.83],0.75 [0.63-0.88],0.75 [0.63-0.88],0.74 [0.62-0.88],0.74 [0.62-0.88],0.74 [0.62-0.88],0.74 [0.62-0.88],0.74 [0.62-0.88],0.74 [0.63-0.88],0.74 [0.63-0.88],0.74 [0.63-0.88],0.74 [0.63-0.88],0.74 [0.62-0.87],0.75 [0.63-0.89],0.75 [0.63-0.89],0.75 [0.63-0.89],0.82 [0.68-0.98]
BMI,Overweight,0.8 [0.7-0.91],0.82 [0.71-0.95],0.88 [0.76-1.01],0.87 [0.76-1.01],0.83 [0.72-0.96],0.83 [0.72-0.96],0.84 [0.72-0.97],0.84 [0.72-0.97],0.83 [0.72-0.97],0.85 [0.73-0.98],0.85 [0.73-0.98],0.84 [0.73-0.98],0.84 [0.73-0.98],0.84 [0.73-0.98],0.84 [0.73-0.98],0.84 [0.72-0.98],0.84 [0.73-0.98],0.84 [0.73-0.98],0.84 [0.72-0.97],0.84 [0.72-0.97],0.84 [0.72-0.98],0.84 [0.72-0.98],0.84 [0.72-0.98],0.84 [0.72-0.98],0.85 [0.73-1]
BMI,Underweight,1.09 [0.63-1.88],1.05 [0.58-1.91],1 [0.55-1.82],0.99 [0.54-1.81],0.97 [0.53-1.77],0.97 [0.53-1.77],0.97 [0.53-1.77],1.02 [0.55-1.87],1.01 [0.55-1.86],1.03 [0.56-1.89],1.02 [0.56-1.89],1.03 [0.56-1.9],1.03 [0.56-1.9],1.03 [0.56-1.91],1.03 [0.56-1.91],1.09 [0.59-2.03],1.09 [0.59-2.03],1.09 [0.58-2.02],1.09 [0.58-2.02],1.08 [0.58-2.01],1.12 [0.6-2.08],1.13 [0.61-2.1],1.15 [0.62-2.14],1.15 [0.62-2.14],1.38 [0.73-2.6]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.68 [0.55-0.84],0.54 [0.43-0.68],0.55 [0.43-0.69],0.57 [0.45-0.72],0.57 [0.45-0.73],0.56 [0.44-0.73],0.56 [0.44-0.73],0.57 [0.44-0.74],0.57 [0.44-0.74],0.58 [0.45-0.75],0.58 [0.45-0.75],0.58 [0.45-0.75],0.58 [0.45-0.75],0.58 [0.45-0.75],0.58 [0.45-0.75],0.58 [0.45-0.75],0.58 [0.45-0.75],0.57 [0.44-0.74],0.57 [0.44-0.74],0.57 [0.44-0.74],0.56 [0.43-0.73],0.57 [0.44-0.74],0.58 [0.44-0.75],0.58 [0.45-0.75],0.56 [0.43-0.73]
Ever smoker,Former cigarette smoker,0.76 [0.67-0.85],0.89 [0.78-1],0.92 [0.81-1.05],0.95 [0.84-1.08],0.93 [0.81-1.05],0.91 [0.8-1.05],0.91 [0.8-1.05],0.92 [0.8-1.05],0.92 [0.8-1.05],0.92 [0.8-1.06],0.92 [0.8-1.06],0.92 [0.8-1.06],0.92 [0.8-1.06],0.92 [0.8-1.05],0.92 [0.8-1.05],0.92 [0.8-1.05],0.92 [0.8-1.05],0.92 [0.8-1.05],0.91 [0.79-1.05],0.91 [0.79-1.05],0.91 [0.79-1.05],0.91 [0.79-1.05],0.92 [0.8-1.06],0.92 [0.8-1.06],0.91 [0.78-1.05]
Ever smoker,Prefer not to say,0.68 [0.45-1.04],0.63 [0.4-0.98],0.64 [0.41-1.01],0.67 [0.42-1.06],0.64 [0.4-1.02],0.77 [0.42-1.4],0.77 [0.42-1.4],0.76 [0.41-1.38],0.75 [0.41-1.37],0.74 [0.4-1.35],0.74 [0.41-1.36],0.74 [0.41-1.36],0.74 [0.41-1.36],0.74 [0.41-1.36],0.74 [0.41-1.36],0.74 [0.4-1.35],0.74 [0.4-1.35],0.74 [0.4-1.35],0.75 [0.41-1.37],0.75 [0.41-1.37],0.75 [0.41-1.37],0.76 [0.41-1.4],0.74 [0.4-1.36],0.74 [0.4-1.36],0.84 [0.45-1.57]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.45 [0.38-0.52],0.72 [0.61-0.85],0.7 [0.59-0.83],0.69 [0.58-0.81],0.67 [0.56-0.8],0.68 [0.57-0.82],0.69 [0.57-0.83],0.69 [0.57-0.83],0.7 [0.58-0.85],0.74 [0.61-0.89],0.73 [0.6-0.88],0.73 [0.6-0.88],0.73 [0.6-0.88],0.73 [0.6-0.88],0.73 [0.6-0.88],0.74 [0.61-0.9],0.75 [0.61-0.9],0.74 [0.61-0.9],0.76 [0.62-0.93],0.76 [0.63-0.93],0.84 [0.68-1.02],0.84 [0.69-1.03],0.85 [0.69-1.04],0.85 [0.69-1.04],0.84 [0.69-1.04]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,0.19 [0.04-0.89],0.16 [0.03-0.78],0.16 [0.03-0.81],0.17 [0.03-0.83],0.2 [0.04-1],0.1 [0.01-0.87],0.1 [0.01-0.83],0.13 [0.02-1.1],0.13 [0.02-1.1],0.12 [0.01-1.03],0.12 [0.01-1.03],0.12 [0.01-1.01],0.12 [0.01-1.01],0.13 [0.02-1.12],0.13 [0.02-1.12],0.13 [0.02-1.15],0.13 [0.02-1.13],0.13 [0.02-1.14],0.13 [0.02-1.16],0.13 [0.02-1.16],0.14 [0.02-1.24],0.15 [0.02-1.32],0.15 [0.02-1.36],0.15 [0.02-1.35],0.11 [0.01-0.95]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.43 [0.36-0.52],0.56 [0.45-0.68],0.6 [0.49-0.73],0.58 [0.47-0.71],0.53 [0.43-0.65],0.58 [0.46-0.73],0.59 [0.47-0.75],0.62 [0.49-0.79],0.62 [0.49-0.79],0.62 [0.49-0.79],0.62 [0.49-0.78],0.61 [0.48-0.77],0.61 [0.48-0.77],0.61 [0.48-0.77],0.61 [0.48-0.77],0.62 [0.49-0.78],0.62 [0.49-0.78],0.62 [0.49-0.78],0.62 [0.49-0.78],0.62 [0.49-0.78],0.62 [0.49-0.78],0.62 [0.49-0.79],0.62 [0.49-0.79],0.62 [0.49-0.79],0.7 [0.55-0.9]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.61 [0.5-0.75],0.97 [0.79-1.2],1.05 [0.85-1.3],1.04 [0.84-1.29],1.02 [0.82-1.27],1.06 [0.84-1.34],1.07 [0.85-1.36],1.13 [0.89-1.43],1.13 [0.89-1.43],1.16 [0.91-1.47],1.16 [0.91-1.47],1.15 [0.91-1.47],1.15 [0.91-1.47],1.16 [0.91-1.47],1.16 [0.91-1.47],1.16 [0.91-1.47],1.15 [0.91-1.47],1.15 [0.91-1.47],1.16 [0.91-1.48],1.16 [0.91-1.48],1.16 [0.91-1.47],1.16 [0.91-1.48],1.16 [0.91-1.48],1.16 [0.91-1.48],1.3 [1.01-1.66]
Hypertension (high blood pressure),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension (high blood pressure),1,0.59 [0.51-0.67],0.94 [0.81-1.09],0.96 [0.83-1.12],0.94 [0.81-1.1],0.94 [0.81-1.1],0.99 [0.84-1.17],1 [0.85-1.18],1.02 [0.87-1.21],1.03 [0.87-1.22],1.07 [0.9-1.26],1.06 [0.89-1.25],1.06 [0.89-1.25],1.06 [0.89-1.25],1.06 [0.89-1.26],1.06 [0.89-1.26],1.06 [0.89-1.26],1.07 [0.9-1.26],1.07 [0.9-1.27],1.07 [0.9-1.27],1.07 [0.9-1.27],1.07 [0.9-1.27],1.07 [0.9-1.27],1.08 [0.91-1.28],1.08 [0.91-1.28],1.09 [0.92-1.3]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,0.62 [0.38-1.02],0.98 [0.6-1.63],1.08 [0.65-1.79],1.02 [0.6-1.71],0.98 [0.57-1.68],0.94 [0.54-1.66],0.93 [0.53-1.64],0.99 [0.56-1.74],0.98 [0.56-1.73],0.99 [0.56-1.75],0.97 [0.55-1.71],0.97 [0.55-1.71],0.97 [0.55-1.71],0.97 [0.55-1.71],0.97 [0.55-1.71],0.96 [0.54-1.7],0.96 [0.54-1.7],0.96 [0.54-1.7],0.99 [0.56-1.75],0.99 [0.56-1.75],0.98 [0.56-1.74],0.99 [0.56-1.75],0.99 [0.56-1.76],0.99 [0.56-1.76],0.98 [0.55-1.75]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.39 [0.23-0.65],0.59 [0.35-0.99],0.58 [0.35-0.99],0.58 [0.34-0.98],0.63 [0.37-1.07],0.71 [0.41-1.24],0.7 [0.4-1.22],0.76 [0.44-1.33],0.85 [0.48-1.5],0.85 [0.48-1.51],0.84 [0.47-1.48],0.83 [0.47-1.47],0.83 [0.47-1.47],0.83 [0.47-1.47],0.83 [0.47-1.47],0.88 [0.49-1.57],0.88 [0.49-1.56],0.87 [0.49-1.55],0.9 [0.5-1.61],0.9 [0.5-1.61],0.92 [0.51-1.65],0.93 [0.52-1.67],0.96 [0.53-1.72],0.96 [0.53-1.72],1.04 [0.58-1.86]
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,0.99 [0.48-2.03],1.01 [0.47-2.15],0.98 [0.45-2.11],0.94 [0.43-2.05],0.87 [0.39-1.96],0.89 [0.37-2.13],0.87 [0.36-2.07],0.92 [0.38-2.23],0.91 [0.38-2.21],0.97 [0.4-2.36],0.96 [0.4-2.31],0.96 [0.4-2.32],0.96 [0.4-2.32],0.97 [0.4-2.35],0.97 [0.4-2.35],1 [0.41-2.44],1 [0.41-2.43],1 [0.41-2.43],0.98 [0.4-2.37],0.98 [0.4-2.36],0.99 [0.41-2.38],0.99 [0.41-2.36],1.02 [0.43-2.46],1.04 [0.43-2.49],1.07 [0.44-2.61]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,0.66 [0.43-0.99],0.54 [0.34-0.85],0.51 [0.32-0.81],0.5 [0.31-0.8],0.46 [0.29-0.75],0.45 [0.27-0.76],0.45 [0.27-0.76],0.49 [0.29-0.82],0.49 [0.29-0.83],0.51 [0.3-0.86],0.51 [0.3-0.86],0.51 [0.3-0.86],0.51 [0.3-0.86],0.51 [0.3-0.87],0.51 [0.3-0.87],0.51 [0.3-0.87],0.52 [0.31-0.88],0.52 [0.31-0.89],0.52 [0.3-0.88],0.52 [0.3-0.88],0.54 [0.32-0.93],0.55 [0.32-0.94],0.55 [0.32-0.93],0.55 [0.32-0.94],0.47 [0.27-0.82]
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,1.18 [1-1.4],0.93 [0.78-1.12],0.91 [0.75-1.09],0.91 [0.75-1.09],0.86 [0.71-1.04],0.86 [0.7-1.06],0.87 [0.71-1.07],0.89 [0.73-1.1],0.89 [0.72-1.09],0.89 [0.72-1.09],0.89 [0.72-1.09],0.88 [0.72-1.09],0.88 [0.72-1.09],0.88 [0.72-1.09],0.88 [0.72-1.09],0.9 [0.73-1.1],0.9 [0.73-1.1],0.89 [0.72-1.1],0.89 [0.72-1.1],0.89 [0.72-1.1],0.89 [0.72-1.09],0.89 [0.72-1.1],0.91 [0.73-1.12],0.91 [0.73-1.12],0.95 [0.77-1.18]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
