Question,Category,Total antibody positive,Total tests (with valid results),Crude prevalence,Prevalence adjusted for test,Weighted prevalence
health_conditions,1,4686,99777,4.70 [4.57-4.83],3.97 [3.82-4.13],4.84 [4.67-5.02]
health_conditions,0,9719,194223,5.00 [4.91-5.10],4.34 [4.23-4.46],5.21 [5.08-5.33]
bmi_lower,Underweight (<18.5),173,4645,3.72 [3.22-4.31],2.80 [2.19-3.50],4.25 [3.60-4.98]
bmi_lower,Normal (18.5-23.4),3209,71579,4.48 [4.33-4.64],3.71 [3.53-3.90],4.42 [4.23-4.62]
bmi_lower,Overweight (23.5-27.4),6077,128121,4.74 [4.63-4.86],4.03 [3.89-4.17],4.97 [4.82-5.12]
bmi_lower,Obese (>=27.5),6292,119004,5.29 [5.16-5.42],4.68 [4.53-4.84],5.50 [5.33-5.66]
CAREHOME,Yes,49,738,6.64 [5.06-8.67],6.31 [4.41-8.76],8.13 [6.09-10.65]
CAREHOME,No,17527,364366,4.81 [4.74-4.88],4.11 [4.03-4.19],4.94 [4.85-5.03]
symptoms_cat,No symptoms,5679,299390,1.90 [1.85-1.95],0.60 [0.54-0.66],0.98 [0.91-1.04]
symptoms_cat,Atypical symptoms only,1125,11888,9.46 [8.95-10.00],9.71 [9.10-10.36],10.16 [9.56-10.80]
symptoms_cat,Screening symptoms,10772,53826,20.01 [19.68-20.35],22.42 [22.02-22.83],24.58 [24.17-25.00]
num_child,0,11678,250254,4.67 [4.58-4.75],3.94 [3.84-4.04],4.67 [4.56-4.78]
num_child,1,2702,51240,5.27 [5.08-5.47],4.67 [4.44-4.90],5.49 [5.25-5.74]
num_child,2,2445,49229,4.97 [4.78-5.16],4.30 [4.07-4.53],5.33 [5.08-5.58]
num_child,>2,750,14342,5.23 [4.88-5.61],4.61 [4.19-5.07],6.28 [5.82-6.76]
covid_severity,No treatment,7247,40705,17.80 [17.44-18.18],19.76 [19.32-20.21],21.45 [21.00-21.90]
covid_severity,Sought medical care,3801,20916,18.17 [17.66-18.70],20.21 [19.59-20.84],22.18 [21.56-22.82]
covid_severity,Hospital admission,215,739,29.09 [25.93-32.47],33.37 [29.56-37.43],35.80 [32.11-39.70]
covid_severity,ICU,58,120,48.33 [39.58-57.19],56.55 [46.00-67.21],51.25 [41.40-61.52]
num_child_under_5,0,15925,331970,4.80 [4.72-4.87],4.09 [4.01-4.18],4.91 [4.82-5.01]
num_child_under_5,1,1381,27909,4.95 [4.70-5.21],4.27 [3.98-4.59],5.04 [4.73-5.35]
num_child_under_5,2,261,5031,5.19 [4.61-5.84],4.56 [3.87-5.34],6.43 [5.67-7.27]
num_child_under_5,>2,9,194,4.64 [2.46-8.58],3.90 [1.28-8.65],2.43 [0.41-6.27]
num_child_5_to_10,0,15521,321822,4.82 [4.75-4.90],4.12 [4.04-4.21],4.94 [4.85-5.04]
num_child_5_to_10,1,1562,33425,4.67 [4.45-4.90],3.94 [3.68-4.22],4.81 [4.53-5.11]
num_child_5_to_10,2,464,9285,5.00 [4.57-5.46],4.33 [3.82-4.89],5.24 [4.69-5.83]
num_child_5_to_10,>2,29,572,5.07 [3.55-7.19],4.42 [2.59-6.97],8.92 [6.53-11.90]
num_child_11_to_17,0,14657,311067,4.71 [4.64-4.79],3.99 [3.90-4.08],4.76 [4.66-4.85]
num_child_11_to_17,1,2090,38896,5.37 [5.15-5.60],4.79 [4.52-5.06],5.93 [5.64-6.23]
num_child_11_to_17,2,741,13700,5.41 [5.04-5.80],4.83 [4.39-5.30],6.30 [5.80-6.84]
num_child_11_to_17,>2,88,1441,6.11 [4.98-7.46],5.67 [4.32-7.31],6.94 [5.51-8.64]
ethnic,White British,14097,318387,4.43 [4.36-4.50],3.65 [3.56-3.73],3.96 [3.87-4.05]
ethnic,White Irish,227,3496,6.49 [5.72-7.36],6.14 [5.21-7.18],7.52 [6.54-8.62]
ethnic,White gypsy or Irish traveller,6,86,6.98 [3.24-14.40],6.72 [2.21-15.66],4.34 [0.91-11.78]
ethnic,Any other white background,1057,16998,6.22 [5.87-6.59],5.81 [5.38-6.25],6.10 [5.69-6.54]
ethnic,Mixed white / black Carribean,67,1070,6.26 [4.96-7.88],5.86 [4.29-7.80],6.39 [4.76-8.40]
ethnic,mixed white / black African,28,380,7.37 [5.15-10.44],7.19 [4.51-10.90],7.51 [4.82-11.19]
ethnic,Mixed white and Asian,82,1426,5.75 [4.66-7.08],5.24 [3.92-6.85],6.05 [4.55-7.86]
ethnic,Any other mixed / multiple ethnic background,113,1644,6.87 [5.75-8.20],6.59 [5.24-8.19],7.44 [5.90-9.25]
ethnic,Indian,566,6859,8.25 [7.62-8.93],8.26 [7.50-9.07],8.99 [8.35-9.66]
ethnic,Pakistani,179,1732,10.33 [8.99-11.86],10.76 [9.14-12.60],14.54 [13.53-15.62]
ethnic,Bangladeshi,77,702,10.97 [8.87-13.50],11.53 [9.00-14.57],10.00 [8.70-11.44]
ethnic,Chinese,77,1430,5.38 [4.33-6.68],4.80 [3.53-6.36],5.75 [4.55-7.15]
ethnic,Other Asian,249,2383,10.45 [9.28-11.74],10.90 [9.50-12.46],12.49 [11.37-13.70]
ethnic,African,267,1803,14.81 [13.24-16.52],16.16 [14.27-18.22],17.21 [16.08-18.40]
ethnic,Caribbean,94,1086,8.66 [7.13-10.48],8.74 [6.90-10.94],9.56 [8.40-10.84]
ethnic,Other black / African / Caribbean background,30,251,11.95 [8.50-16.55],12.71 [8.56-18.25],12.89 [10.38-15.82]
ethnic,Arab,45,585,7.69 [5.80-10.14],7.58 [5.30-10.53],8.07 [6.14-10.42]
ethnic,Any other ethnic group,202,2509,8.05 [7.05-9.18],8.01 [6.81-9.37],9.78 [8.59-11.10]
ethnic,Prefer not to say,112,2227,5.03 [4.20-6.02],4.37 [3.37-5.56],5.15 [4.14-6.33]
work_type_broad,Healthcare,1594,16284,9.79 [9.34-10.25],10.11 [9.57-10.67],11.66 [11.08-12.26]
work_type_broad,Care home,353,3094,11.41 [10.34-12.58],12.06 [10.77-13.47],13.92 [12.54-15.42]
work_type_broad,Other essential worker,3691,69114,5.34 [5.18-5.51],4.75 [4.55-4.95],5.50 [5.29-5.72]
work_type_broad,Other worker,6875,139368,4.93 [4.82-5.05],4.26 [4.12-4.40],5.17 [5.02-5.32]
work_type_broad,Not in employment,4916,134136,3.66 [3.57-3.77],2.73 [2.61-2.85],3.47 [3.35-3.61]
age_group_broad,18-24,1448,21755,6.66 [6.33-6.99],6.33 [5.94-6.74],7.19 [6.88-7.50]
age_group_broad,25-44,5744,108020,5.32 [5.19-5.45],4.72 [4.56-4.88],5.64 [5.48-5.81]
age_group_broad,45-64,7656,149638,5.12 [5.01-5.23],4.48 [4.34-4.61],5.22 [5.06-5.38]
age_group_broad,65+,2728,85691,3.18 [3.07-3.30],2.15 [2.01-2.29],2.46 [2.32-2.62]
