Question,Category,Total antibody positive_r1,Total tests (with valid results)_r1,Crude prevalence_r1,Prevalence adjusted for test_r1,Weighted prevalence_r1,Total antibody positive_r2,Total tests (with valid results)_r2,Crude prevalence_r2,Prevalence adjusted for test_r2,Weighted prevalence_r2,Total antibody positive_r3,Total tests (with valid results)_r3,Crude prevalence_r3,Prevalence adjusted for test_r3,Weighted prevalence_r3,percent_diff_unweighted12,percent_diff_weighted12,percent_diff_unweighted23,percent_diff_weighted23,percent_diff_unweighted13,percent_diff_weighted13
ethnic_num,White,4827,92737,5.21 [5.06-5.35],4.58 [4.41-4.76],5.01 [4.83-5.19],4384,98003,4.47 [4.35-4.60],3.70 [3.55-3.86],4.05 [3.89-4.22],6176,148227,4.17 [4.07-4.27],3.33 [3.21-3.46],3.63 [3.50-3.76],"-19.43 [-22.93, -15.94]","-19.16 [-22.55, -15.77]","-9.73 [-13.51, -5.95]","-10.37 [-14.07, -6.67]","-24.95 [-27.94, -21.96]","-27.54 [-30.74, -24.35]"
ethnic_num,Mixed,106,1347,7.87 [6.55-9.43],7.79 [6.20-9.67],8.92 [7.09-11.08],76,1308,5.81 [4.67-7.21],5.31 [3.94-7.00],6.19 [4.66-8.05],108,1865,5.79 [4.82-6.94],5.29 [4.12-6.68],5.69 [4.46-7.16],"-31.96 [-52.37, -11.55]","-30.61 [-50.78, -10.43]","-0.38 [-26.18, 25.42]","-7.92 [-31.99, 16.16]","-28.14 [-44.73, -11.55]","-36.10 [-54.71, -17.49]"
ethnic_num,Asian,369,3658,10.09 [9.15-11.11],10.47 [9.34-11.69],11.86 [10.99-12.77],340,3930,8.65 [7.81-9.57],8.74 [7.73-9.84],11.23 [10.40-12.10],439,5518,7.96 [7.27-8.70],7.90 [7.07-8.79],9.70 [9.06-10.38],"-16.62 [-27.03, -6.21]","-5.31 [-12.48, 1.85]","-9.50 [-20.25, 1.26]","-13.62 [-20.21, -7.03]","-21.67 [-30.10, -13.24]","-18.21 [-24.70, -11.72]"
ethnic_num,Black,135,900,15.00 [12.82-17.48],16.39 [13.75-19.38],17.34 [15.75-19.05],102,936,10.90 [9.06-13.06],11.44 [9.23-14.04],11.92 [10.56-13.42],154,1304,11.81 [10.17-13.67],12.54 [10.57-14.79],13.77 [12.56-15.06],"-30.14 [-45.70, -14.58]","-31.26 [-39.91, -22.61]","9.53 [-9.70, 28.76]","15.52 [4.53, 26.51]","-22.20 [-36.16, -8.25]","-20.59 [-28.78, -12.40]"
ethnic_num,Other,79,762,10.37 [8.40-12.73],10.80 [8.43-13.66],12.28 [10.21-14.66],70,939,7.45 [5.94-9.31],7.29 [5.47-9.53],8.25 [6.50-10.33],98,1393,7.04 [5.81-8.50],6.79 [5.31-8.55],8.25 [6.77-9.95],"-32.59 [-53.61, -11.57]","-32.82 [-49.27, -16.37]","-6.72 [-31.28, 17.83]","-0.12 [-20.85, 20.61]","-32.65 [-49.84, -15.47]","-32.90 [-48.21, -17.59]"
region,North East,196,3574,5.48 [4.78-6.28],4.92 [4.08-5.88],5.03 [4.30-5.85],202,4027,5.02 [4.38-5.73],4.36 [3.59-5.22],4.34 [3.66-5.10],296,6327,4.68 [4.18-5.23],3.95 [3.36-4.61],3.87 [3.33-4.46],"-11.38 [-28.25, 5.49]","-13.92 [-28.43, 0.60]","-9.40 [-25.69, 6.88]","-10.83 [-25.35, 3.69]","-19.28 [-34.39, -4.17]","-23.26 [-36.38, -10.14]"
region,North West,714,11996,5.95 [5.54-6.39],5.48 [4.99-6.01],6.65 [6.14-7.19],657,12995,5.06 [4.69-5.45],4.40 [3.97-4.87],5.25 [4.80-5.74],910,18616,4.89 [4.59-5.21],4.20 [3.84-4.59],4.50 [4.15-4.87],"-19.53 [-28.10, -10.95]","-21.05 [-28.42, -13.68]","-4.77 [-13.86, 4.32]","-14.10 [-21.90, -6.29]","-19.25 [-25.86, -12.63]","-32.18 [-38.80, -25.56]"
region,Yorkshire and The Humber,284,6519,4.36 [3.89-4.88],3.56 [3.00-4.19],3.95 [3.46-4.48],306,7391,4.14 [3.71-4.62],3.30 [2.78-3.88],3.97 [3.50-4.49],399,10594,3.77 [3.42-4.15],2.85 [2.43-3.31],3.37 [3.01-3.77],"-7.58 [-23.31, 8.15]","0.76 [-11.65, 13.16]","-13.33 [-27.88, 1.21]","-15.37 [-26.20, -4.53]","-17.97 [-30.89, -5.06]","-14.68 [-25.82, -3.54]"
region,East Midlands,601,12684,4.74 [4.38-5.12],4.02 [3.59-4.48],4.23 [3.71-4.80],533,13685,3.89 [3.58-4.23],3.01 [2.63-3.41],3.37 [2.90-3.89],756,20469,3.69 [3.44-3.96],2.76 [2.46-3.09],3.11 [2.73-3.52],"-25.37 [-35.57, -15.17]","-20.33 [-32.39, -8.27]","-7.97 [-19.27, 3.32]","-7.72 [-20.77, 5.34]","-29.79 [-38.53, -21.04]","-26.48 [-37.35, -15.60]"
region,West Midlands,547,9620,5.69 [5.24-6.17],5.16 [4.63-5.74],5.82 [5.28-6.40],592,10062,5.88 [5.44-6.36],5.40 [4.87-5.98],6.97 [6.41-7.57],672,15046,4.47 [4.15-4.81],3.69 [3.31-4.11],4.77 [4.37-5.19],"4.46 [-6.01, 14.92]","19.93 [10.31, 29.55]","-31.48 [-40.19, -22.78]","-31.71 [-38.74, -24.68]","-25.26 [-33.33, -17.18]","-18.04 [-26.29, -9.79]"
region,East of England,805,14433,5.58 [5.21-5.96],5.03 [4.60-5.50],5.09 [4.59-5.63],689,15189,4.54 [4.22-4.88],3.78 [3.39-4.19],4.02 [3.58-4.50],993,23174,4.28 [4.03-4.55],3.48 [3.17-3.80],3.69 [3.34-4.07],"-25.05 [-33.20, -16.90]","-20.83 [-30.26, -11.39]","-8.20 [-17.46, 1.06]","-8.21 [-18.41, 1.99]","-30.84 [-38.31, -23.38]","-27.31 [-35.95, -18.66]"
region,London,1045,9547,10.95 [10.34-11.59],11.50 [10.77-12.27],12.96 [12.34-13.59],855,9872,8.66 [8.12-9.23],8.75 [8.10-9.44],9.38 [8.86-9.93],1265,15227,8.31 [7.88-8.76],8.32 [7.81-8.86],9.46 [9.03-9.91],"-24.00 [-30.00, -18.00]","-27.55 [-31.94, -23.15]","-4.80 [-11.54, 1.94]","0.75 [-4.37, 5.86]","-24.54 [-29.40, -19.68]","-27.01 [-31.10, -22.92]"
region,South East,995,21979,4.53 [4.26-4.81],3.77 [3.45-4.11],3.92 [3.54-4.32],891,22632,3.94 [3.69-4.20],3.06 [2.76-3.37],3.09 [2.75-3.45],1325,34738,3.81 [3.62-4.02],2.91 [2.67-3.16],3.01 [2.74-3.30],"-18.83 [-27.06, -10.61]","-21.43 [-30.61, -12.24]","-5.23 [-14.05, 3.59]","-2.27 [-12.30, 7.77]","-22.19 [-29.34, -15.05]","-23.21 [-31.63, -14.80]"
region,South West,357,9556,3.74 [3.37-4.14],2.81 [2.38-3.30],2.79 [2.37-3.25],270,9976,2.71 [2.41-3.04],1.57 [1.21-1.98],1.28 [0.95-1.65],421,15176,2.77 [2.52-3.05],1.66 [1.35-1.99],1.62 [1.34-1.94],"-44.13 [-58.72, -29.54]","-54.48 [-68.46, -40.50]","4.46 [-17.20, 26.11]","27.34 [2.34, 52.34]","-41.94 [-55.56, -28.32]","-41.94 [-55.20, -28.67]"
imd_quintile,Most deprived: 1,682,10082,6.76 [6.29-7.27],6.46 [5.89-7.07],7.28 [6.84-7.74],639,10997,5.81 [5.39-6.26],5.31 [4.81-5.86],6.27 [5.86-6.69],827,15681,5.27 [4.93-5.63],4.67 [4.26-5.10],5.39 [5.08-5.71],"-17.80 [-26.32, -9.29]","-13.87 [-19.64, -8.10]","-12.24 [-20.90, -3.58]","-14.04 [-19.78, -8.29]","-24.73 [-31.59, -17.86]","-25.96 [-31.18, -20.74]"
imd_quintile,2,947,16015,5.91 [5.56-6.29],5.44 [5.01-5.89],6.43 [6.03-6.85],855,16973,5.04 [4.72-5.38],4.38 [4.00-4.79],5.35 [4.98-5.73],1183,25206,4.69 [4.44-4.96],3.97 [3.66-4.29],4.82 [4.53-5.12],"-19.12 [-26.65, -11.58]","-16.80 [-22.71, -10.89]","-9.82 [-17.81, -1.83]","-9.91 [-16.07, -3.74]","-22.86 [-28.62, -17.11]","-25.04 [-30.48, -19.60]"
imd_quintile,3,1196,21474,5.57 [5.27-5.88],5.02 [4.66-5.40],5.87 [5.48-6.29],1027,23231,4.42 [4.16-4.69],3.64 [3.33-3.97],4.46 [4.12-4.82],1518,34548,4.39 [4.18-4.62],3.61 [3.35-3.87],4.37 [4.09-4.66],"-27.49 [-34.26, -20.72]","-24.19 [-30.49, -17.89]","-1.10 [-8.79, 6.59]","-2.02 [-8.97, 4.93]","-24.19 [-29.47, -18.91]","-25.72 [-31.52, -19.93]"
imd_quintile,4,1287,24840,5.18 [4.91-5.46],4.56 [4.23-4.90],5.22 [4.84-5.62],1182,25979,4.55 [4.30-4.81],3.79 [3.50-4.11],4.25 [3.91-4.61],1678,39595,4.24 [4.04-4.44],3.42 [3.19-3.66],3.84 [3.57-4.12],"-16.45 [-23.25, -9.65]","-18.58 [-25.48, -11.69]","-10.03 [-17.15, -2.90]","-9.65 [-16.94, -2.35]","-21.65 [-27.01, -16.28]","-26.44 [-32.76, -20.11]"
imd_quintile,Least deprived: 5,1432,27497,5.21 [4.95-5.48],4.59 [4.28-4.91],4.99 [4.61-5.39],1292,28649,4.51 [4.28-4.76],3.75 [3.46-4.04],3.85 [3.52-4.21],1831,44337,4.13 [3.95-4.32],3.29 [3.07-3.52],3.51 [3.24-3.78],"-18.30 [-24.84, -11.76]","-22.65 [-29.86, -15.43]","-12.27 [-18.93, -5.60]","-9.09 [-16.88, -1.30]","-26.05 [-31.46, -20.64]","-29.66 [-36.27, -23.05]"
edu_num,No qualification,420,9101,4.61 [4.20-5.07],3.87 [3.38-4.42],4.44 [3.95-4.97],398,10207,3.90 [3.54-4.29],3.01 [2.58-3.48],3.49 [3.05-3.97],557,14701,3.79 [3.49-4.11],2.88 [2.52-3.26],3.27 [2.91-3.66],"-22.22 [-34.37, -10.08]","-21.62 [-32.21, -11.04]","-4.32 [-17.61, 8.97]","-6.02 [-17.77, 5.73]","-22.30 [-32.21, -12.39]","-26.35 [-36.26, -16.44]"
edu_num,Other,382,6758,5.65 [5.13-6.23],5.12 [4.49-5.82],5.77 [5.11-6.48],328,6979,4.70 [4.23-5.22],3.98 [3.41-4.60],4.57 [3.97-5.23],420,10552,3.98 [3.62-4.37],3.11 [2.68-3.58],3.89 [3.42-4.41],"-22.27 [-34.38, -10.16]","-20.80 [-31.89, -9.71]","-21.86 [-34.92, -8.79]","-14.88 [-26.91, -2.84]","-34.84 [-44.37, -25.30]","-32.58 [-42.63, -22.53]"
edu_num,GCSE,1135,22204,5.11 [4.83-5.41],4.47 [4.13-4.83],5.27 [4.90-5.66],1024,23660,4.33 [4.08-4.59],3.53 [3.22-3.85],4.20 [3.87-4.55],1346,33802,3.98 [3.78-4.20],3.11 [2.87-3.37],3.54 [3.27-3.81],"-21.03 [-28.19, -13.87]","-20.30 [-26.94, -13.66]","-11.90 [-19.83, -3.97]","-15.71 [-22.86, -8.57]","-25.81 [-31.50, -20.11]","-32.83 [-38.90, -26.76]"
edu_num,Post-GCSE qualification,1515,27597,5.49 [5.23-5.76],4.93 [4.61-5.26],5.90 [5.55-6.25],1410,29290,4.81 [4.57-5.07],4.11 [3.82-4.42],5.03 [4.72-5.35],1985,43693,4.54 [4.35-4.74],3.79 [3.56-4.03],4.44 [4.20-4.69],"-16.63 [-22.72, -10.55]","-14.75 [-20.34, -9.15]","-8.03 [-14.36, -1.70]","-11.73 [-17.30, -6.16]","-19.49 [-24.24, -14.75]","-24.75 [-29.66, -19.83]"
edu_num,Degree or above,2062,33751,6.11 [5.86-6.37],5.67 [5.37-5.99],6.96 [6.63-7.30],1805,34911,5.17 [4.94-5.41],4.54 [4.27-4.83],5.56 [5.26-5.86],2677,55453,4.83 [4.65-5.01],4.13 [3.92-4.35],5.21 [4.98-5.45],"-19.93 [-25.04, -14.81]","-20.26 [-24.71, -15.80]","-9.03 [-14.32, -3.74]","-6.29 [-10.97, -1.62]","-22.13 [-25.86, -18.39]","-25.29 [-29.31, -21.26]"
gross_household_cat,"Â£0-14,999",297,6482,4.58 [4.10-5.12],3.83 [3.25-4.48],5.22 [4.61-5.89],263,6936,3.79 [3.37-4.27],2.88 [2.37-3.45],3.67 [3.14-4.25],348,9978,3.49 [3.15-3.87],2.52 [2.10-2.97],3.23 [2.81-3.69],"-24.80 [-39.43, -10.18]","-29.69 [-40.80, -18.58]","-12.50 [-29.17, 4.17]","-11.99 [-25.34, 1.36]","-25.10 [-35.06, -15.13]","-38.12 [-48.28, -27.97]"
gross_household_cat,"Â£15,000-49,999",1650,31146,5.30 [5.05-5.55],4.70 [4.40-5.00],5.57 [5.26-5.90],1357,31362,4.33 [4.11-4.56],3.53 [3.26-3.80],4.37 [4.09-4.67],1890,45898,4.12 [3.94-4.30],3.27 [3.06-3.50],3.79 [3.56-4.02],"-24.89 [-30.85, -18.94]","-21.72 [-27.11, -16.34]","-7.08 [-13.88, -0.28]","-13.50 [-19.45, -7.55]","-25.49 [-30.16, -20.83]","-32.32 [-37.16, -27.47]"
gross_household_cat,"Â£50,000-149,999",1707,27252,6.26 [5.98-6.56],5.86 [5.52-6.21],6.84 [6.47-7.23],1454,26945,5.40 [5.13-5.67],4.81 [4.50-5.15],5.57 [5.23-5.93],2047,39993,5.12 [4.91-5.34],4.48 [4.22-4.75],5.44 [5.15-5.73],"-17.75 [-23.38, -12.12]","-18.42 [-23.68, -13.16]","-7.07 [-13.10, -1.04]","-2.69 [-8.26, 2.87]","-20.18 [-24.56, -15.79]","-20.61 [-25.44, -15.79]"
gross_household_cat,">Â£150,000",284,3216,8.83 [7.90-9.86],8.95 [7.83-10.19],10.32 [9.06-11.72],193,3112,6.20 [5.41-7.10],5.79 [4.83-6.87],6.69 [5.64-7.88],328,5032,6.52 [5.87-7.23],6.17 [5.38-7.03],7.04 [6.17-8.00],"-35.42 [-47.49, -23.35]","-35.27 [-46.90, -23.64]","6.74 [-8.81, 22.28]","5.23 [-9.72, 20.18]","-26.94 [-36.53, -17.34]","-31.88 [-42.64, -21.12]"
work_new,Healthcare (patient-facing),379,3402,11.14 [10.13-12.24],11.74 [10.51-13.06],12.91 [11.61-14.32],389,3511,11.08 [10.08-12.16],11.66 [10.46-12.96],13.15 [11.87-14.52],578,5416,10.67 [9.88-11.52],11.17 [10.21-12.20],13.37 [12.33-14.47],"-0.60 [-11.07, 9.88]","1.70 [-8.37, 11.77]","-4.20 [-13.64, 5.23]","1.75 [-7.15, 10.65]","-4.34 [-12.94, 4.26]","3.49 [-5.73, 12.70]"
work_new,Healthcare (other),73,1151,6.34 [5.07-7.90],5.95 [4.43-7.83],6.84 [5.15-8.91],62,1112,5.58 [4.37-7.08],5.03 [3.58-6.85],5.27 [3.74-7.20],113,1692,6.68 [5.58-7.97],6.36 [5.04-7.91],7.39 [5.95-9.07],"-15.29 [-42.52, 11.93]","-22.95 [-48.54, 2.63]","26.24 [-3.38, 55.86]","40.23 [9.87, 70.59]","5.99 [-16.37, 28.36]","8.04 [-16.52, 32.60]"
work_new,Care home (client-facing),115,761,15.11 [12.74-17.83],16.52 [13.67-19.80],19.56 [16.42-23.10],83,727,11.42 [9.31-13.93],12.07 [9.52-15.10],14.46 [11.67-17.72],108,979,11.03 [9.22-13.15],11.60 [9.42-14.15],11.09 [8.96-13.59],"-26.94 [-44.19, -9.69]","-26.02 [-41.87, -10.17]","-3.89 [-24.77, 16.98]","-23.24 [-41.36, -5.12]","-25.15 [-38.80, -11.50]","-43.20 [-57.52, -28.89]"
work_new,Care home (other),12,146,8.22 [4.76-13.82],8.22 [4.05-14.96],9.02 [4.53-16.26],12,224,5.36 [3.09-9.13],4.77 [2.04-9.31],3.63 [1.13-8.16],23,257,8.95 [6.04-13.07],9.10 [5.59-14.06],18.16 [13.28-24.23],"-41.97 [-95.86, 11.92]","-59.76 [-110.98, -8.54]","90.78 [11.32, 170.23]","400.28 [277.96, 522.59]","9.76 [-42.35, 61.86]","101.33 [40.47, 162.20]"
work_new,Other essential worker,1209,19927,6.07 [5.74-6.41],5.62 [5.23-6.03],6.63 [6.21-7.07],1019,19615,5.20 [4.89-5.51],4.57 [4.21-4.96],5.23 [4.85-5.64],1463,29572,4.95 [4.71-5.20],4.27 [3.98-4.58],4.93 [4.62-5.25],"-18.68 [-25.44, -11.92]","-21.12 [-27.15, -15.08]","-6.56 [-13.79, 0.66]","-5.74 [-12.43, 0.96]","-20.36 [-25.49, -15.23]","-25.64 [-31.22, -20.06]"
work_new,Other worker,2189,37855,5.78 [5.55-6.02],5.28 [5.00-5.57],6.50 [6.20-6.82],1982,40782,4.86 [4.66-5.07],4.17 [3.92-4.43],5.17 [4.90-5.44],2704,60731,4.45 [4.29-4.62],3.68 [3.48-3.88],4.35 [4.14-4.56],"-21.02 [-25.95, -16.10]","-20.62 [-24.92, -16.31]","-11.99 [-17.27, -6.71]","-15.86 [-20.50, -11.22]","-24.77 [-28.46, -21.08]","-33.23 [-37.23, -29.23]"
work_new,Not in employment,1516,35737,4.24 [4.04-4.46],3.42 [3.18-3.68],4.18 [3.92-4.45],1412,39030,3.62 [3.44-3.81],2.67 [2.45-2.90],3.38 [3.15-3.63],1988,59369,3.35 [3.21-3.50],2.35 [2.18-2.53],3.10 [2.91-3.29],"-21.93 [-28.65, -15.20]","-18.90 [-24.64, -13.16]","-11.99 [-19.48, -4.49]","-8.58 [-14.79, -2.37]","-25.60 [-30.62, -20.57]","-25.84 [-31.10, -20.57]"
employment,Full time,2744,41780,6.57 [6.33-6.81],6.23 [5.94-6.52],7.42 [7.12-7.72],2425,42816,5.66 [5.45-5.89],5.14 [4.88-5.41],6.01 [5.74-6.29],3491,64672,5.40 [5.23-5.57],4.82 [4.61-5.03],5.56 [5.34-5.78],"-17.66 [-21.99, -13.32]","-18.87 [-22.64, -15.09]","-6.03 [-10.51, -1.56]","-7.65 [-11.65, -3.66]","-19.00 [-22.24, -15.77]","-25.07 [-28.57, -21.56]"
employment,Part time,714,12510,5.71 [5.31-6.13],5.19 [4.72-5.70],6.38 [5.83-6.97],663,13455,4.93 [4.57-5.31],4.25 [3.82-4.71],5.10 [4.63-5.61],898,19599,4.58 [4.30-4.88],3.83 [3.49-4.20],4.52 [4.14-4.93],"-18.11 [-26.78, -9.44]","-20.06 [-28.21, -11.91]","-9.88 [-19.06, -0.71]","-11.37 [-20.00, -2.75]","-21.32 [-27.90, -14.73]","-29.15 [-36.68, -21.63]"
employment,Self-employed,570,9859,5.78 [5.34-6.26],5.28 [4.74-5.86],6.01 [5.42-6.66],495,10525,4.70 [4.31-5.12],3.98 [3.51-4.49],4.94 [4.41-5.51],660,15726,4.20 [3.89-4.52],3.37 [3.01-3.76],4.02 [3.61-4.46],"-24.62 [-34.28, -14.96]","-17.80 [-27.29, -8.32]","-15.33 [-25.88, -4.77]","-18.62 [-28.34, -8.91]","-31.78 [-39.43, -24.13]","-33.11 [-41.76, -24.46]"
employment,Govt supported training,4,36,11.11 [4.41-25.31],11.70 [3.62-28.81],8.52 [2.74-20.42],1,41,2.44 [0.43-12.60],1.25 [0.00-13.49],0.29 [0.00-8.82],2,45,4.44 [1.23-14.83],3.67 [0.00-16.18],4.24 [0.35-14.57],"-89.32 [-169.49, -9.15]","-96.60 [-172.42, -20.77]","192.80 [-315.20, 700.80]","1362.07 [-437.93, 3162.07]","-94.37 [-210.33, 21.60]","-50.23 [-137.32, 36.85]"
employment,Unemployed,110,1975,5.57 [4.64-6.67],5.02 [3.91-6.35],6.60 [5.47-7.89],113,2326,4.86 [4.06-5.81],4.17 [3.20-5.31],6.31 [5.29-7.46],144,3430,4.20 [3.58-4.92],3.37 [2.62-4.24],3.78 [3.09-4.56],"-16.93 [-39.04, 5.18]","-4.39 [-21.21, 12.42]","-19.18 [-41.01, 2.64]","-40.10 [-54.36, -25.83]","-25.00 [-40.30, -9.70]","-42.73 [-57.42, -28.03]"
employment,Retired,751,21730,3.46 [3.22-3.71],2.48 [2.19-2.78],2.85 [2.55-3.16],743,24568,3.02 [2.82-3.25],1.96 [1.71-2.22],2.07 [1.81-2.35],1062,37468,2.83 [2.67-3.01],1.73 [1.53-1.94],1.91 [1.70-2.14],"-21.37 [-32.26, -10.48]","-27.02 [-36.84, -17.19]","-11.73 [-23.47, 0.00]","-7.25 [-18.84, 4.35]","-26.67 [-35.44, -17.89]","-32.28 [-41.40, -23.16]"
employment,Student,152,2086,7.29 [6.25-8.48],7.09 [5.84-8.53],7.97 [6.95-9.09],108,1565,6.90 [5.75-8.27],6.63 [5.24-8.27],8.78 [7.59-10.11],152,2419,6.28 [5.38-7.32],5.88 [4.80-7.13],7.65 [6.78-8.60],"-6.63 [-26.23, 12.98]","10.29 [-4.02, 24.59]","-11.31 [-31.22, 8.60]","-12.87 [-25.06, -0.68]","-15.31 [-30.74, 0.13]","-3.89 [-16.06, 8.28]"
employment,Looking after home/family,204,4245,4.81 [4.20-5.49],4.10 [3.38-4.93],4.80 [3.98-5.72],163,3898,4.18 [3.60-4.86],3.35 [2.65-4.16],3.55 [2.80-4.42],235,6074,3.87 [3.41-4.38],2.97 [2.42-3.59],3.60 [2.98-4.30],"-18.54 [-36.83, -0.24]","-26.04 [-43.12, -8.96]","-11.04 [-30.75, 8.66]","1.41 [-18.87, 21.69]","-23.54 [-37.50, -9.58]","-25.00 [-40.62, -9.38]"
employment,Sick/disabled,69,1766,3.91 [3.10-4.92],3.02 [2.05-4.24],2.90 [1.97-4.05],73,1943,3.76 [3.00-4.70],2.84 [1.93-3.97],4.12 [3.11-5.32],89,2831,3.14 [2.56-3.85],2.10 [1.40-2.96],2.50 [1.78-3.36],"-5.96 [-40.07, 28.15]","42.07 [6.21, 77.93]","-26.06 [-57.04, 4.93]","-39.56 [-62.14, -16.99]","-31.72 [-63.45, 0.00]","-14.14 [-45.17, 16.90]"
