Variable,Category,total,Number with 1 or more symptoms (weighted),Number with 2 or more symptoms (weighted),Number with 3 or more symptoms (weighted),Prevalence 1 or more symptoms (weighted),Prevalence 2 or more symptoms (weighted),Prevalence 3 or more symptoms (weighted)
Index of multiple deprivation (IMD) quintile,2,80894,4424,2688,1661,5.42 [5.29-5.56],3.18 [3.08-3.29],1.89 [1.81-1.98]
Index of multiple deprivation (IMD) quintile,3,109928,5472,3294,1946,4.73 [4.6-4.86],2.83 [2.73-2.93],1.62 [1.55-1.7]
Index of multiple deprivation (IMD) quintile,3,109928,5472,3294,1946,4.73 [4.6-4.86],2.83 [2.73-2.93],1.62 [1.55-1.7]
Index of multiple deprivation (IMD) quintile,4,126237,5805,3395,1900,4.47 [4.35-4.6],2.59 [2.49-2.69],1.41 [1.34-1.49]
Index of multiple deprivation (IMD) quintile,4,126237,5805,3395,1900,4.47 [4.35-4.6],2.59 [2.49-2.69],1.41 [1.34-1.49]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6111,3483,1847,4.21 [4.08-4.34],2.38 [2.28-2.47],1.25 [1.19-1.32]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6111,3483,1847,4.21 [4.08-4.34],2.38 [2.28-2.47],1.25 [1.19-1.32]
Lateral flow test result (antibody),1,32647,5663,3477,1882,16.07 [15.7-16.45],9.75 [9.45-10.05],5.27 [5.05-5.5]
Organ transplant recipient,1,596,30,23,16,4.37 [3-6.33],3.7 [2.45-5.53],2.86 [1.79-4.53]
Diabetes (type I or II),1,27358,1417,957,656,5.18 [4.93-5.44],3.45 [3.24-3.67],2.49 [2.31-2.67]
Heart disease or heart problems,1,21430,1349,926,646,6.36 [6.04-6.69],4.3 [4.04-4.58],2.99 [2.77-3.23]
Hypertension (high blood pressure),1,65792,3525,2304,1468,5.46 [5.28-5.64],3.61 [3.47-3.76],2.37 [2.25-2.49]
Stroke,1,3352,189,131,96,5.55 [4.84-6.36],3.57 [3.01-4.24],2.72 [2.23-3.31]
Kidney disease,1,3867,294,209,133,7.7 [6.91-8.57],5.02 [4.38-5.75],3.31 [2.79-3.91]
Liver disease,1,2107,153,110,80,7.5 [6.47-8.68],4.94 [4.11-5.93],3.48 [2.79-4.33]
Anemia,1,7575,737,521,368,9.99 [9.37-10.64],6.79 [6.28-7.34],4.75 [4.32-5.21]
Asthma,1,51337,4021,2714,1757,7.81 [7.58-8.04],5.26 [5.07-5.45],3.34 [3.19-3.5]
Other lung condition,1,12500,1020,736,551,8.25 [7.79-8.73],5.93 [5.54-6.35],4.54 [4.2-4.91]
Cancer,1,8042,349,227,157,4.46 [4.02-4.94],2.92 [2.57-3.32],2.19 [1.89-2.54]
Condition affecting the brain and nerves,1,5415,348,271,202,6.55 [5.92-7.24],4.94 [4.39-5.55],3.57 [3.11-4.1]
A weakened immune system/reduced ability to deal with infections,1,19302,1651,1225,875,8.85 [8.45-9.27],6.62 [6.27-6.99],4.63 [4.34-4.95]
Depression,1,38125,3630,2533,1756,9.51 [9.23-9.8],6.72 [6.48-6.97],4.57 [4.37-4.77]
Anxiety,1,57140,5074,3433,2246,9.12 [8.89-9.35],6.2 [6.01-6.4],3.99 [3.84-4.15]
Psychiatric disorder,1,3385,347,249,189,9.86 [8.97-10.83],6.89 [6.14-7.72],5.21 [4.56-5.95]
symptomatic,1,92116,24867,14810,8555,25.74 [25.47-26.02],15.3 [15.07-15.52],8.78 [8.6-8.96]
follow_up_84_days,1,76155,24867,14810,8555,31.82 [31.5-32.15],18.91 [18.64-19.18],10.85 [10.63-11.07]
