predictor,Level,crude_mode_OR,plus_age_group_named,plus_sex
Hospitalised with COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hospitalised with COVID,Yes,3.08 [2.61-3.63],2.68 [2.27-3.16],2.72 [2.3-3.21]
Gross household income,"15,000-49,999 [reference]",NA [NA-NA],NA [NA-NA],NA [NA-NA]
Gross household income,">150,000",0.59 [0.54-0.64],0.61 [0.56-0.66],0.64 [0.58-0.69]
Gross household income,"0-14,999",1.51 [1.42-1.61],1.44 [1.35-1.54],1.39 [1.3-1.48]
Gross household income,"50,000-149,999",0.7 [0.67-0.72],0.74 [0.71-0.77],0.76 [0.73-0.79]
Index of multiple deprivation (IMD) quintile,3 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Index of multiple deprivation (IMD) quintile,1 - most deprived,1.19 [1.12-1.25],1.24 [1.17-1.31],1.24 [1.17-1.31]
Index of multiple deprivation (IMD) quintile,2,1.05 [1-1.1],1.08 [1.03-1.13],1.08 [1.03-1.13]
Index of multiple deprivation (IMD) quintile,4,0.94 [0.9-0.98],0.92 [0.88-0.96],0.92 [0.88-0.97]
Index of multiple deprivation (IMD) quintile,5 - least deprived,0.85 [0.82-0.89],0.83 [0.8-0.87],0.84 [0.8-0.87]
Lateral flow test result (antibody),(Intercept),0.57 [0.56-0.58],0.7 [0.68-0.73],0.56 [0.54-0.58]
Lateral flow test result (antibody),,1.28 [1.24-1.33],1.28 [1.24-1.33],1.28 [1.24-1.33]
Organ transplant recipient,1,1.65 [1.03-2.64],1.42 [0.88-2.28],1.48 [0.92-2.39]
Diabetes (type I or II),1,1.6 [1.49-1.71],1.33 [1.24-1.43],1.4 [1.31-1.51]
Heart disease or heart problems,1,1.98 [1.84-2.14],1.6 [1.49-1.73],1.71 [1.58-1.84]
Hypertension (high blood pressure),1,1.64 [1.57-1.72],1.32 [1.25-1.38],1.36 [1.29-1.42]
Stroke,1,1.71 [1.41-2.08],1.34 [1.1-1.63],1.39 [1.14-1.69]
Kidney disease,1,2.44 [2.05-2.89],2.03 [1.71-2.41],2.04 [1.72-2.43]
Liver disease,1,2.05 [1.64-2.57],1.85 [1.48-2.32],1.87 [1.49-2.34]
Anemia,1,2.36 [2.12-2.63],2.47 [2.21-2.75],2.18 [1.96-2.44]
Asthma,1,1.65 [1.58-1.73],1.69 [1.61-1.76],1.65 [1.58-1.73]
Other lung condition,1,3.6 [3.24-3.99],2.91 [2.62-3.23],2.95 [2.65-3.28]
Cancer,1,1.67 [1.46-1.92],1.31 [1.14-1.5],1.32 [1.15-1.52]
Condition affecting the brain and nerves,1,2.04 [1.76-2.37],1.88 [1.61-2.18],1.81 [1.55-2.11]
A weakened immune system/reduced ability to deal with infections,1,2.46 [2.29-2.65],2.29 [2.13-2.47],2.2 [2.04-2.37]
Depression,1,2.37 [2.25-2.49],2.54 [2.41-2.67],2.46 [2.34-2.59]
Anxiety,1,2.05 [1.97-2.14],2.3 [2.2-2.4],2.19 [2.1-2.29]
Psychiatric disorder,1,2.3 [1.97-2.69],2.53 [2.16-2.96],2.48 [2.11-2.91]
