Variable,Category,Positive,Total,Prevalence,Prevalence_adjusted
Condition affecting the brain and nerves,0,19334,24385,79.3 [78.8-79.8],85.2 [84.6-85.8]
Condition affecting the brain and nerves,1,831,1043,79.7 [77.1-82.0],85.7 [82.7-88.4]
A weakened immune system/reduced ability to deal with infections,0,18727,23530,79.6 [79.1-80.1],85.6 [84.9-86.1]
A weakened immune system/reduced ability to deal with infections,1,1438,1898,75.8 [73.8-77.6],81.1 [78.8-83.3]
Depression,0,18114,22760,79.6 [79.1-80.1],85.6 [84.9-86.2]
Depression,1,2051,2668,76.9 [75.2-78.4],82.4 [80.5-84.2]
Anxiety,0,19864,25000,79.5 [79.0-80.0],85.4 [84.8-86.0]
Anxiety,1,301,428,70.3 [65.8-74.5],74.7 [69.5-79.6]
Psychiatric disorder,0,10311,13161,78.3 [77.6-79.0],84.1 [83.3-84.9]
Psychiatric disorder,1,9854,12267,80.3 [79.6-81.0],86.4 [85.6-87.2]
