predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.75 [0.7-0.8],0.73 [0.68-0.77],0.73 [0.69-0.78],0.74 [0.7-0.79],0.74 [0.7-0.79],0.73 [0.68-0.79],0.73 [0.68-0.79],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.74 [0.69-0.8],0.75 [0.7-0.8],0.75 [0.7-0.8],0.75 [0.7-0.8],0.74 [0.69-0.8]
Ever smoker,Former cigarette smoker,0.95 [0.92-0.99],0.96 [0.93-1],0.98 [0.95-1.02],1 [0.96-1.03],0.97 [0.93-1],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.94-1.01],0.97 [0.94-1.01],0.97 [0.94-1.01],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02]
Ever smoker,Prefer not to say,0.98 [0.88-1.1],0.97 [0.87-1.09],0.97 [0.87-1.09],0.98 [0.87-1.1],0.95 [0.84-1.07],1.03 [0.88-1.21],1.03 [0.88-1.21],1.04 [0.89-1.22],1.04 [0.89-1.22],1.04 [0.89-1.22],1.04 [0.89-1.22],1.04 [0.89-1.22],1.04 [0.89-1.22],1.04 [0.89-1.22],1.04 [0.89-1.22],1.04 [0.89-1.22],1.04 [0.88-1.22],1.04 [0.88-1.22],1.04 [0.89-1.22],1.04 [0.89-1.22],1.04 [0.88-1.22],1.04 [0.88-1.22],1.04 [0.88-1.22],1.04 [0.88-1.22],1.03 [0.88-1.21]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.83 [0.76-0.89],0.84 [0.77-0.91],0.83 [0.76-0.89],0.79 [0.73-0.85],0.78 [0.72-0.85],0.79 [0.72-0.86],0.81 [0.74-0.88],0.81 [0.74-0.88],0.81 [0.74-0.88],0.83 [0.75-0.9],0.83 [0.76-0.91],0.83 [0.76-0.91],0.83 [0.76-0.91],0.83 [0.76-0.91],0.83 [0.76-0.91],0.83 [0.76-0.91],0.84 [0.77-0.92],0.84 [0.77-0.92],0.84 [0.77-0.92],0.85 [0.77-0.93],0.87 [0.79-0.95],0.87 [0.8-0.96],0.87 [0.8-0.96],0.87 [0.8-0.96],0.88 [0.8-0.96]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,0.7 [0.24-2.04],0.68 [0.23-2.01],0.71 [0.24-2.1],0.7 [0.23-2.1],0.5 [0.16-1.6],0.54 [0.17-1.78],0.53 [0.16-1.74],0.56 [0.17-1.83],0.56 [0.17-1.83],0.56 [0.17-1.83],0.56 [0.17-1.86],0.56 [0.17-1.86],0.56 [0.17-1.86],0.56 [0.17-1.86],0.57 [0.17-1.86],0.56 [0.17-1.86],0.56 [0.17-1.85],0.57 [0.17-1.86],0.57 [0.17-1.87],0.57 [0.17-1.86],0.58 [0.18-1.92],0.58 [0.18-1.93],0.58 [0.18-1.93],0.58 [0.18-1.92],0.56 [0.17-1.86]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.75 [0.67-0.83],0.77 [0.69-0.85],0.79 [0.72-0.88],0.76 [0.69-0.85],0.74 [0.66-0.82],0.73 [0.65-0.82],0.73 [0.65-0.83],0.75 [0.67-0.85],0.75 [0.67-0.85],0.75 [0.67-0.85],0.76 [0.67-0.85],0.77 [0.68-0.87],0.77 [0.68-0.87],0.77 [0.68-0.87],0.77 [0.68-0.86],0.77 [0.68-0.86],0.77 [0.68-0.86],0.77 [0.68-0.86],0.77 [0.68-0.86],0.77 [0.68-0.87],0.77 [0.68-0.87],0.77 [0.69-0.87],0.77 [0.69-0.87],0.77 [0.69-0.87],0.83 [0.73-0.93]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.82 [0.74-0.92],0.86 [0.77-0.96],0.89 [0.79-0.99],0.89 [0.79-0.99],0.85 [0.75-0.95],0.87 [0.77-0.98],0.88 [0.77-0.99],0.9 [0.79-1.02],0.9 [0.79-1.02],0.91 [0.8-1.03],0.91 [0.8-1.03],0.92 [0.81-1.04],0.92 [0.81-1.04],0.92 [0.81-1.04],0.92 [0.81-1.04],0.92 [0.81-1.04],0.92 [0.81-1.04],0.92 [0.81-1.05],0.92 [0.81-1.05],0.92 [0.81-1.05],0.93 [0.82-1.05],0.93 [0.82-1.05],0.93 [0.82-1.05],0.93 [0.82-1.05],0.96 [0.85-1.09]
Hypertension (high blood pressure),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension (high blood pressure),1,0.87 [0.83-0.91],0.93 [0.89-0.98],0.96 [0.91-1.01],0.94 [0.9-0.99],0.92 [0.88-0.97],0.91 [0.86-0.97],0.91 [0.86-0.97],0.92 [0.87-0.97],0.92 [0.87-0.97],0.93 [0.88-0.98],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.93 [0.88-0.99],0.94 [0.89-1]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,0.71 [0.51-0.98],0.76 [0.55-1.04],0.78 [0.57-1.08],0.77 [0.56-1.06],0.75 [0.54-1.05],0.75 [0.53-1.07],0.78 [0.54-1.11],0.8 [0.55-1.14],0.79 [0.55-1.14],0.82 [0.57-1.17],0.82 [0.57-1.18],0.83 [0.58-1.19],0.83 [0.58-1.19],0.83 [0.58-1.19],0.83 [0.58-1.19],0.83 [0.58-1.19],0.83 [0.58-1.2],0.83 [0.58-1.2],0.84 [0.58-1.2],0.84 [0.58-1.21],0.85 [0.59-1.22],0.85 [0.59-1.22],0.85 [0.59-1.22],0.85 [0.59-1.23],0.9 [0.62-1.29]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.98 [0.75-1.28],1.01 [0.77-1.32],0.98 [0.75-1.29],1.02 [0.77-1.33],0.97 [0.73-1.28],1 [0.73-1.36],0.98 [0.72-1.34],1.01 [0.74-1.37],1 [0.74-1.37],1.02 [0.75-1.39],1.02 [0.75-1.4],1.04 [0.76-1.42],1.04 [0.76-1.42],1.04 [0.76-1.42],1.02 [0.75-1.4],1.02 [0.75-1.4],1.02 [0.75-1.4],1.03 [0.75-1.4],1.03 [0.75-1.4],1.03 [0.75-1.41],1.04 [0.76-1.42],1.04 [0.76-1.42],1.04 [0.76-1.42],1.05 [0.77-1.43],1.07 [0.78-1.46]
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,1.24 [0.93-1.65],1.24 [0.93-1.66],1.28 [0.96-1.71],1.21 [0.9-1.62],1.23 [0.91-1.67],1.24 [0.9-1.71],1.28 [0.93-1.76],1.31 [0.95-1.8],1.31 [0.94-1.8],1.34 [0.97-1.86],1.35 [0.98-1.87],1.36 [0.98-1.88],1.36 [0.98-1.88],1.36 [0.98-1.88],1.36 [0.98-1.88],1.36 [0.98-1.88],1.36 [0.98-1.88],1.36 [0.98-1.88],1.36 [0.98-1.88],1.36 [0.98-1.88],1.38 [0.99-1.91],1.38 [1-1.91],1.38 [1-1.91],1.38 [0.99-1.91],1.42 [1.02-1.96]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,1.14 [0.96-1.35],1.05 [0.88-1.24],0.95 [0.8-1.13],0.93 [0.78-1.1],0.88 [0.74-1.06],0.92 [0.76-1.12],0.92 [0.75-1.12],0.93 [0.76-1.13],0.93 [0.76-1.13],0.93 [0.76-1.14],0.93 [0.77-1.14],0.94 [0.77-1.14],0.94 [0.77-1.14],0.94 [0.77-1.14],0.94 [0.77-1.14],0.94 [0.77-1.14],0.94 [0.77-1.15],0.94 [0.77-1.15],0.94 [0.77-1.15],0.94 [0.77-1.15],0.95 [0.78-1.16],0.96 [0.79-1.17],0.96 [0.79-1.17],0.96 [0.79-1.17],0.97 [0.79-1.18]
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,1.04 [0.98-1.1],0.97 [0.91-1.03],0.95 [0.9-1.01],0.96 [0.9-1.02],0.91 [0.86-0.97],0.91 [0.85-0.97],0.91 [0.85-0.97],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.98],0.92 [0.86-0.99],0.92 [0.86-0.99],0.92 [0.86-0.99],0.92 [0.86-0.99],0.94 [0.88-1.01]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
