predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_vaccine_type,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Ethnicity,Asian,1.38 [1.25-1.51],1.31 [1.19-1.44],1.36 [1.23-1.49],1.36 [1.23-1.49],1.34 [1.22-1.48],1.26 [1.15-1.39],1.23 [1.11-1.37],1.2 [1.08-1.34],1.24 [1.11-1.38],1.24 [1.11-1.39],1.3 [1.16-1.45],1.3 [1.16-1.45],1.29 [1.16-1.44],1.29 [1.16-1.44],1.29 [1.16-1.44],1.29 [1.16-1.44],1.29 [1.16-1.44],1.29 [1.16-1.44],1.29 [1.16-1.44],1.29 [1.16-1.44],1.29 [1.16-1.44],1.28 [1.15-1.43],1.27 [1.14-1.42],1.28 [1.14-1.42],1.28 [1.14-1.42],1.2 [1.07-1.33]
Ethnicity,Black,1.14 [0.99-1.33],1.14 [0.99-1.33],1.17 [1-1.36],1.17 [1-1.36],1.13 [0.97-1.32],1.12 [0.96-1.31],1.19 [1-1.42],1.16 [0.97-1.39],1.19 [0.99-1.42],1.2 [1-1.43],1.23 [1.03-1.47],1.24 [1.03-1.48],1.23 [1.03-1.47],1.22 [1.02-1.47],1.23 [1.02-1.47],1.23 [1.02-1.47],1.23 [1.03-1.47],1.23 [1.02-1.47],1.23 [1.03-1.47],1.23 [1.03-1.47],1.23 [1.02-1.47],1.22 [1.02-1.46],1.21 [1.01-1.45],1.21 [1.01-1.45],1.21 [1.01-1.45],1.13 [0.95-1.36]
Ethnicity,Mixed,1.58 [1.28-1.95],1.48 [1.19-1.83],1.48 [1.19-1.83],1.48 [1.19-1.83],1.47 [1.19-1.83],1.5 [1.21-1.88],1.5 [1.18-1.9],1.53 [1.2-1.94],1.54 [1.21-1.96],1.54 [1.21-1.95],1.55 [1.22-1.97],1.54 [1.21-1.96],1.54 [1.21-1.96],1.54 [1.21-1.96],1.54 [1.21-1.96],1.54 [1.21-1.96],1.54 [1.21-1.96],1.54 [1.21-1.96],1.55 [1.22-1.97],1.54 [1.21-1.96],1.55 [1.22-1.97],1.54 [1.21-1.96],1.55 [1.21-1.96],1.54 [1.21-1.96],1.55 [1.22-1.97],1.55 [1.22-1.98]
Ethnicity,Other,1.19 [1.01-1.4],1.19 [1.01-1.39],1.21 [1.03-1.43],1.21 [1.03-1.43],1.2 [1.02-1.41],1.16 [0.98-1.37],1.03 [0.86-1.22],1.03 [0.86-1.23],1.06 [0.89-1.27],1.06 [0.89-1.26],1.08 [0.91-1.29],1.08 [0.91-1.29],1.08 [0.91-1.29],1.08 [0.91-1.29],1.08 [0.91-1.29],1.08 [0.91-1.29],1.08 [0.91-1.29],1.08 [0.91-1.29],1.08 [0.91-1.29],1.08 [0.9-1.29],1.08 [0.9-1.29],1.07 [0.9-1.28],1.07 [0.9-1.28],1.07 [0.9-1.28],1.07 [0.9-1.28],1.05 [0.88-1.25]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,2.38 [2.24-2.52],2.38 [2.24-2.52],2.37 [2.23-2.51],2.36 [2.23-2.51],2.36 [2.23-2.51],2.42 [2.28-2.57],2.44 [2.29-2.6],2.45 [2.3-2.62],2.43 [2.28-2.6],2.43 [2.28-2.6],2.44 [2.28-2.6],2.44 [2.28-2.6],2.43 [2.28-2.6],2.44 [2.28-2.6],2.44 [2.28-2.6],2.44 [2.28-2.6],2.44 [2.29-2.6],2.44 [2.29-2.61],2.44 [2.29-2.61],2.44 [2.29-2.61],2.44 [2.29-2.6],2.44 [2.29-2.61],2.45 [2.29-2.61],2.45 [2.29-2.61],2.45 [2.29-2.61],2.47 [2.31-2.64]
Vaccine type,AstraZeneca/Oxford [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Vaccine type,Don't know,1.13 [0.79-1.61],1.16 [0.81-1.66],1.21 [0.84-1.73],1.19 [0.83-1.71],1.18 [0.82-1.7],1.18 [0.82-1.7],1.29 [0.84-1.98],1.38 [0.89-2.14],1.39 [0.9-2.16],1.38 [0.89-2.15],1.39 [0.9-2.16],1.39 [0.9-2.16],1.4 [0.9-2.17],1.4 [0.9-2.17],1.4 [0.9-2.17],1.4 [0.9-2.17],1.4 [0.9-2.17],1.4 [0.9-2.17],1.4 [0.9-2.17],1.4 [0.9-2.17],1.4 [0.9-2.16],1.4 [0.9-2.17],1.4 [0.9-2.18],1.4 [0.9-2.18],1.4 [0.9-2.18],1.58 [1-2.5]
Vaccine type,Moderna,2.22 [0.65-7.57],2.46 [0.72-8.4],2.45 [0.71-8.39],2.41 [0.7-8.26],2.58 [0.75-8.88],2.58 [0.75-8.88],3.4 [0.77-14.9],3.53 [0.8-15.48],3.55 [0.81-15.58],3.53 [0.81-15.49],3.61 [0.82-15.87],3.59 [0.82-15.74],3.57 [0.81-15.68],3.56 [0.81-15.63],3.56 [0.81-15.61],3.56 [0.81-15.62],3.55 [0.81-15.58],3.57 [0.81-15.66],3.57 [0.81-15.68],3.56 [0.81-15.62],3.55 [0.81-15.59],3.51 [0.8-15.39],3.51 [0.8-15.42],3.47 [0.79-15.26],3.47 [0.79-15.23],3.45 [0.77-15.52]
Vaccine type,Pfizer/BioNTech,3.2 [3.1-3.3],3.29 [3.18-3.39],3.28 [3.17-3.38],3.27 [3.17-3.38],3.29 [3.19-3.4],3.29 [3.19-3.4],3.33 [3.22-3.45],3.34 [3.22-3.46],3.33 [3.22-3.45],3.34 [3.22-3.46],3.35 [3.23-3.47],3.35 [3.23-3.47],3.35 [3.23-3.47],3.35 [3.23-3.47],3.35 [3.23-3.47],3.35 [3.23-3.47],3.35 [3.23-3.47],3.35 [3.23-3.47],3.35 [3.23-3.47],3.35 [3.23-3.47],3.35 [3.23-3.47],3.34 [3.23-3.47],3.34 [3.23-3.47],3.34 [3.23-3.47],3.34 [3.23-3.47],2.96 [2.86-3.07]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.67 [0.65-0.7],0.68 [0.65-0.71],0.7 [0.68-0.73],0.71 [0.68-0.74],0.7 [0.67-0.73],0.68 [0.65-0.71],0.68 [0.65-0.71],0.68 [0.65-0.71],0.69 [0.66-0.72],0.69 [0.66-0.72],0.72 [0.69-0.75],0.72 [0.69-0.75],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.71 [0.68-0.74],0.72 [0.69-0.75],0.72 [0.69-0.75],0.72 [0.69-0.75],0.72 [0.69-0.75]
BMI,Overweight,0.78 [0.75-0.81],0.79 [0.77-0.82],0.84 [0.81-0.87],0.84 [0.81-0.87],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.84 [0.81-0.87],0.84 [0.81-0.87],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.86],0.83 [0.8-0.87],0.83 [0.8-0.87],0.83 [0.8-0.87],0.83 [0.8-0.86]
BMI,Underweight,0.94 [0.8-1.09],0.92 [0.79-1.07],0.85 [0.73-0.99],0.85 [0.73-0.99],0.86 [0.74-1],0.86 [0.73-1],0.86 [0.73-1],0.88 [0.75-1.03],0.89 [0.76-1.04],0.91 [0.77-1.06],0.9 [0.77-1.06],0.9 [0.77-1.06],0.9 [0.77-1.06],0.9 [0.77-1.06],0.9 [0.77-1.06],0.9 [0.77-1.06],0.9 [0.77-1.06],0.9 [0.77-1.06],0.9 [0.77-1.06],0.9 [0.77-1.06],0.9 [0.77-1.06],0.91 [0.77-1.06],0.91 [0.77-1.07],0.91 [0.77-1.06],0.91 [0.77-1.07],0.92 [0.78-1.08]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.69 [0.65-0.73],0.68 [0.65-0.72],0.7 [0.66-0.74],0.7 [0.66-0.74],0.7 [0.66-0.74],0.69 [0.65-0.73],0.67 [0.63-0.72],0.67 [0.63-0.72],0.69 [0.65-0.74],0.69 [0.65-0.73],0.69 [0.65-0.74],0.69 [0.65-0.74],0.69 [0.65-0.74],0.7 [0.65-0.74],0.7 [0.65-0.74],0.7 [0.65-0.74],0.7 [0.65-0.74],0.7 [0.65-0.74],0.69 [0.65-0.74],0.69 [0.65-0.73],0.69 [0.65-0.73],0.69 [0.65-0.73],0.69 [0.65-0.74],0.69 [0.65-0.74],0.69 [0.65-0.74],0.7 [0.65-0.74]
Ever smoker,Former cigarette smoker,0.9 [0.88-0.93],0.91 [0.89-0.94],0.95 [0.92-0.98],0.96 [0.93-0.99],0.95 [0.92-0.98],0.93 [0.9-0.96],0.96 [0.93-0.99],0.96 [0.93-0.99],0.96 [0.93-1],0.96 [0.93-1],0.97 [0.94-1],0.97 [0.93-1],0.97 [0.93-1],0.97 [0.94-1],0.97 [0.94-1],0.97 [0.94-1],0.97 [0.94-1],0.97 [0.94-1],0.96 [0.93-1],0.97 [0.93-1],0.96 [0.93-1],0.97 [0.93-1],0.97 [0.94-1],0.97 [0.93-1],0.97 [0.93-1],0.96 [0.93-1]
Ever smoker,Prefer not to say,0.82 [0.75-0.9],0.82 [0.75-0.91],0.83 [0.75-0.91],0.82 [0.75-0.91],0.81 [0.73-0.89],0.8 [0.73-0.88],0.8 [0.7-0.92],0.8 [0.7-0.92],0.81 [0.71-0.92],0.81 [0.71-0.92],0.81 [0.71-0.93],0.81 [0.71-0.93],0.81 [0.71-0.93],0.81 [0.71-0.93],0.81 [0.71-0.93],0.81 [0.71-0.93],0.81 [0.71-0.93],0.81 [0.71-0.93],0.81 [0.71-0.92],0.81 [0.71-0.92],0.81 [0.71-0.92],0.81 [0.71-0.93],0.81 [0.71-0.93],0.81 [0.71-0.93],0.81 [0.71-0.93],0.81 [0.71-0.93]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.74 [0.71-0.77],0.74 [0.71-0.77],0.74 [0.71-0.77],0.73 [0.7-0.76],0.74 [0.72-0.78],0.75 [0.72-0.78],0.78 [0.75-0.82],0.8 [0.76-0.83],0.8 [0.76-0.83],0.81 [0.77-0.85],0.83 [0.79-0.87],0.82 [0.79-0.86],0.82 [0.79-0.86],0.83 [0.79-0.87],0.83 [0.79-0.87],0.83 [0.79-0.87],0.83 [0.79-0.87],0.83 [0.79-0.87],0.82 [0.79-0.87],0.83 [0.79-0.87],0.84 [0.8-0.88],0.86 [0.82-0.9],0.87 [0.82-0.91],0.87 [0.82-0.91],0.87 [0.82-0.91],0.86 [0.82-0.91]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,0.23 [0.18-0.29],0.23 [0.18-0.28],0.23 [0.19-0.3],0.23 [0.18-0.29],0.23 [0.18-0.3],0.23 [0.18-0.29],0.23 [0.17-0.29],0.22 [0.17-0.29],0.25 [0.19-0.32],0.25 [0.19-0.32],0.25 [0.19-0.33],0.25 [0.19-0.33],0.25 [0.19-0.32],0.25 [0.19-0.32],0.25 [0.19-0.33],0.25 [0.19-0.33],0.25 [0.19-0.33],0.25 [0.19-0.33],0.25 [0.19-0.33],0.25 [0.19-0.33],0.25 [0.19-0.33],0.27 [0.21-0.36],0.27 [0.21-0.36],0.27 [0.21-0.36],0.27 [0.21-0.36],0.24 [0.18-0.32]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.67 [0.64-0.7],0.69 [0.66-0.72],0.73 [0.7-0.76],0.72 [0.69-0.75],0.71 [0.68-0.74],0.69 [0.66-0.72],0.73 [0.7-0.77],0.74 [0.7-0.78],0.76 [0.72-0.79],0.76 [0.72-0.8],0.76 [0.72-0.8],0.75 [0.72-0.79],0.75 [0.71-0.79],0.75 [0.71-0.79],0.75 [0.71-0.79],0.75 [0.71-0.79],0.75 [0.72-0.79],0.75 [0.72-0.79],0.75 [0.72-0.79],0.75 [0.71-0.79],0.75 [0.71-0.79],0.75 [0.71-0.79],0.75 [0.72-0.79],0.75 [0.72-0.79],0.75 [0.72-0.79],0.76 [0.72-0.79]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.95 [0.91-1],0.97 [0.92-1.02],1.05 [0.99-1.1],1.05 [1-1.11],1.04 [0.99-1.1],1.01 [0.96-1.07],1.05 [1-1.12],1.06 [1-1.12],1.09 [1.03-1.16],1.09 [1.03-1.16],1.11 [1.05-1.17],1.11 [1.05-1.17],1.1 [1.04-1.17],1.11 [1.05-1.17],1.11 [1.05-1.18],1.11 [1.05-1.18],1.11 [1.05-1.18],1.11 [1.05-1.18],1.11 [1.05-1.18],1.11 [1.05-1.18],1.11 [1.05-1.18],1.11 [1.04-1.17],1.11 [1.05-1.18],1.11 [1.05-1.18],1.11 [1.05-1.18],1.1 [1.04-1.17]
Hypertension (high blood pressure),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension (high blood pressure),1,0.94 [0.91-0.97],0.96 [0.93-0.99],0.98 [0.95-1.01],0.98 [0.94-1.01],0.97 [0.94-1],0.95 [0.92-0.98],1.02 [0.98-1.05],1.01 [0.98-1.05],1.02 [0.99-1.06],1.03 [0.99-1.07],1.06 [1.02-1.1],1.05 [1.02-1.1],1.05 [1.02-1.1],1.06 [1.02-1.1],1.06 [1.02-1.1],1.06 [1.02-1.1],1.06 [1.02-1.1],1.06 [1.02-1.1],1.06 [1.02-1.1],1.06 [1.02-1.1],1.06 [1.02-1.1],1.06 [1.02-1.1],1.06 [1.02-1.1],1.06 [1.02-1.1],1.06 [1.02-1.1],1.05 [1.01-1.1]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,0.71 [0.63-0.8],0.72 [0.64-0.82],0.76 [0.67-0.86],0.76 [0.67-0.86],0.73 [0.65-0.83],0.72 [0.63-0.82],0.73 [0.63-0.84],0.75 [0.66-0.87],0.78 [0.68-0.9],0.79 [0.68-0.91],0.8 [0.7-0.93],0.8 [0.69-0.92],0.79 [0.68-0.91],0.79 [0.68-0.91],0.79 [0.68-0.91],0.79 [0.68-0.91],0.79 [0.69-0.91],0.79 [0.69-0.91],0.79 [0.69-0.91],0.79 [0.69-0.91],0.8 [0.69-0.92],0.79 [0.69-0.92],0.8 [0.69-0.92],0.8 [0.69-0.92],0.8 [0.69-0.92],0.81 [0.7-0.94]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.8 [0.72-0.9],0.82 [0.73-0.91],0.83 [0.74-0.93],0.82 [0.73-0.92],0.81 [0.73-0.91],0.8 [0.71-0.9],0.81 [0.71-0.91],0.81 [0.71-0.91],0.85 [0.75-0.96],0.94 [0.82-1.07],0.96 [0.84-1.09],0.95 [0.84-1.08],0.94 [0.83-1.07],0.95 [0.83-1.08],0.95 [0.83-1.08],0.95 [0.83-1.08],0.96 [0.84-1.09],0.95 [0.84-1.09],0.95 [0.84-1.09],0.96 [0.84-1.09],0.96 [0.84-1.09],0.97 [0.85-1.11],0.98 [0.86-1.11],0.98 [0.86-1.11],0.98 [0.86-1.11],0.97 [0.85-1.11]
