predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_second_vaccine
Ethnicity,Asian,1.24 [1.08-1.42],1.07 [0.93-1.22],1.11 [0.97-1.27],1.11 [0.97-1.27],1.07 [0.92-1.25],1.05 [0.91-1.23],1.12 [0.96-1.31],1.12 [0.96-1.31],1.18 [1.01-1.37],1.18 [1.01-1.37],1.17 [1-1.36],1.16 [1-1.36],1.16 [1-1.36],1.16 [1-1.35],1.16 [1-1.36],1.16 [1-1.36],1.16 [0.99-1.35],1.15 [0.99-1.34],1.15 [0.99-1.34],1.13 [0.97-1.32],1.12 [0.96-1.31],1.12 [0.96-1.31],1.12 [0.96-1.31],1.14 [0.97-1.33]
Ethnicity,Black,1.01 [0.81-1.26],0.85 [0.68-1.06],0.87 [0.7-1.09],0.87 [0.7-1.09],0.87 [0.67-1.12],0.85 [0.66-1.09],0.88 [0.68-1.13],0.89 [0.69-1.15],0.92 [0.71-1.18],0.92 [0.71-1.19],0.9 [0.7-1.17],0.9 [0.7-1.16],0.9 [0.7-1.17],0.9 [0.7-1.17],0.9 [0.7-1.17],0.9 [0.7-1.17],0.9 [0.7-1.16],0.9 [0.7-1.16],0.9 [0.69-1.16],0.88 [0.68-1.14],0.88 [0.68-1.13],0.88 [0.68-1.13],0.88 [0.68-1.13],0.88 [0.68-1.14]
Ethnicity,Mixed,1.6 [1.13-2.28],1.23 [0.86-1.75],1.22 [0.86-1.74],1.22 [0.86-1.74],1.29 [0.87-1.91],1.34 [0.89-2],1.36 [0.91-2.03],1.36 [0.91-2.04],1.37 [0.92-2.06],1.37 [0.91-2.05],1.37 [0.91-2.05],1.36 [0.91-2.04],1.36 [0.91-2.04],1.36 [0.91-2.04],1.37 [0.91-2.05],1.37 [0.91-2.05],1.36 [0.91-2.04],1.35 [0.9-2.03],1.35 [0.9-2.03],1.38 [0.92-2.07],1.37 [0.92-2.06],1.37 [0.92-2.06],1.37 [0.92-2.06],1.38 [0.92-2.07]
Ethnicity,Other,1.2 [0.94-1.53],1.14 [0.89-1.46],1.16 [0.9-1.48],1.16 [0.9-1.48],0.99 [0.77-1.29],0.99 [0.76-1.28],1.05 [0.81-1.36],1.04 [0.8-1.34],1.06 [0.82-1.38],1.06 [0.82-1.38],1.06 [0.82-1.37],1.06 [0.82-1.38],1.06 [0.82-1.38],1.06 [0.82-1.38],1.06 [0.82-1.38],1.06 [0.82-1.38],1.06 [0.82-1.38],1.05 [0.81-1.36],1.05 [0.8-1.36],1.03 [0.79-1.34],1.03 [0.79-1.34],1.03 [0.79-1.33],1.03 [0.79-1.34],1.04 [0.8-1.35]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.71 [0.67-0.76],0.68 [0.64-0.72],0.7 [0.65-0.74],0.7 [0.66-0.75],0.7 [0.66-0.75],0.7 [0.65-0.74],0.72 [0.68-0.77],0.72 [0.67-0.77],0.75 [0.7-0.8],0.75 [0.7-0.8],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.68-0.78],0.73 [0.69-0.78],0.73 [0.69-0.78],0.73 [0.69-0.78],0.73 [0.69-0.78],0.73 [0.68-0.78],0.73 [0.69-0.78],0.73 [0.69-0.78],0.73 [0.69-0.78],0.73 [0.69-0.78]
BMI,Overweight,0.8 [0.75-0.84],0.81 [0.76-0.85],0.85 [0.8-0.89],0.85 [0.8-0.89],0.85 [0.8-0.89],0.84 [0.8-0.89],0.85 [0.8-0.9],0.84 [0.8-0.89],0.86 [0.81-0.9],0.85 [0.81-0.9],0.85 [0.8-0.9],0.85 [0.8-0.9],0.85 [0.8-0.89],0.85 [0.8-0.89],0.84 [0.8-0.89],0.85 [0.8-0.89],0.84 [0.8-0.89],0.84 [0.8-0.89],0.84 [0.8-0.89],0.84 [0.8-0.89],0.84 [0.8-0.89],0.84 [0.8-0.89],0.84 [0.8-0.89],0.84 [0.8-0.89]
BMI,Underweight,0.82 [0.66-1.02],0.81 [0.65-1.02],0.76 [0.61-0.95],0.77 [0.61-0.96],0.77 [0.61-0.96],0.78 [0.62-0.98],0.81 [0.65-1.01],0.84 [0.67-1.06],0.83 [0.67-1.05],0.83 [0.67-1.05],0.84 [0.67-1.05],0.84 [0.67-1.05],0.84 [0.67-1.05],0.84 [0.67-1.05],0.84 [0.67-1.06],0.84 [0.67-1.06],0.85 [0.67-1.06],0.84 [0.67-1.06],0.85 [0.68-1.06],0.85 [0.68-1.07],0.85 [0.68-1.07],0.85 [0.68-1.07],0.85 [0.68-1.07],0.85 [0.68-1.07]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.78 [0.71-0.86],0.72 [0.65-0.79],0.73 [0.66-0.8],0.73 [0.66-0.8],0.7 [0.63-0.77],0.7 [0.63-0.77],0.73 [0.66-0.81],0.72 [0.65-0.8],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.73 [0.66-0.81],0.75 [0.67-0.83],0.74 [0.67-0.83],0.74 [0.67-0.82],0.74 [0.67-0.82],0.74 [0.67-0.83],0.74 [0.67-0.82],0.74 [0.67-0.82],0.74 [0.67-0.82]
Ever smoker,Former cigarette smoker,0.86 [0.82-0.9],0.9 [0.86-0.94],0.93 [0.89-0.98],0.94 [0.89-0.98],0.96 [0.91-1.01],0.96 [0.91-1.01],0.98 [0.93-1.03],0.97 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.93-1.03],0.98 [0.93-1.04],0.99 [0.94-1.04],0.99 [0.94-1.04],0.98 [0.93-1.04],0.99 [0.94-1.04],0.99 [0.94-1.04],0.98 [0.94-1.04],0.99 [0.94-1.04]
Ever smoker,Prefer not to say,0.79 [0.68-0.91],0.8 [0.69-0.92],0.8 [0.69-0.93],0.81 [0.7-0.94],0.78 [0.64-0.96],0.78 [0.64-0.96],0.8 [0.65-0.97],0.79 [0.65-0.97],0.8 [0.66-0.98],0.8 [0.66-0.98],0.8 [0.66-0.98],0.8 [0.66-0.98],0.8 [0.66-0.98],0.8 [0.66-0.98],0.8 [0.66-0.98],0.8 [0.66-0.98],0.81 [0.66-0.99],0.81 [0.66-0.99],0.81 [0.66-0.99],0.82 [0.67-1],0.82 [0.67-1],0.82 [0.67-1],0.82 [0.67-1],0.82 [0.67-1]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.61 [0.58-0.65],0.64 [0.6-0.68],0.64 [0.61-0.68],0.64 [0.6-0.68],0.66 [0.62-0.7],0.67 [0.63-0.71],0.67 [0.63-0.71],0.69 [0.65-0.73],0.7 [0.66-0.75],0.7 [0.65-0.74],0.7 [0.65-0.74],0.7 [0.65-0.74],0.7 [0.66-0.75],0.7 [0.66-0.75],0.7 [0.66-0.75],0.71 [0.66-0.76],0.72 [0.67-0.77],0.74 [0.69-0.79],0.75 [0.7-0.8],0.81 [0.75-0.86],0.81 [0.75-0.87],0.81 [0.75-0.87],0.81 [0.75-0.87],0.81 [0.75-0.86]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,0.18 [0.14-0.23],0.15 [0.12-0.2],0.16 [0.12-0.21],0.16 [0.12-0.21],0.16 [0.12-0.22],0.16 [0.12-0.22],0.19 [0.14-0.26],0.19 [0.14-0.26],0.19 [0.14-0.26],0.19 [0.14-0.26],0.19 [0.14-0.26],0.19 [0.14-0.26],0.2 [0.15-0.27],0.2 [0.15-0.27],0.2 [0.15-0.28],0.2 [0.15-0.27],0.2 [0.15-0.27],0.2 [0.14-0.27],0.2 [0.14-0.27],0.24 [0.17-0.33],0.24 [0.17-0.33],0.24 [0.17-0.33],0.24 [0.17-0.33],0.24 [0.17-0.33]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.65 [0.6-0.69],0.67 [0.63-0.72],0.71 [0.66-0.75],0.7 [0.66-0.75],0.72 [0.67-0.78],0.73 [0.68-0.78],0.76 [0.71-0.82],0.77 [0.71-0.83],0.77 [0.71-0.83],0.76 [0.71-0.82],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.76 [0.7-0.82],0.76 [0.7-0.82],0.76 [0.7-0.82],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.87 [0.81-0.94],0.94 [0.87-1.02],1.01 [0.93-1.09],1.01 [0.93-1.09],1.04 [0.96-1.13],1.04 [0.96-1.14],1.1 [1.01-1.2],1.1 [1.01-1.2],1.12 [1.03-1.22],1.12 [1.03-1.22],1.11 [1.02-1.21],1.12 [1.03-1.22],1.12 [1.03-1.22],1.12 [1.03-1.22],1.13 [1.04-1.23],1.13 [1.04-1.23],1.13 [1.04-1.23],1.13 [1.04-1.23],1.13 [1.04-1.23],1.13 [1.03-1.23],1.13 [1.03-1.23],1.13 [1.03-1.23],1.13 [1.03-1.23],1.13 [1.03-1.23]
Hypertension (high blood pressure),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension (high blood pressure),1,0.92 [0.87-0.97],1 [0.95-1.05],1.01 [0.96-1.07],1.01 [0.96-1.07],1.07 [1.01-1.13],1.07 [1.01-1.13],1.08 [1.02-1.15],1.1 [1.03-1.16],1.12 [1.06-1.19],1.12 [1.05-1.18],1.12 [1.05-1.18],1.12 [1.06-1.19],1.12 [1.06-1.19],1.12 [1.06-1.19],1.12 [1.06-1.19],1.13 [1.06-1.19],1.13 [1.06-1.19],1.12 [1.06-1.19],1.12 [1.06-1.19],1.12 [1.06-1.19],1.12 [1.06-1.19],1.12 [1.06-1.19],1.12 [1.06-1.19],1.12 [1.06-1.19]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,0.65 [0.54-0.78],0.69 [0.57-0.83],0.71 [0.59-0.87],0.71 [0.59-0.86],0.7 [0.57-0.86],0.71 [0.58-0.88],0.76 [0.62-0.94],0.77 [0.63-0.96],0.8 [0.64-0.98],0.78 [0.63-0.97],0.77 [0.62-0.95],0.77 [0.62-0.95],0.77 [0.62-0.96],0.77 [0.62-0.96],0.77 [0.63-0.96],0.78 [0.63-0.96],0.78 [0.63-0.96],0.79 [0.64-0.98],0.8 [0.65-0.99],0.79 [0.64-0.98],0.79 [0.64-0.98],0.79 [0.64-0.98],0.79 [0.64-0.98],0.79 [0.64-0.98]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.68 [0.58-0.8],0.69 [0.59-0.81],0.7 [0.6-0.83],0.7 [0.6-0.82],0.68 [0.57-0.81],0.68 [0.57-0.81],0.75 [0.63-0.89],0.87 [0.73-1.04],0.89 [0.75-1.07],0.88 [0.74-1.06],0.86 [0.72-1.04],0.87 [0.73-1.04],0.87 [0.73-1.04],0.87 [0.73-1.05],0.89 [0.74-1.07],0.89 [0.74-1.07],0.89 [0.74-1.07],0.9 [0.75-1.08],0.9 [0.75-1.08],0.94 [0.78-1.13],0.94 [0.78-1.13],0.94 [0.78-1.13],0.94 [0.78-1.13],0.94 [0.78-1.13]
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,0.69 [0.54-0.88],0.67 [0.52-0.86],0.67 [0.52-0.85],0.66 [0.52-0.85],0.72 [0.55-0.95],0.73 [0.56-0.96],0.8 [0.61-1.05],0.86 [0.65-1.14],0.9 [0.68-1.19],0.89 [0.67-1.18],0.89 [0.67-1.18],0.89 [0.67-1.18],0.9 [0.68-1.2],0.9 [0.68-1.2],0.92 [0.7-1.22],0.92 [0.7-1.22],0.92 [0.7-1.22],0.93 [0.7-1.23],0.93 [0.7-1.23],1.02 [0.77-1.36],1.03 [0.78-1.37],1.03 [0.77-1.36],1.03 [0.78-1.37],1.03 [0.78-1.37]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,0.65 [0.55-0.77],0.63 [0.53-0.74],0.61 [0.51-0.72],0.61 [0.52-0.73],0.63 [0.52-0.76],0.63 [0.52-0.76],0.69 [0.57-0.84],0.71 [0.59-0.86],0.74 [0.61-0.89],0.73 [0.6-0.88],0.72 [0.6-0.87],0.72 [0.6-0.88],0.73 [0.6-0.89],0.73 [0.6-0.89],0.73 [0.6-0.89],0.74 [0.61-0.89],0.74 [0.61-0.9],0.75 [0.62-0.91],0.76 [0.62-0.92],0.81 [0.67-0.98],0.81 [0.67-0.99],0.81 [0.67-0.99],0.81 [0.67-0.99],0.81 [0.67-0.99]
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,0.97 [0.9-1.04],0.92 [0.85-0.99],0.9 [0.83-0.97],0.9 [0.83-0.97],0.89 [0.82-0.97],0.89 [0.82-0.97],0.94 [0.87-1.02],0.93 [0.85-1.01],0.93 [0.86-1.01],0.93 [0.86-1.01],0.93 [0.85-1.01],0.93 [0.85-1.01],0.93 [0.85-1.01],0.93 [0.85-1.01],0.93 [0.86-1.01],0.93 [0.86-1.01],0.94 [0.86-1.02],0.93 [0.86-1.02],0.93 [0.86-1.02],0.94 [0.86-1.02],0.94 [0.86-1.02],0.94 [0.86-1.02],0.94 [0.86-1.02],0.94 [0.86-1.02]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Other lung condition,1,0.68 [0.63-0.74],0.72 [0.66-0.78],0.73 [0.67-0.79],0.72 [0.66-0.79],0.76 [0.69-0.83],0.79 [0.71-0.87],0.9 [0.82-1],0.89 [0.81-0.98],0.89 [0.8-0.98],0.88 [0.8-0.98],0.88 [0.8-0.98],0.88 [0.8-0.98],0.88 [0.8-0.98],0.88 [0.8-0.98],0.89 [0.8-0.98],0.89 [0.81-0.99],0.89 [0.81-0.99],0.89 [0.8-0.98],0.88 [0.8-0.98],0.89 [0.8-0.98],0.89 [0.81-0.99],0.89 [0.8-0.99],0.89 [0.8-0.99],0.89 [0.8-0.99]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.62 [0.56-0.68],0.65 [0.59-0.71],0.67 [0.61-0.74],0.68 [0.61-0.75],0.67 [0.61-0.75],0.67 [0.6-0.74],0.72 [0.65-0.8],0.72 [0.65-0.8],0.71 [0.64-0.79],0.71 [0.64-0.79],0.72 [0.64-0.8],0.72 [0.64-0.8],0.72 [0.65-0.8],0.72 [0.65-0.8],0.72 [0.65-0.8],0.72 [0.65-0.8],0.72 [0.64-0.8],0.72 [0.64-0.8],0.72 [0.64-0.8],0.77 [0.69-0.86],0.77 [0.69-0.86],0.77 [0.69-0.86],0.77 [0.69-0.86],0.77 [0.69-0.86]
Condition affecting the brain and nerves,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
