predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Ethnicity,Asian,1.23 [1.09-1.38],1.24 [1.1-1.39],1.26 [1.12-1.42],1.26 [1.12-1.42],1.24 [1.1-1.4],1.22 [1.07-1.39],1.21 [1.05-1.38],1.23 [1.08-1.41],1.23 [1.08-1.41],1.28 [1.12-1.47],1.28 [1.12-1.46],1.28 [1.12-1.46],1.27 [1.11-1.46],1.28 [1.11-1.46],1.28 [1.11-1.46],1.28 [1.12-1.46],1.27 [1.11-1.46],1.28 [1.12-1.46],1.27 [1.11-1.46],1.27 [1.11-1.46],1.27 [1.11-1.45],1.27 [1.11-1.45],1.27 [1.11-1.45],1.27 [1.11-1.45],1.2 [1.05-1.38]
Ethnicity,Black,1.04 [0.86-1.25],1.1 [0.91-1.32],1.11 [0.92-1.34],1.11 [0.92-1.34],1.09 [0.9-1.31],1.17 [0.94-1.45],1.15 [0.93-1.42],1.16 [0.94-1.44],1.17 [0.95-1.46],1.21 [0.98-1.51],1.22 [0.98-1.52],1.21 [0.98-1.51],1.21 [0.97-1.5],1.21 [0.97-1.5],1.21 [0.97-1.5],1.21 [0.97-1.5],1.21 [0.97-1.5],1.21 [0.97-1.5],1.21 [0.97-1.5],1.21 [0.97-1.5],1.2 [0.97-1.5],1.2 [0.97-1.49],1.2 [0.97-1.49],1.2 [0.97-1.49],1.11 [0.89-1.39]
Ethnicity,Mixed,1.54 [1.19-1.99],1.56 [1.2-2.02],1.54 [1.19-2],1.54 [1.19-2],1.54 [1.19-2.01],1.63 [1.22-2.18],1.65 [1.23-2.2],1.66 [1.24-2.22],1.65 [1.23-2.21],1.67 [1.24-2.23],1.67 [1.25-2.23],1.67 [1.24-2.23],1.66 [1.24-2.22],1.66 [1.24-2.22],1.66 [1.24-2.22],1.66 [1.24-2.23],1.67 [1.24-2.23],1.67 [1.25-2.23],1.67 [1.24-2.23],1.67 [1.25-2.23],1.67 [1.24-2.23],1.67 [1.25-2.23],1.67 [1.25-2.23],1.67 [1.25-2.23],1.69 [1.26-2.26]
Ethnicity,Other,1.12 [0.92-1.36],1.14 [0.94-1.4],1.15 [0.94-1.4],1.15 [0.94-1.4],1.14 [0.93-1.39],0.99 [0.8-1.22],0.98 [0.79-1.22],1.01 [0.81-1.25],1 [0.81-1.24],1.02 [0.83-1.27],1.03 [0.83-1.27],1.03 [0.83-1.27],1.02 [0.83-1.27],1.02 [0.83-1.27],1.02 [0.83-1.27],1.03 [0.83-1.27],1.03 [0.83-1.27],1.03 [0.83-1.27],1.03 [0.83-1.27],1.02 [0.83-1.27],1.02 [0.83-1.27],1.02 [0.83-1.27],1.02 [0.83-1.27],1.02 [0.83-1.27],1.01 [0.81-1.25]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,2.51 [2.34-2.69],2.59 [2.41-2.78],2.58 [2.41-2.78],2.58 [2.41-2.78],2.58 [2.41-2.78],2.63 [2.44-2.84],2.65 [2.45-2.86],2.64 [2.44-2.85],2.64 [2.44-2.85],2.64 [2.44-2.85],2.64 [2.44-2.85],2.64 [2.44-2.85],2.64 [2.44-2.85],2.64 [2.44-2.85],2.64 [2.44-2.85],2.64 [2.44-2.86],2.65 [2.45-2.86],2.64 [2.45-2.86],2.64 [2.45-2.86],2.64 [2.45-2.86],2.64 [2.45-2.86],2.65 [2.45-2.86],2.65 [2.45-2.86],2.65 [2.45-2.86],2.71 [2.5-2.93]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.66 [0.63-0.69],0.67 [0.64-0.7],0.69 [0.66-0.73],0.69 [0.66-0.73],0.68 [0.65-0.72],0.68 [0.65-0.72],0.68 [0.65-0.71],0.69 [0.65-0.72],0.69 [0.65-0.72],0.71 [0.68-0.75],0.71 [0.68-0.75],0.71 [0.67-0.74],0.71 [0.67-0.74],0.71 [0.67-0.74],0.71 [0.67-0.74],0.71 [0.67-0.74],0.71 [0.67-0.74],0.71 [0.67-0.74],0.71 [0.67-0.74],0.71 [0.67-0.74],0.71 [0.67-0.74],0.71 [0.67-0.75],0.71 [0.67-0.75],0.71 [0.67-0.75],0.72 [0.68-0.75]
BMI,Overweight,0.78 [0.75-0.82],0.79 [0.76-0.82],0.83 [0.8-0.87],0.83 [0.8-0.87],0.82 [0.79-0.86],0.82 [0.79-0.86],0.82 [0.79-0.86],0.82 [0.79-0.86],0.82 [0.79-0.86],0.83 [0.8-0.87],0.83 [0.79-0.87],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.86],0.83 [0.79-0.87]
BMI,Underweight,1.05 [0.87-1.27],1.03 [0.85-1.25],0.96 [0.79-1.16],0.96 [0.79-1.17],0.98 [0.81-1.19],0.98 [0.81-1.19],1 [0.83-1.22],1.02 [0.84-1.23],1.04 [0.85-1.26],1.03 [0.85-1.25],1.03 [0.85-1.25],1.03 [0.85-1.25],1.03 [0.85-1.25],1.03 [0.85-1.25],1.03 [0.85-1.25],1.03 [0.85-1.26],1.03 [0.85-1.26],1.03 [0.85-1.25],1.03 [0.85-1.25],1.03 [0.85-1.25],1.03 [0.85-1.26],1.04 [0.85-1.26],1.03 [0.85-1.26],1.03 [0.85-1.26],1.05 [0.86-1.27]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.73 [0.68-0.79],0.74 [0.69-0.79],0.75 [0.7-0.81],0.75 [0.7-0.8],0.75 [0.7-0.8],0.73 [0.68-0.79],0.73 [0.68-0.79],0.75 [0.69-0.81],0.74 [0.69-0.8],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.7-0.81],0.75 [0.69-0.81],0.75 [0.69-0.81],0.75 [0.69-0.81],0.75 [0.69-0.81],0.75 [0.7-0.81],0.75 [0.69-0.81],0.75 [0.69-0.81],0.75 [0.7-0.81]
Ever smoker,Former cigarette smoker,0.93 [0.89-0.96],0.92 [0.89-0.96],0.96 [0.92-0.99],0.96 [0.93-1],0.95 [0.92-0.99],0.98 [0.94-1.02],0.98 [0.94-1.02],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03],0.99 [0.95-1.03]
Ever smoker,Prefer not to say,0.82 [0.73-0.91],0.82 [0.73-0.92],0.82 [0.73-0.92],0.81 [0.72-0.91],0.79 [0.7-0.89],0.81 [0.69-0.94],0.81 [0.69-0.94],0.81 [0.69-0.95],0.81 [0.69-0.95],0.81 [0.69-0.95],0.81 [0.69-0.95],0.81 [0.69-0.95],0.81 [0.69-0.95],0.81 [0.69-0.95],0.81 [0.69-0.95],0.81 [0.69-0.95],0.81 [0.69-0.95],0.81 [0.69-0.94],0.81 [0.69-0.94],0.81 [0.69-0.94],0.81 [0.69-0.95],0.81 [0.69-0.95],0.81 [0.69-0.95],0.81 [0.69-0.95],0.8 [0.68-0.94]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.79 [0.75-0.83],0.79 [0.75-0.83],0.79 [0.75-0.83],0.79 [0.75-0.83],0.8 [0.76-0.84],0.84 [0.8-0.89],0.86 [0.81-0.9],0.86 [0.81-0.9],0.87 [0.82-0.92],0.89 [0.84-0.94],0.88 [0.83-0.93],0.88 [0.83-0.93],0.88 [0.83-0.93],0.88 [0.83-0.93],0.88 [0.83-0.93],0.88 [0.83-0.93],0.89 [0.84-0.94],0.88 [0.83-0.94],0.89 [0.84-0.94],0.89 [0.84-0.94],0.9 [0.84-0.95],0.9 [0.85-0.96],0.9 [0.85-0.96],0.9 [0.85-0.96],0.86 [0.81-0.91]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,0.25 [0.18-0.34],0.25 [0.19-0.34],0.26 [0.19-0.36],0.26 [0.19-0.35],0.26 [0.19-0.35],0.27 [0.19-0.38],0.26 [0.19-0.37],0.28 [0.2-0.4],0.28 [0.2-0.4],0.29 [0.2-0.41],0.29 [0.2-0.41],0.28 [0.2-0.4],0.29 [0.2-0.4],0.28 [0.2-0.4],0.28 [0.2-0.4],0.28 [0.2-0.4],0.28 [0.2-0.39],0.28 [0.2-0.39],0.28 [0.2-0.39],0.28 [0.2-0.39],0.29 [0.2-0.41],0.28 [0.2-0.41],0.29 [0.2-0.41],0.29 [0.2-0.41],0.25 [0.17-0.35]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.65 [0.62-0.69],0.66 [0.63-0.7],0.7 [0.66-0.74],0.69 [0.66-0.73],0.69 [0.65-0.73],0.74 [0.7-0.79],0.75 [0.7-0.79],0.76 [0.71-0.8],0.76 [0.72-0.81],0.76 [0.72-0.81],0.75 [0.71-0.8],0.75 [0.7-0.79],0.75 [0.71-0.8],0.75 [0.71-0.8],0.75 [0.7-0.8],0.75 [0.71-0.8],0.75 [0.71-0.8],0.75 [0.71-0.8],0.75 [0.71-0.8],0.75 [0.71-0.8],0.75 [0.71-0.8],0.75 [0.71-0.8],0.75 [0.71-0.8],0.75 [0.71-0.8],0.74 [0.7-0.79]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.99 [0.93-1.05],0.99 [0.93-1.06],1.06 [1-1.13],1.07 [1-1.14],1.06 [0.99-1.13],1.11 [1.04-1.19],1.11 [1.04-1.2],1.14 [1.06-1.22],1.14 [1.06-1.22],1.16 [1.08-1.24],1.16 [1.08-1.24],1.15 [1.08-1.24],1.16 [1.08-1.24],1.16 [1.08-1.24],1.16 [1.08-1.24],1.16 [1.08-1.24],1.16 [1.08-1.24],1.16 [1.08-1.24],1.16 [1.08-1.24],1.16 [1.08-1.24],1.16 [1.08-1.24],1.16 [1.08-1.24],1.16 [1.08-1.24],1.16 [1.08-1.24],1.14 [1.06-1.22]
Hypertension (high blood pressure),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension (high blood pressure),1,0.94 [0.9-0.97],0.94 [0.9-0.97],0.95 [0.91-0.99],0.95 [0.91-0.99],0.95 [0.91-0.98],1.02 [0.98-1.07],1.02 [0.97-1.07],1.03 [0.98-1.07],1.03 [0.99-1.08],1.06 [1.01-1.11],1.05 [1.01-1.1],1.05 [1.01-1.1],1.06 [1.01-1.1],1.06 [1.01-1.1],1.06 [1.01-1.1],1.06 [1.01-1.1],1.06 [1.01-1.11],1.06 [1.01-1.11],1.06 [1.01-1.11],1.06 [1.01-1.11],1.06 [1.01-1.11],1.06 [1.01-1.11],1.06 [1.01-1.11],1.06 [1.01-1.11],1.05 [1-1.09]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,0.73 [0.63-0.86],0.74 [0.64-0.87],0.78 [0.67-0.91],0.78 [0.67-0.91],0.75 [0.64-0.88],0.75 [0.64-0.89],0.77 [0.65-0.91],0.79 [0.66-0.93],0.79 [0.67-0.94],0.81 [0.68-0.96],0.8 [0.67-0.95],0.79 [0.67-0.94],0.79 [0.67-0.94],0.79 [0.67-0.94],0.79 [0.67-0.94],0.79 [0.67-0.94],0.79 [0.67-0.94],0.79 [0.67-0.94],0.79 [0.67-0.94],0.8 [0.67-0.95],0.8 [0.67-0.94],0.8 [0.67-0.95],0.8 [0.67-0.95],0.8 [0.67-0.95],0.8 [0.68-0.96]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.87 [0.75-1],0.88 [0.76-1.02],0.89 [0.77-1.03],0.89 [0.77-1.02],0.88 [0.76-1.02],0.91 [0.78-1.06],0.91 [0.78-1.06],0.95 [0.81-1.11],1.05 [0.89-1.23],1.08 [0.92-1.27],1.07 [0.91-1.26],1.06 [0.9-1.25],1.07 [0.91-1.26],1.07 [0.91-1.26],1.07 [0.91-1.26],1.08 [0.91-1.27],1.08 [0.91-1.27],1.08 [0.91-1.27],1.08 [0.92-1.27],1.08 [0.92-1.27],1.08 [0.92-1.27],1.08 [0.92-1.28],1.08 [0.92-1.28],1.08 [0.92-1.28],1.08 [0.92-1.27]
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,0.82 [0.66-1.01],0.86 [0.7-1.06],0.85 [0.69-1.05],0.84 [0.68-1.03],0.83 [0.67-1.02],0.9 [0.71-1.14],0.92 [0.73-1.16],0.95 [0.76-1.21],0.98 [0.77-1.24],1.02 [0.81-1.3],1.02 [0.8-1.29],1.01 [0.8-1.28],1.02 [0.81-1.29],1.02 [0.8-1.29],1.02 [0.8-1.29],1.02 [0.81-1.29],1.02 [0.81-1.3],1.02 [0.81-1.3],1.02 [0.81-1.3],1.02 [0.81-1.3],1.03 [0.81-1.31],1.04 [0.82-1.32],1.04 [0.82-1.32],1.04 [0.82-1.32],1.03 [0.81-1.31]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,0.89 [0.77-1.04],0.88 [0.76-1.03],0.84 [0.72-0.98],0.83 [0.72-0.97],0.81 [0.7-0.94],0.84 [0.71-0.99],0.84 [0.71-0.99],0.87 [0.73-1.02],0.88 [0.74-1.04],0.91 [0.77-1.08],0.9 [0.76-1.06],0.89 [0.76-1.06],0.9 [0.76-1.06],0.89 [0.75-1.06],0.89 [0.75-1.06],0.89 [0.75-1.06],0.9 [0.76-1.06],0.89 [0.75-1.06],0.9 [0.76-1.06],0.9 [0.76-1.06],0.9 [0.76-1.07],0.91 [0.77-1.08],0.91 [0.77-1.08],0.91 [0.77-1.08],0.92 [0.77-1.09]
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,0.95 [0.89-1],0.95 [0.9-1.01],0.93 [0.88-0.99],0.94 [0.88-0.99],0.92 [0.87-0.97],0.93 [0.87-0.99],0.93 [0.87-0.99],0.95 [0.89-1.01],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.94 [0.88-1],0.93 [0.87-0.99]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
