predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_vaccine_type,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Ethnicity,Asian,1.26 [1.09-1.47],1.02 [0.88-1.19],1.06 [0.91-1.24],1.06 [0.91-1.24],0.98 [0.84-1.15],0.97 [0.83-1.14],0.92 [0.77-1.09],0.9 [0.75-1.07],0.9 [0.75-1.07],0.94 [0.79-1.12],0.94 [0.79-1.12],0.93 [0.78-1.11],0.93 [0.78-1.11],0.93 [0.78-1.11],0.93 [0.78-1.11],0.93 [0.78-1.11],0.93 [0.78-1.11],0.93 [0.78-1.1],0.92 [0.77-1.1],0.92 [0.77-1.1],0.92 [0.77-1.09],0.91 [0.77-1.09],0.92 [0.77-1.09],0.92 [0.77-1.09],0.93 [0.78-1.11]
Ethnicity,Black,1.02 [0.81-1.29],0.81 [0.64-1.03],0.83 [0.65-1.05],0.83 [0.65-1.05],0.81 [0.64-1.04],0.78 [0.61-1],0.79 [0.6-1.05],0.78 [0.59-1.02],0.79 [0.6-1.04],0.81 [0.61-1.07],0.81 [0.62-1.07],0.8 [0.6-1.05],0.79 [0.6-1.05],0.79 [0.6-1.05],0.79 [0.6-1.05],0.8 [0.6-1.05],0.8 [0.6-1.05],0.79 [0.6-1.05],0.79 [0.6-1.05],0.79 [0.6-1.05],0.79 [0.6-1.04],0.78 [0.59-1.03],0.79 [0.6-1.04],0.79 [0.6-1.04],0.79 [0.6-1.04]
Ethnicity,Mixed,1.83 [1.23-2.71],1.3 [0.87-1.93],1.29 [0.87-1.92],1.29 [0.87-1.92],1.29 [0.86-1.94],1.3 [0.87-1.95],1.39 [0.88-2.2],1.4 [0.88-2.21],1.39 [0.88-2.19],1.39 [0.88-2.2],1.39 [0.88-2.2],1.39 [0.88-2.2],1.39 [0.88-2.2],1.39 [0.88-2.2],1.39 [0.88-2.2],1.39 [0.88-2.2],1.39 [0.88-2.2],1.39 [0.88-2.2],1.38 [0.88-2.19],1.39 [0.88-2.19],1.39 [0.88-2.2],1.4 [0.88-2.21],1.39 [0.88-2.21],1.39 [0.88-2.21],1.39 [0.88-2.2]
Ethnicity,Other,1.33 [1-1.79],1.22 [0.91-1.64],1.24 [0.92-1.67],1.24 [0.92-1.67],1.17 [0.86-1.58],1.15 [0.85-1.55],0.97 [0.71-1.34],0.97 [0.71-1.33],0.96 [0.7-1.32],0.98 [0.71-1.34],0.98 [0.71-1.34],0.98 [0.71-1.34],0.98 [0.71-1.34],0.98 [0.71-1.34],0.98 [0.71-1.34],0.98 [0.71-1.34],0.98 [0.71-1.34],0.97 [0.71-1.34],0.97 [0.71-1.33],0.97 [0.7-1.33],0.97 [0.7-1.33],0.97 [0.7-1.33],0.97 [0.7-1.33],0.97 [0.7-1.33],0.97 [0.71-1.33]
Vaccine type,AstraZeneca/Oxford [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Vaccine type,Don't know,0.7 [0.43-1.15],0.65 [0.4-1.06],0.68 [0.42-1.11],0.7 [0.43-1.16],0.7 [0.43-1.16],0.7 [0.42-1.15],0.83 [0.45-1.52],0.91 [0.48-1.7],0.9 [0.48-1.69],0.91 [0.48-1.7],0.91 [0.48-1.7],0.91 [0.49-1.71],0.91 [0.49-1.7],0.91 [0.48-1.7],0.91 [0.48-1.7],0.91 [0.48-1.7],0.91 [0.48-1.7],0.91 [0.48-1.7],0.9 [0.48-1.7],0.9 [0.48-1.69],0.89 [0.48-1.68],0.89 [0.47-1.67],0.89 [0.48-1.68],0.89 [0.48-1.68],0.94 [0.5-1.76]
Vaccine type,Moderna,2.02 [0.46-8.91],1.79 [0.41-7.89],1.79 [0.4-7.88],1.79 [0.4-7.88],1.79 [0.4-7.88],1.86 [0.42-8.22],3.24 [0.42-24.9],3.36 [0.44-25.92],3.34 [0.43-25.73],3.42 [0.44-26.41],3.39 [0.44-26.12],3.31 [0.43-25.55],3.3 [0.43-25.42],3.29 [0.43-25.38],3.29 [0.43-25.37],3.29 [0.43-25.35],3.32 [0.43-25.57],3.28 [0.43-25.28],3.26 [0.42-25.12],3.25 [0.42-25.04],3.19 [0.41-24.56],3.16 [0.41-24.36],3.11 [0.4-23.95],3.11 [0.4-23.95],3 [0.39-23.09]
Vaccine type,Pfizer/BioNTech,3.97 [3.77-4.19],3.8 [3.6-4.02],3.78 [3.58-3.99],3.79 [3.58-4],3.79 [3.58-4],3.79 [3.59-4.01],3.78 [3.56-4.01],3.78 [3.56-4.01],3.78 [3.56-4.01],3.78 [3.56-4.01],3.78 [3.56-4.01],3.77 [3.56-4.01],3.77 [3.56-4.01],3.77 [3.56-4.01],3.77 [3.56-4.01],3.77 [3.56-4.01],3.77 [3.56-4],3.77 [3.55-4],3.77 [3.55-4],3.77 [3.55-4],3.76 [3.54-3.99],3.76 [3.54-3.99],3.76 [3.54-3.99],3.76 [3.54-3.99],3.99 [3.75-4.25]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,2.4 [2.17-2.66],2.09 [1.89-2.32],2.09 [1.88-2.31],2.08 [1.88-2.31],2.1 [1.89-2.33],2.1 [1.89-2.33],2.14 [1.91-2.4],2.16 [1.93-2.42],2.16 [1.93-2.43],2.16 [1.93-2.43],2.16 [1.93-2.42],2.16 [1.92-2.42],2.16 [1.93-2.43],2.16 [1.93-2.43],2.16 [1.93-2.43],2.16 [1.93-2.43],2.17 [1.93-2.43],2.17 [1.93-2.44],2.17 [1.93-2.43],2.17 [1.93-2.43],2.17 [1.93-2.43],2.18 [1.94-2.44],2.17 [1.94-2.44],2.17 [1.94-2.44],2.19 [1.95-2.45]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.76 [0.71-0.81],0.7 [0.65-0.75],0.72 [0.67-0.77],0.72 [0.68-0.78],0.72 [0.67-0.77],0.71 [0.66-0.76],0.71 [0.66-0.76],0.71 [0.66-0.76],0.71 [0.66-0.76],0.73 [0.68-0.79],0.73 [0.68-0.79],0.72 [0.67-0.78],0.72 [0.67-0.77],0.72 [0.67-0.78],0.72 [0.67-0.78],0.72 [0.67-0.78],0.72 [0.67-0.78],0.72 [0.67-0.78],0.72 [0.67-0.78],0.72 [0.67-0.78],0.72 [0.67-0.78],0.73 [0.67-0.78],0.72 [0.67-0.78],0.72 [0.67-0.78],0.72 [0.67-0.78]
BMI,Overweight,0.81 [0.76-0.86],0.82 [0.77-0.86],0.85 [0.8-0.91],0.85 [0.81-0.91],0.85 [0.8-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.89],0.85 [0.8-0.9],0.85 [0.8-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.89],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9],0.84 [0.79-0.9]
BMI,Underweight,0.9 [0.7-1.16],0.9 [0.69-1.16],0.84 [0.65-1.08],0.82 [0.64-1.07],0.81 [0.63-1.06],0.82 [0.63-1.07],0.82 [0.63-1.07],0.83 [0.64-1.07],0.86 [0.66-1.12],0.85 [0.66-1.11],0.85 [0.66-1.11],0.86 [0.66-1.12],0.86 [0.66-1.12],0.86 [0.66-1.12],0.86 [0.66-1.12],0.86 [0.66-1.12],0.86 [0.66-1.12],0.86 [0.66-1.13],0.86 [0.66-1.12],0.86 [0.66-1.13],0.86 [0.66-1.12],0.86 [0.66-1.12],0.86 [0.66-1.12],0.86 [0.66-1.12],0.86 [0.66-1.11]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.79 [0.71-0.88],0.7 [0.63-0.78],0.71 [0.64-0.79],0.72 [0.64-0.79],0.72 [0.65-0.8],0.72 [0.64-0.8],0.7 [0.62-0.78],0.7 [0.62-0.78],0.7 [0.62-0.78],0.71 [0.63-0.79],0.71 [0.63-0.79],0.71 [0.63-0.8],0.71 [0.63-0.8],0.71 [0.63-0.8],0.71 [0.63-0.8],0.71 [0.63-0.8],0.71 [0.63-0.8],0.72 [0.64-0.81],0.72 [0.64-0.81],0.72 [0.64-0.81],0.72 [0.64-0.81],0.72 [0.64-0.82],0.72 [0.64-0.81],0.72 [0.64-0.81],0.72 [0.64-0.81]
Ever smoker,Former cigarette smoker,0.88 [0.84-0.93],0.92 [0.88-0.97],0.96 [0.91-1.01],0.96 [0.91-1.01],0.94 [0.89-0.99],0.93 [0.88-0.98],0.94 [0.89-1],0.94 [0.89-1],0.94 [0.89-1],0.95 [0.9-1],0.95 [0.89-1],0.95 [0.89-1],0.95 [0.89-1],0.95 [0.89-1],0.95 [0.89-1],0.95 [0.89-1],0.95 [0.9-1],0.95 [0.9-1.01],0.95 [0.9-1.01],0.95 [0.9-1.01],0.95 [0.9-1.01],0.96 [0.9-1.01],0.96 [0.9-1.01],0.96 [0.9-1.01],0.95 [0.9-1.01]
Ever smoker,Prefer not to say,0.77 [0.66-0.89],0.77 [0.66-0.9],0.77 [0.66-0.91],0.78 [0.67-0.91],0.79 [0.67-0.93],0.77 [0.65-0.9],0.72 [0.58-0.89],0.72 [0.58-0.89],0.72 [0.58-0.89],0.72 [0.58-0.9],0.72 [0.58-0.9],0.72 [0.58-0.9],0.72 [0.58-0.9],0.72 [0.58-0.9],0.72 [0.58-0.9],0.72 [0.58-0.9],0.72 [0.58-0.9],0.73 [0.58-0.9],0.73 [0.58-0.9],0.73 [0.58-0.9],0.73 [0.59-0.91],0.73 [0.59-0.91],0.73 [0.59-0.91],0.73 [0.59-0.91],0.73 [0.58-0.9]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,0.15 [0.1-0.23],0.12 [0.08-0.19],0.13 [0.09-0.2],0.14 [0.09-0.21],0.14 [0.09-0.23],0.14 [0.09-0.22],0.15 [0.09-0.24],0.14 [0.09-0.23],0.14 [0.09-0.23],0.14 [0.09-0.24],0.14 [0.09-0.24],0.14 [0.09-0.23],0.14 [0.09-0.23],0.15 [0.09-0.24],0.15 [0.09-0.24],0.15 [0.09-0.24],0.15 [0.09-0.24],0.15 [0.09-0.24],0.15 [0.09-0.24],0.15 [0.09-0.24],0.17 [0.1-0.28],0.17 [0.1-0.28],0.17 [0.1-0.28],0.17 [0.1-0.28],0.17 [0.1-0.28]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.65 [0.61-0.7],0.69 [0.64-0.74],0.72 [0.67-0.78],0.72 [0.66-0.78],0.72 [0.66-0.78],0.72 [0.66-0.78],0.75 [0.68-0.81],0.75 [0.69-0.82],0.76 [0.69-0.83],0.76 [0.69-0.83],0.75 [0.69-0.82],0.74 [0.68-0.81],0.74 [0.68-0.81],0.75 [0.68-0.81],0.75 [0.68-0.81],0.75 [0.68-0.82],0.75 [0.68-0.82],0.75 [0.68-0.82],0.75 [0.68-0.81],0.75 [0.68-0.81],0.75 [0.68-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.69-0.82],0.75 [0.68-0.82]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.89 [0.81-0.97],0.99 [0.9-1.08],1.05 [0.96-1.15],1.05 [0.96-1.15],1.05 [0.96-1.15],1.04 [0.95-1.14],1.06 [0.96-1.17],1.07 [0.97-1.18],1.07 [0.97-1.18],1.08 [0.98-1.2],1.08 [0.98-1.2],1.07 [0.97-1.19],1.08 [0.98-1.19],1.08 [0.98-1.2],1.08 [0.98-1.2],1.08 [0.98-1.2],1.08 [0.98-1.2],1.09 [0.98-1.2],1.09 [0.98-1.2],1.09 [0.98-1.2],1.09 [0.98-1.2],1.09 [0.98-1.2],1.09 [0.98-1.2],1.09 [0.98-1.2],1.09 [0.98-1.2]
Hypertension,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension,1,0.92 [0.87-0.98],1.03 [0.97-1.09],1.05 [0.99-1.11],1.05 [0.99-1.11],1.04 [0.98-1.1],1.04 [0.98-1.1],1.09 [1.02-1.16],1.09 [1.02-1.16],1.09 [1.03-1.17],1.12 [1.05-1.19],1.12 [1.05-1.19],1.12 [1.05-1.19],1.12 [1.05-1.19],1.12 [1.05-1.2],1.12 [1.05-1.2],1.12 [1.05-1.2],1.12 [1.05-1.2],1.12 [1.05-1.2],1.12 [1.05-1.2],1.12 [1.05-1.2],1.12 [1.05-1.2],1.13 [1.06-1.2],1.12 [1.05-1.2],1.12 [1.05-1.2],1.12 [1.05-1.2]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,0.65 [0.52-0.81],0.7 [0.56-0.88],0.73 [0.58-0.92],0.73 [0.58-0.91],0.72 [0.57-0.91],0.7 [0.56-0.89],0.7 [0.54-0.9],0.7 [0.54-0.9],0.71 [0.55-0.91],0.72 [0.56-0.93],0.72 [0.56-0.92],0.7 [0.55-0.91],0.7 [0.55-0.91],0.71 [0.55-0.91],0.71 [0.55-0.91],0.71 [0.55-0.91],0.71 [0.55-0.92],0.71 [0.55-0.92],0.71 [0.55-0.92],0.72 [0.56-0.93],0.72 [0.56-0.93],0.73 [0.56-0.94],0.72 [0.56-0.93],0.72 [0.56-0.93],0.72 [0.56-0.93]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.82 [0.66-1.02],0.86 [0.69-1.06],0.86 [0.7-1.07],0.87 [0.7-1.09],0.87 [0.7-1.09],0.86 [0.69-1.08],0.79 [0.63-1],0.8 [0.64-1.02],0.89 [0.7-1.14],0.92 [0.72-1.18],0.91 [0.72-1.17],0.89 [0.7-1.14],0.9 [0.71-1.15],0.9 [0.71-1.15],0.9 [0.71-1.15],0.9 [0.71-1.16],0.9 [0.71-1.15],0.91 [0.71-1.16],0.91 [0.72-1.17],0.92 [0.72-1.17],0.95 [0.74-1.21],0.95 [0.74-1.22],0.95 [0.74-1.21],0.95 [0.74-1.21],0.95 [0.74-1.22]
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,0.89 [0.64-1.24],0.87 [0.62-1.2],0.86 [0.62-1.19],0.85 [0.62-1.19],0.82 [0.59-1.15],0.8 [0.57-1.13],0.84 [0.58-1.22],0.85 [0.59-1.23],0.89 [0.62-1.29],0.94 [0.64-1.36],0.93 [0.64-1.35],0.93 [0.64-1.35],0.93 [0.64-1.36],0.94 [0.65-1.37],0.94 [0.65-1.37],0.94 [0.65-1.37],0.94 [0.65-1.37],0.95 [0.65-1.38],0.96 [0.66-1.39],0.96 [0.66-1.39],1.03 [0.71-1.49],1.03 [0.71-1.5],1.03 [0.71-1.5],1.03 [0.71-1.5],1.04 [0.71-1.51]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,0.84 [0.67-1.05],0.78 [0.63-0.98],0.76 [0.61-0.95],0.77 [0.61-0.96],0.81 [0.64-1.02],0.79 [0.63-1],0.87 [0.67-1.14],0.87 [0.67-1.13],0.91 [0.69-1.18],0.94 [0.72-1.22],0.93 [0.71-1.22],0.92 [0.71-1.21],0.93 [0.71-1.22],0.94 [0.72-1.23],0.94 [0.72-1.23],0.94 [0.72-1.23],0.95 [0.72-1.24],0.95 [0.73-1.25],0.96 [0.74-1.26],0.97 [0.74-1.27],1 [0.76-1.31],1.01 [0.77-1.32],1 [0.76-1.31],1 [0.76-1.31],1.01 [0.77-1.32]
