predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_vaccine_type,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Ethnicity,Other,0.93 [0.4-2.15],0.86 [0.37-2],0.86 [0.37-2.01],0.86 [0.37-2.01],0.86 [0.37-2.03],0.75 [0.32-1.76],0.86 [0.34-2.17],0.88 [0.35-2.22],0.87 [0.34-2.2],0.9 [0.35-2.28],0.92 [0.36-2.34],0.92 [0.36-2.34],0.91 [0.36-2.31],0.91 [0.36-2.31],0.9 [0.35-2.3],0.91 [0.36-2.31],0.9 [0.35-2.31],0.9 [0.35-2.29],0.9 [0.35-2.29],0.89 [0.35-2.28],0.88 [0.35-2.24],0.89 [0.35-2.28],0.9 [0.35-2.31],0.88 [0.35-2.26],0.88 [0.34-2.25]
Vaccine type,AstraZeneca/Oxford [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Vaccine type,Don't know,0.56 [0.12-2.63],0.56 [0.12-2.65],0.56 [0.12-2.67],0.56 [0.12-2.66],0.56 [0.12-2.66],0.4 [0.08-2.01],0.49 [0.09-2.51],0.45 [0.09-2.33],0.45 [0.09-2.31],0.48 [0.09-2.47],0.45 [0.09-2.32],0.45 [0.09-2.31],0.44 [0.09-2.28],0.45 [0.09-2.29],0.45 [0.09-2.3],0.45 [0.09-2.31],0.44 [0.09-2.29],0.44 [0.09-2.25],0.44 [0.09-2.25],0.44 [0.08-2.24],0.45 [0.09-2.31],0.43 [0.08-2.19],0.43 [0.08-2.21],0.43 [0.08-2.23],0.45 [0.09-2.34]
Vaccine type,Moderna,14639.64 [0-6.67928315058033e+171],16077.66 [0-7.33543309332259e+171],15583.4 [0-7.10999698767387e+171],15419.98 [0-7.03544289134218e+171],15419.98 [0-7.03544289134218e+171],38076.91 [0-1.00696554608128e+281],42761.27 [0-1.13085844654193e+281],40511.54 [0-1.07136434805213e+281],40519.19 [0-1.07156670459302e+281],40065.42 [0-1.05956654927558e+281],40834.6 [0-1.07990859464386e+281],40212.54 [0-1.06348570562935e+281],39535.36 [0-1.04557704028812e+281],39615.67 [0-1.04770126872511e+281],39744.28 [0-1.0511025960441e+281],39808.66 [0-1.05280539957577e+281],39392.48 [0-1.0417999751182e+281],38746.09 [0-1.02470618882009e+281],38745.4 [0-1.02468782516737e+281],38594.19 [0-1.02068901718815e+281],38133.33 [0-1.00850134648677e+281],36817.94 [0-9.73714318409896e+280],37509.21 [0-9.91996797005236e+280],37298.19 [0-9.86416162034426e+280],38359.39 [0-1.01448524415016e+281]
Vaccine type,Pfizer/BioNTech,3.47 [2.84-4.23],3.21 [2.62-3.93],3.2 [2.61-3.92],3.14 [2.56-3.85],3.14 [2.56-3.85],2.93 [2.35-3.65],2.94 [2.35-3.66],2.9 [2.33-3.62],2.89 [2.32-3.61],2.9 [2.32-3.62],2.9 [2.32-3.62],2.9 [2.32-3.62],2.9 [2.32-3.62],2.9 [2.32-3.62],2.9 [2.32-3.62],2.9 [2.32-3.62],2.9 [2.32-3.62],2.89 [2.31-3.61],2.89 [2.31-3.61],2.89 [2.31-3.61],2.88 [2.31-3.6],2.85 [2.28-3.56],2.86 [2.29-3.57],2.87 [2.3-3.59],2.95 [2.33-3.72]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.81 [0.63-1.04],0.74 [0.57-0.96],0.75 [0.58-0.97],0.75 [0.58-0.97],0.76 [0.59-0.99],0.76 [0.59-0.99],0.77 [0.59-1.01],0.8 [0.61-1.05],0.8 [0.61-1.04],0.82 [0.62-1.07],0.81 [0.62-1.06],0.81 [0.61-1.06],0.8 [0.61-1.06],0.8 [0.61-1.06],0.8 [0.61-1.05],0.8 [0.61-1.05],0.8 [0.61-1.06],0.8 [0.61-1.06],0.8 [0.61-1.06],0.8 [0.61-1.06],0.8 [0.61-1.05],0.82 [0.62-1.08],0.82 [0.62-1.08],0.82 [0.62-1.07],0.81 [0.62-1.07]
BMI,Overweight,0.96 [0.76-1.22],0.98 [0.77-1.25],1 [0.78-1.27],0.99 [0.78-1.26],0.98 [0.76-1.24],0.98 [0.76-1.24],0.96 [0.75-1.23],0.97 [0.76-1.23],0.97 [0.76-1.23],0.97 [0.76-1.24],0.96 [0.75-1.23],0.96 [0.75-1.23],0.96 [0.75-1.23],0.97 [0.75-1.23],0.96 [0.75-1.23],0.96 [0.75-1.23],0.97 [0.76-1.24],0.96 [0.75-1.23],0.96 [0.75-1.23],0.96 [0.75-1.23],0.96 [0.75-1.23],0.97 [0.76-1.24],0.97 [0.76-1.24],0.97 [0.76-1.25],0.97 [0.76-1.25]
BMI,Underweight,3.46 [0.47-25.26],3.42 [0.47-25.11],3.38 [0.46-24.76],3.36 [0.46-24.66],3.06 [0.41-22.68],3.06 [0.41-22.68],2.97 [0.4-22.04],2.94 [0.4-21.74],2.92 [0.39-21.61],2.91 [0.39-21.53],2.87 [0.39-21.26],2.88 [0.39-21.3],2.94 [0.4-21.75],2.94 [0.4-21.78],2.93 [0.4-21.73],2.94 [0.4-21.77],2.94 [0.4-21.75],2.93 [0.4-21.67],2.93 [0.4-21.66],3 [0.4-22.28],2.97 [0.4-22.08],2.91 [0.39-21.62],2.9 [0.39-21.53],2.92 [0.39-21.68],2.89 [0.39-21.52]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.53 [0.38-0.74],0.49 [0.35-0.69],0.5 [0.35-0.69],0.49 [0.35-0.69],0.49 [0.35-0.69],0.49 [0.33-0.72],0.49 [0.33-0.72],0.51 [0.34-0.75],0.51 [0.34-0.74],0.51 [0.34-0.74],0.5 [0.34-0.74],0.5 [0.34-0.74],0.5 [0.34-0.74],0.5 [0.34-0.74],0.5 [0.34-0.74],0.5 [0.34-0.74],0.5 [0.34-0.74],0.52 [0.35-0.77],0.52 [0.35-0.77],0.52 [0.35-0.77],0.51 [0.35-0.76],0.53 [0.36-0.79],0.54 [0.36-0.8],0.53 [0.36-0.79],0.53 [0.36-0.79]
Ever smoker,Former cigarette smoker,0.74 [0.61-0.9],0.8 [0.65-0.97],0.8 [0.66-0.98],0.79 [0.65-0.97],0.77 [0.63-0.95],0.75 [0.6-0.94],0.75 [0.6-0.94],0.77 [0.61-0.95],0.76 [0.61-0.95],0.76 [0.61-0.95],0.76 [0.61-0.95],0.76 [0.61-0.95],0.76 [0.61-0.95],0.76 [0.61-0.95],0.76 [0.61-0.94],0.76 [0.61-0.95],0.76 [0.61-0.94],0.77 [0.61-0.96],0.77 [0.61-0.96],0.77 [0.61-0.96],0.77 [0.61-0.96],0.77 [0.61-0.96],0.77 [0.61-0.96],0.77 [0.61-0.96],0.77 [0.61-0.96]
Ever smoker,Prefer not to say,0.73 [0.42-1.26],0.74 [0.43-1.29],0.75 [0.43-1.29],0.73 [0.42-1.26],0.78 [0.45-1.36],0.72 [0.34-1.52],0.72 [0.34-1.52],0.73 [0.35-1.56],0.73 [0.34-1.54],0.73 [0.34-1.54],0.73 [0.35-1.55],0.73 [0.34-1.55],0.73 [0.34-1.55],0.73 [0.34-1.55],0.73 [0.34-1.55],0.73 [0.34-1.55],0.73 [0.34-1.55],0.73 [0.34-1.55],0.73 [0.34-1.55],0.73 [0.34-1.55],0.74 [0.35-1.57],0.75 [0.35-1.59],0.76 [0.36-1.62],0.76 [0.36-1.63],0.76 [0.36-1.62]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.51 [0.4-0.66],0.57 [0.44-0.73],0.57 [0.44-0.73],0.58 [0.44-0.74],0.61 [0.47-0.8],0.65 [0.48-0.86],0.69 [0.51-0.92],0.69 [0.51-0.92],0.7 [0.52-0.94],0.72 [0.53-0.97],0.71 [0.53-0.96],0.71 [0.53-0.96],0.72 [0.53-0.96],0.71 [0.53-0.96],0.71 [0.53-0.96],0.71 [0.52-0.96],0.72 [0.53-0.97],0.74 [0.54-1.01],0.74 [0.54-1.01],0.75 [0.55-1.03],0.78 [0.56-1.08],0.8 [0.58-1.1],0.79 [0.57-1.09],0.79 [0.57-1.09],0.78 [0.57-1.08]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,0.19 [0.07-0.54],0.16 [0.06-0.47],0.16 [0.06-0.48],0.16 [0.06-0.47],0.19 [0.06-0.56],0.21 [0.07-0.7],0.21 [0.06-0.68],0.23 [0.07-0.76],0.23 [0.07-0.76],0.23 [0.07-0.74],0.23 [0.07-0.75],0.23 [0.07-0.75],0.23 [0.07-0.76],0.23 [0.07-0.76],0.23 [0.07-0.77],0.23 [0.07-0.77],0.23 [0.07-0.77],0.23 [0.07-0.77],0.23 [0.07-0.77],0.23 [0.07-0.76],0.25 [0.07-0.84],0.25 [0.07-0.87],0.26 [0.08-0.88],0.26 [0.08-0.89],0.26 [0.08-0.9]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.62 [0.48-0.81],0.69 [0.52-0.9],0.69 [0.53-0.91],0.7 [0.53-0.92],0.69 [0.52-0.91],0.78 [0.57-1.07],0.78 [0.57-1.07],0.82 [0.59-1.12],0.81 [0.59-1.11],0.81 [0.59-1.11],0.78 [0.57-1.08],0.78 [0.56-1.08],0.78 [0.57-1.08],0.78 [0.56-1.08],0.78 [0.56-1.08],0.78 [0.56-1.08],0.78 [0.56-1.08],0.78 [0.56-1.07],0.78 [0.56-1.07],0.78 [0.56-1.07],0.78 [0.56-1.08],0.78 [0.57-1.09],0.78 [0.57-1.08],0.78 [0.56-1.07],0.78 [0.56-1.07]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.93 [0.67-1.3],1.1 [0.79-1.54],1.12 [0.8-1.57],1.15 [0.81-1.61],1.12 [0.79-1.59],1.23 [0.84-1.8],1.3 [0.88-1.91],1.33 [0.91-1.97],1.33 [0.9-1.96],1.38 [0.93-2.04],1.38 [0.93-2.04],1.37 [0.93-2.03],1.39 [0.94-2.06],1.39 [0.94-2.05],1.38 [0.93-2.04],1.37 [0.93-2.04],1.37 [0.93-2.03],1.38 [0.93-2.04],1.38 [0.93-2.04],1.38 [0.93-2.05],1.38 [0.93-2.04],1.38 [0.93-2.05],1.37 [0.93-2.04],1.38 [0.93-2.05],1.38 [0.93-2.04]
Hypertension,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension,1,0.86 [0.7-1.06],1.01 [0.81-1.25],1.01 [0.82-1.26],1.01 [0.82-1.26],1 [0.8-1.24],0.98 [0.77-1.24],0.99 [0.77-1.26],1 [0.78-1.27],1.01 [0.79-1.29],1.03 [0.81-1.32],1.02 [0.8-1.31],1.02 [0.8-1.31],1.03 [0.81-1.32],1.03 [0.8-1.32],1.03 [0.8-1.31],1.03 [0.8-1.31],1.03 [0.8-1.31],1.03 [0.8-1.31],1.03 [0.8-1.31],1.03 [0.8-1.32],1.03 [0.8-1.31],1.03 [0.81-1.32],1.02 [0.8-1.31],1.03 [0.8-1.31],1.02 [0.8-1.31]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,0.43 [0.24-0.78],0.51 [0.28-0.93],0.51 [0.28-0.94],0.51 [0.28-0.93],0.46 [0.25-0.85],0.49 [0.25-0.95],0.54 [0.27-1.08],0.56 [0.28-1.13],0.58 [0.29-1.16],0.59 [0.29-1.18],0.57 [0.28-1.15],0.57 [0.28-1.14],0.57 [0.28-1.14],0.56 [0.28-1.14],0.56 [0.28-1.13],0.56 [0.28-1.13],0.56 [0.28-1.13],0.57 [0.28-1.15],0.57 [0.28-1.15],0.57 [0.28-1.15],0.58 [0.29-1.17],0.58 [0.28-1.16],0.57 [0.28-1.15],0.56 [0.28-1.14],0.56 [0.28-1.14]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.78 [0.39-1.56],0.85 [0.42-1.7],0.86 [0.43-1.72],0.84 [0.42-1.68],0.87 [0.43-1.76],0.78 [0.38-1.59],0.87 [0.41-1.84],0.94 [0.44-1.99],1.06 [0.49-2.28],1.11 [0.51-2.41],1.08 [0.5-2.35],1.08 [0.5-2.34],1.1 [0.51-2.4],1.1 [0.51-2.4],1.08 [0.49-2.35],1.07 [0.49-2.34],1.06 [0.48-2.32],1.05 [0.48-2.3],1.05 [0.48-2.3],1.05 [0.48-2.3],1.1 [0.5-2.42],1.12 [0.51-2.46],1.13 [0.51-2.49],1.12 [0.51-2.46],1.11 [0.5-2.45]
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,0.84 [0.33-2.11],0.9 [0.36-2.27],0.9 [0.36-2.26],0.87 [0.35-2.2],0.86 [0.34-2.19],0.96 [0.34-2.73],1.29 [0.39-4.24],1.39 [0.42-4.6],1.38 [0.42-4.55],1.43 [0.43-4.74],1.33 [0.4-4.41],1.33 [0.4-4.4],1.36 [0.41-4.52],1.35 [0.4-4.5],1.35 [0.4-4.5],1.33 [0.4-4.46],1.35 [0.4-4.52],1.35 [0.4-4.51],1.35 [0.4-4.51],1.34 [0.4-4.49],1.42 [0.42-4.79],1.48 [0.44-4.97],1.47 [0.44-4.97],1.49 [0.44-5.02],1.5 [0.45-5.08]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,0.9 [0.47-1.74],0.82 [0.42-1.58],0.81 [0.42-1.56],0.8 [0.41-1.55],0.88 [0.45-1.71],1.03 [0.47-2.27],1.01 [0.46-2.22],1.12 [0.51-2.47],1.13 [0.51-2.51],1.18 [0.53-2.61],1.16 [0.52-2.57],1.16 [0.52-2.57],1.16 [0.52-2.57],1.15 [0.52-2.56],1.14 [0.51-2.54],1.14 [0.51-2.54],1.15 [0.52-2.56],1.15 [0.52-2.56],1.15 [0.52-2.56],1.15 [0.52-2.55],1.18 [0.53-2.62],1.21 [0.54-2.69],1.18 [0.53-2.64],1.19 [0.53-2.66],1.2 [0.54-2.67]
