predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Ethnicity,Black,1.88 [1.58-2.23],1.81 [1.53-2.16],1.87 [1.57-2.23],1.87 [1.57-2.23],2.01 [1.65-2.44],2 [1.64-2.44],2.03 [1.67-2.48],2.03 [1.67-2.48],2.07 [1.69-2.52],2.07 [1.69-2.52],2.08 [1.71-2.54],2.08 [1.71-2.54],2.08 [1.71-2.54],2.08 [1.71-2.54],2.08 [1.71-2.54],2.08 [1.71-2.55],2.08 [1.71-2.54],2.08 [1.71-2.54],2.08 [1.71-2.54],2.09 [1.71-2.55],2.08 [1.7-2.54],2.08 [1.7-2.54],2.08 [1.7-2.54],2.05 [1.67-2.5]
Ethnicity,Mixed,1.4 [1.17-1.68],1.21 [1.01-1.46],1.21 [1-1.45],1.21 [1-1.45],1.19 [0.98-1.45],1.2 [0.98-1.46],1.21 [0.99-1.47],1.21 [0.99-1.47],1.21 [0.99-1.48],1.21 [0.99-1.48],1.21 [0.99-1.48],1.21 [0.99-1.48],1.21 [0.99-1.48],1.21 [0.99-1.48],1.21 [0.99-1.48],1.21 [1-1.48],1.21 [0.99-1.48],1.21 [0.99-1.48],1.21 [0.99-1.48],1.21 [0.99-1.47],1.21 [0.99-1.47],1.21 [0.99-1.47],1.2 [0.99-1.47],1.19 [0.97-1.45]
Ethnicity,Other,1.35 [1.1-1.65],1.3 [1.06-1.59],1.31 [1.07-1.61],1.31 [1.07-1.61],1.32 [1.06-1.65],1.3 [1.05-1.62],1.33 [1.07-1.66],1.33 [1.07-1.65],1.34 [1.07-1.67],1.34 [1.07-1.67],1.34 [1.07-1.67],1.34 [1.07-1.66],1.34 [1.07-1.66],1.33 [1.07-1.66],1.33 [1.07-1.66],1.33 [1.07-1.66],1.33 [1.07-1.66],1.33 [1.07-1.66],1.33 [1.07-1.66],1.32 [1.06-1.65],1.32 [1.06-1.65],1.32 [1.06-1.65],1.32 [1.06-1.65],1.27 [1.02-1.59]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.89 [0.85-0.94],0.88 [0.83-0.92],0.91 [0.87-0.96],0.92 [0.87-0.96],0.92 [0.87-0.96],0.92 [0.87-0.97],0.93 [0.88-0.97],0.92 [0.88-0.97],0.94 [0.89-0.99],0.94 [0.89-0.99],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.95 [0.9-1],0.96 [0.91-1.01]
BMI,Overweight,0.89 [0.85-0.92],0.91 [0.87-0.95],0.97 [0.93-1.01],0.97 [0.93-1.02],0.97 [0.93-1.02],0.97 [0.93-1.02],0.98 [0.93-1.02],0.97 [0.93-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.03],0.98 [0.94-1.03],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.02],0.98 [0.94-1.03],0.98 [0.94-1.03],0.98 [0.94-1.03],0.99 [0.95-1.03]
BMI,Underweight,1.1 [0.91-1.32],1.06 [0.88-1.27],0.99 [0.82-1.19],0.98 [0.81-1.18],0.98 [0.81-1.18],0.99 [0.82-1.19],0.99 [0.82-1.2],0.99 [0.82-1.2],0.99 [0.82-1.2],0.99 [0.82-1.2],0.99 [0.82-1.2],0.99 [0.82-1.2],0.99 [0.82-1.2],0.99 [0.82-1.2],0.99 [0.82-1.2],0.99 [0.82-1.2],0.99 [0.82-1.2],0.99 [0.82-1.2],0.99 [0.82-1.2],1 [0.83-1.2],1 [0.83-1.2],1 [0.83-1.2],1 [0.83-1.2],1.01 [0.83-1.22]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.78 [0.73-0.83],0.74 [0.7-0.8],0.75 [0.7-0.8],0.76 [0.71-0.82],0.76 [0.71-0.82],0.76 [0.71-0.82],0.77 [0.71-0.82],0.76 [0.71-0.82],0.77 [0.71-0.82],0.77 [0.71-0.82],0.77 [0.71-0.82],0.77 [0.71-0.82],0.77 [0.71-0.82],0.77 [0.71-0.82],0.77 [0.71-0.82],0.77 [0.71-0.82],0.77 [0.71-0.83],0.77 [0.71-0.82],0.77 [0.71-0.82],0.77 [0.71-0.82],0.77 [0.72-0.83],0.77 [0.72-0.83],0.77 [0.72-0.83],0.77 [0.71-0.82]
Ever smoker,Former cigarette smoker,0.9 [0.87-0.94],0.92 [0.89-0.96],0.94 [0.91-0.98],0.96 [0.92-0.99],0.96 [0.93-1.01],0.96 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01],0.97 [0.93-1.01]
Ever smoker,Prefer not to say,0.95 [0.85-1.08],0.94 [0.83-1.06],0.94 [0.83-1.06],0.96 [0.85-1.09],1.01 [0.86-1.2],1.01 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.87-1.21],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2],1.02 [0.86-1.2]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.85 [0.79-0.92],0.87 [0.81-0.94],0.86 [0.79-0.93],0.82 [0.76-0.89],0.83 [0.76-0.9],0.84 [0.77-0.92],0.84 [0.77-0.92],0.85 [0.78-0.92],0.87 [0.8-0.95],0.87 [0.8-0.95],0.87 [0.8-0.95],0.87 [0.8-0.95],0.87 [0.8-0.95],0.87 [0.8-0.95],0.87 [0.8-0.95],0.88 [0.8-0.96],0.88 [0.81-0.96],0.88 [0.81-0.97],0.89 [0.81-0.97],0.91 [0.83-0.99],0.91 [0.84-1],0.92 [0.84-1],0.92 [0.84-1],0.91 [0.84-1]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,0.29 [0.08-0.98],0.26 [0.07-0.89],0.27 [0.08-0.92],0.26 [0.07-0.92],0.19 [0.04-0.86],0.19 [0.04-0.85],0.2 [0.05-0.92],0.2 [0.05-0.92],0.2 [0.04-0.91],0.2 [0.04-0.91],0.2 [0.04-0.92],0.2 [0.04-0.91],0.2 [0.04-0.9],0.2 [0.04-0.9],0.2 [0.04-0.91],0.2 [0.04-0.9],0.2 [0.04-0.9],0.2 [0.04-0.91],0.2 [0.04-0.91],0.21 [0.05-0.95],0.21 [0.05-0.95],0.21 [0.05-0.95],0.21 [0.05-0.95],0.16 [0.04-0.76]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.65 [0.59-0.73],0.68 [0.61-0.75],0.7 [0.63-0.78],0.68 [0.61-0.76],0.69 [0.62-0.78],0.7 [0.62-0.79],0.71 [0.64-0.8],0.71 [0.64-0.8],0.71 [0.64-0.8],0.71 [0.64-0.8],0.72 [0.64-0.81],0.72 [0.64-0.81],0.72 [0.64-0.81],0.72 [0.64-0.81],0.72 [0.64-0.81],0.72 [0.64-0.81],0.72 [0.64-0.81],0.72 [0.64-0.81],0.72 [0.64-0.81],0.73 [0.65-0.82],0.73 [0.65-0.82],0.73 [0.65-0.82],0.73 [0.65-0.82],0.81 [0.72-0.91]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.83 [0.75-0.93],0.89 [0.8-1],0.93 [0.83-1.04],0.93 [0.83-1.04],0.95 [0.85-1.07],0.96 [0.86-1.09],0.98 [0.87-1.11],0.98 [0.87-1.11],1 [0.89-1.13],1 [0.89-1.13],1.01 [0.9-1.14],1.01 [0.9-1.14],1.01 [0.9-1.14],1.01 [0.9-1.14],1.01 [0.9-1.14],1.01 [0.9-1.14],1.01 [0.9-1.14],1.01 [0.9-1.14],1.01 [0.9-1.14],1.02 [0.9-1.15],1.02 [0.9-1.15],1.02 [0.9-1.15],1.02 [0.9-1.15],1.08 [0.96-1.22]
Hypertension (high blood pressure),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension (high blood pressure),1,0.82 [0.78-0.86],0.91 [0.86-0.96],0.93 [0.88-0.98],0.92 [0.87-0.97],0.92 [0.87-0.97],0.92 [0.87-0.97],0.92 [0.87-0.98],0.92 [0.87-0.98],0.94 [0.88-0.99],0.94 [0.88-0.99],0.94 [0.88-0.99],0.94 [0.88-0.99],0.94 [0.88-0.99],0.94 [0.88-0.99],0.94 [0.88-0.99],0.94 [0.88-0.99],0.94 [0.88-0.99],0.94 [0.88-0.99],0.94 [0.88-0.99],0.94 [0.88-1],0.94 [0.89-1],0.94 [0.89-1],0.94 [0.89-1],0.95 [0.9-1.01]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,0.7 [0.52-0.95],0.76 [0.56-1.03],0.8 [0.59-1.09],0.78 [0.57-1.06],0.79 [0.57-1.1],0.82 [0.59-1.14],0.84 [0.6-1.17],0.83 [0.6-1.16],0.86 [0.61-1.2],0.86 [0.61-1.2],0.86 [0.62-1.21],0.86 [0.62-1.21],0.86 [0.62-1.2],0.86 [0.62-1.21],0.86 [0.62-1.21],0.86 [0.62-1.21],0.87 [0.62-1.21],0.87 [0.62-1.22],0.87 [0.62-1.22],0.87 [0.63-1.22],0.88 [0.63-1.23],0.88 [0.63-1.23],0.88 [0.63-1.23],0.93 [0.67-1.3]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.91 [0.7-1.19],0.97 [0.74-1.26],0.95 [0.73-1.24],0.97 [0.75-1.27],1.01 [0.76-1.34],0.99 [0.74-1.32],1.02 [0.76-1.36],1.04 [0.78-1.39],1.06 [0.79-1.42],1.06 [0.79-1.42],1.07 [0.8-1.44],1.08 [0.8-1.44],1.08 [0.8-1.44],1.06 [0.79-1.42],1.06 [0.8-1.42],1.06 [0.8-1.42],1.07 [0.8-1.43],1.07 [0.8-1.44],1.08 [0.8-1.44],1.08 [0.81-1.45],1.09 [0.81-1.45],1.09 [0.81-1.45],1.09 [0.82-1.46],1.13 [0.85-1.52]
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,1.18 [0.88-1.58],1.18 [0.88-1.59],1.21 [0.9-1.64],1.15 [0.85-1.55],1.18 [0.86-1.63],1.19 [0.87-1.65],1.21 [0.88-1.67],1.21 [0.88-1.67],1.27 [0.92-1.75],1.27 [0.92-1.75],1.27 [0.92-1.76],1.27 [0.92-1.75],1.26 [0.92-1.75],1.26 [0.92-1.75],1.27 [0.92-1.75],1.27 [0.92-1.75],1.27 [0.92-1.75],1.26 [0.91-1.75],1.26 [0.91-1.75],1.27 [0.92-1.76],1.28 [0.92-1.76],1.28 [0.92-1.77],1.28 [0.92-1.77],1.33 [0.96-1.84]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,1.11 [0.93-1.33],0.99 [0.83-1.19],0.9 [0.75-1.08],0.88 [0.73-1.05],0.92 [0.76-1.12],0.92 [0.75-1.12],0.93 [0.77-1.14],0.94 [0.77-1.14],0.94 [0.77-1.15],0.94 [0.77-1.15],0.95 [0.78-1.15],0.95 [0.78-1.16],0.95 [0.78-1.15],0.94 [0.77-1.15],0.94 [0.77-1.15],0.95 [0.78-1.15],0.95 [0.78-1.15],0.95 [0.78-1.16],0.95 [0.78-1.16],0.96 [0.79-1.17],0.97 [0.79-1.18],0.97 [0.79-1.18],0.97 [0.79-1.18],0.97 [0.79-1.18]
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,1.08 [1.01-1.14],0.97 [0.91-1.03],0.95 [0.9-1.02],0.96 [0.9-1.02],0.96 [0.89-1.03],0.95 [0.89-1.02],0.97 [0.9-1.03],0.96 [0.9-1.03],0.96 [0.9-1.03],0.96 [0.9-1.03],0.97 [0.9-1.03],0.97 [0.9-1.03],0.97 [0.9-1.03],0.97 [0.9-1.03],0.97 [0.9-1.04],0.97 [0.9-1.04],0.97 [0.9-1.04],0.97 [0.9-1.04],0.97 [0.9-1.04],0.97 [0.9-1.04],0.97 [0.9-1.04],0.97 [0.9-1.04],0.97 [0.9-1.04],0.99 [0.93-1.06]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Other lung condition,1,0.75 [0.64-0.9],0.83 [0.69-0.98],0.83 [0.69-0.99],0.84 [0.7-1],0.84 [0.7-1.02],0.9 [0.74-1.09],0.94 [0.77-1.13],0.94 [0.77-1.13],0.94 [0.78-1.14],0.94 [0.78-1.14],0.94 [0.78-1.14],0.94 [0.78-1.14],0.94 [0.78-1.14],0.94 [0.78-1.14],0.94 [0.78-1.14],0.94 [0.78-1.15],0.94 [0.78-1.15],0.94 [0.78-1.14],0.94 [0.78-1.14],0.96 [0.79-1.16],0.96 [0.79-1.16],0.96 [0.79-1.16],0.96 [0.79-1.17],0.99 [0.81-1.2]
Cancer,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Cancer,1,0.67 [0.56-0.81],0.75 [0.62-0.91],0.77 [0.64-0.94],0.76 [0.63-0.92],0.74 [0.6-0.91],0.74 [0.6-0.91],0.75 [0.61-0.93],0.76 [0.62-0.93],0.76 [0.62-0.94],0.76 [0.62-0.94],0.76 [0.62-0.94],0.76 [0.62-0.94],0.76 [0.62-0.94],0.76 [0.62-0.94],0.76 [0.62-0.94],0.76 [0.62-0.94],0.76 [0.62-0.94],0.76 [0.62-0.94],0.76 [0.62-0.94],0.78 [0.63-0.96],0.78 [0.63-0.96],0.78 [0.63-0.96],0.78 [0.63-0.96],0.79 [0.64-0.97]
Condition affecting the brain and nerves,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
