predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_covid_suspected_conf_binary,plus_bmi_cat,plus_smokeever,plus_shielding,plus_healtha_01,plus_healtha_02,plus_healtha_03,plus_healtha_04,plus_healtha_06,plus_healtha_07,plus_healtha_08,plus_healtha_09,plus_healtha_10,plus_healtha_11,plus_healtha_12,plus_healtha_13,plus_healtha_14,plus_healtha_15,plus_healtha_16,plus_healtha_17,plus_days_since_first_vaccine
Ethnicity,Other,1.1 [0.73-1.67],1 [0.66-1.51],1.02 [0.67-1.55],1.02 [0.67-1.55],1.02 [0.67-1.55],0.9 [0.58-1.38],0.92 [0.59-1.43],0.97 [0.62-1.51],0.97 [0.62-1.5],0.99 [0.64-1.55],0.99 [0.64-1.55],0.99 [0.63-1.54],0.99 [0.63-1.54],0.98 [0.63-1.53],0.99 [0.63-1.54],0.98 [0.63-1.53],0.98 [0.63-1.53],0.98 [0.63-1.53],0.96 [0.61-1.49],0.96 [0.62-1.49],0.93 [0.6-1.45],0.93 [0.6-1.45],0.93 [0.59-1.44],0.93 [0.6-1.45],0.95 [0.61-1.48]
Prior infection,No COVID [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Prior infection,COVID suspected or confirmed,2.17 [1.84-2.57],1.82 [1.53-2.16],1.81 [1.53-2.15],1.8 [1.52-2.14],1.8 [1.52-2.14],1.81 [1.51-2.17],1.82 [1.52-2.19],1.79 [1.49-2.15],1.78 [1.48-2.14],1.79 [1.49-2.14],1.78 [1.48-2.14],1.78 [1.48-2.14],1.78 [1.48-2.14],1.78 [1.48-2.14],1.78 [1.48-2.14],1.79 [1.49-2.15],1.79 [1.49-2.15],1.79 [1.49-2.15],1.78 [1.48-2.14],1.79 [1.49-2.15],1.79 [1.49-2.15],1.79 [1.49-2.15],1.79 [1.49-2.15],1.79 [1.49-2.15],1.8 [1.49-2.16]
BMI,Normal weight [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
BMI,Obese,0.82 [0.73-0.91],0.74 [0.66-0.83],0.75 [0.67-0.84],0.75 [0.67-0.84],0.74 [0.66-0.84],0.74 [0.66-0.84],0.75 [0.67-0.84],0.78 [0.69-0.87],0.77 [0.68-0.86],0.79 [0.7-0.89],0.79 [0.7-0.89],0.77 [0.68-0.87],0.77 [0.68-0.87],0.77 [0.68-0.87],0.77 [0.68-0.87],0.77 [0.68-0.87],0.77 [0.68-0.87],0.77 [0.68-0.87],0.77 [0.68-0.86],0.77 [0.68-0.86],0.76 [0.67-0.86],0.76 [0.67-0.86],0.76 [0.67-0.86],0.76 [0.67-0.86],0.76 [0.67-0.86]
BMI,Overweight,0.85 [0.77-0.94],0.86 [0.78-0.95],0.89 [0.81-0.98],0.89 [0.8-0.98],0.88 [0.8-0.97],0.88 [0.8-0.97],0.88 [0.8-0.97],0.88 [0.8-0.98],0.87 [0.79-0.97],0.88 [0.8-0.98],0.88 [0.8-0.98],0.87 [0.79-0.96],0.87 [0.79-0.96],0.87 [0.79-0.96],0.87 [0.79-0.96],0.87 [0.78-0.96],0.87 [0.78-0.96],0.87 [0.78-0.96],0.87 [0.78-0.96],0.86 [0.78-0.96],0.86 [0.78-0.96],0.86 [0.78-0.96],0.86 [0.78-0.96],0.86 [0.78-0.96],0.87 [0.78-0.96]
BMI,Underweight,0.65 [0.45-0.93],0.66 [0.46-0.94],0.63 [0.44-0.9],0.64 [0.45-0.92],0.64 [0.45-0.93],0.64 [0.45-0.93],0.66 [0.46-0.95],0.68 [0.47-0.98],0.68 [0.47-0.99],0.68 [0.47-0.98],0.68 [0.47-0.98],0.68 [0.47-0.99],0.68 [0.47-0.99],0.68 [0.47-0.98],0.68 [0.47-0.98],0.68 [0.47-0.98],0.68 [0.47-0.98],0.68 [0.47-0.99],0.68 [0.47-0.98],0.68 [0.47-0.99],0.69 [0.47-1],0.69 [0.47-1],0.69 [0.47-0.99],0.69 [0.47-0.99],0.69 [0.48-1]
Ever smoker,Never cigarette smoker [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ever smoker,Current cigarette smoker,0.71 [0.6-0.83],0.61 [0.52-0.73],0.62 [0.53-0.73],0.61 [0.52-0.73],0.61 [0.52-0.72],0.59 [0.49-0.7],0.59 [0.49-0.7],0.61 [0.51-0.73],0.6 [0.5-0.72],0.6 [0.51-0.72],0.6 [0.5-0.72],0.61 [0.51-0.72],0.61 [0.51-0.72],0.6 [0.5-0.72],0.6 [0.5-0.72],0.6 [0.5-0.72],0.6 [0.5-0.72],0.61 [0.51-0.73],0.61 [0.51-0.73],0.61 [0.51-0.73],0.61 [0.51-0.73],0.61 [0.51-0.73],0.61 [0.51-0.73],0.61 [0.51-0.73],0.61 [0.5-0.73]
Ever smoker,Former cigarette smoker,0.82 [0.75-0.89],0.87 [0.79-0.94],0.89 [0.82-0.97],0.89 [0.81-0.97],0.88 [0.81-0.96],0.88 [0.8-0.97],0.88 [0.8-0.97],0.89 [0.81-0.98],0.89 [0.81-0.98],0.89 [0.81-0.98],0.89 [0.81-0.98],0.89 [0.81-0.98],0.89 [0.81-0.98],0.89 [0.81-0.98],0.89 [0.81-0.98],0.89 [0.81-0.98],0.89 [0.81-0.98],0.9 [0.82-0.99],0.9 [0.82-0.99],0.9 [0.82-0.99],0.9 [0.82-0.98],0.9 [0.82-0.99],0.9 [0.82-0.98],0.9 [0.82-0.98],0.9 [0.82-0.99]
Ever smoker,Prefer not to say,0.77 [0.59-1],0.79 [0.6-1.02],0.79 [0.61-1.03],0.78 [0.6-1.02],0.77 [0.59-1.01],0.65 [0.46-0.9],0.65 [0.46-0.9],0.65 [0.47-0.92],0.66 [0.47-0.92],0.67 [0.47-0.93],0.67 [0.48-0.93],0.67 [0.48-0.94],0.67 [0.48-0.94],0.67 [0.48-0.94],0.67 [0.48-0.94],0.67 [0.48-0.94],0.67 [0.48-0.94],0.67 [0.48-0.94],0.67 [0.48-0.94],0.67 [0.48-0.94],0.69 [0.49-0.96],0.69 [0.49-0.97],0.69 [0.49-0.97],0.69 [0.49-0.97],0.69 [0.49-0.97]
Shielding out of concern over COVID,No [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Shielding out of concern over COVID,Yes,0.5 [0.45-0.55],0.58 [0.53-0.64],0.59 [0.53-0.65],0.58 [0.53-0.65],0.59 [0.53-0.66],0.6 [0.53-0.67],0.61 [0.55-0.68],0.61 [0.55-0.68],0.64 [0.57-0.72],0.65 [0.58-0.73],0.65 [0.58-0.73],0.65 [0.58-0.72],0.65 [0.58-0.72],0.65 [0.58-0.73],0.65 [0.58-0.73],0.66 [0.59-0.74],0.66 [0.59-0.74],0.67 [0.59-0.75],0.7 [0.62-0.78],0.7 [0.63-0.79],0.79 [0.7-0.9],0.8 [0.7-0.9],0.79 [0.7-0.9],0.79 [0.7-0.9],0.77 [0.68-0.87]
Organ transplant recipient,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Organ transplant recipient,1,0.12 [0.08-0.19],0.1 [0.07-0.16],0.11 [0.07-0.16],0.11 [0.07-0.16],0.11 [0.07-0.17],0.1 [0.07-0.16],0.11 [0.07-0.16],0.13 [0.09-0.21],0.13 [0.09-0.21],0.13 [0.09-0.21],0.13 [0.09-0.21],0.13 [0.08-0.21],0.13 [0.08-0.21],0.14 [0.09-0.22],0.14 [0.09-0.23],0.15 [0.09-0.23],0.15 [0.09-0.23],0.14 [0.09-0.23],0.14 [0.09-0.22],0.14 [0.09-0.22],0.19 [0.12-0.3],0.19 [0.12-0.3],0.19 [0.12-0.3],0.19 [0.12-0.3],0.19 [0.12-0.3]
Diabetes (type I or II),0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Diabetes (type I or II),1,0.66 [0.59-0.75],0.72 [0.64-0.82],0.75 [0.66-0.85],0.75 [0.66-0.84],0.74 [0.66-0.84],0.74 [0.65-0.85],0.75 [0.66-0.86],0.8 [0.7-0.92],0.81 [0.71-0.92],0.81 [0.71-0.92],0.8 [0.7-0.92],0.79 [0.69-0.9],0.79 [0.69-0.9],0.79 [0.69-0.91],0.79 [0.69-0.91],0.8 [0.69-0.91],0.8 [0.69-0.91],0.8 [0.69-0.91],0.78 [0.68-0.9],0.79 [0.69-0.9],0.79 [0.69-0.9],0.79 [0.69-0.9],0.79 [0.69-0.9],0.79 [0.69-0.9],0.78 [0.68-0.9]
Heart disease or heart problems,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Heart disease or heart problems,1,0.78 [0.68-0.9],0.94 [0.82-1.08],0.99 [0.86-1.13],0.98 [0.86-1.13],0.98 [0.85-1.12],1 [0.86-1.15],1.01 [0.87-1.18],1.09 [0.94-1.26],1.08 [0.93-1.26],1.1 [0.95-1.28],1.1 [0.95-1.28],1.08 [0.93-1.26],1.08 [0.93-1.26],1.1 [0.94-1.27],1.1 [0.94-1.28],1.1 [0.95-1.28],1.1 [0.95-1.28],1.11 [0.95-1.29],1.1 [0.95-1.28],1.1 [0.95-1.28],1.1 [0.95-1.28],1.1 [0.95-1.29],1.1 [0.95-1.28],1.1 [0.95-1.28],1.11 [0.95-1.29]
Hypertension,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Hypertension,1,0.94 [0.86-1.04],1.1 [1-1.21],1.11 [1.01-1.22],1.12 [1.01-1.23],1.11 [1.01-1.22],1.11 [1-1.23],1.1 [1-1.22],1.13 [1.02-1.26],1.14 [1.03-1.27],1.17 [1.05-1.3],1.16 [1.05-1.29],1.16 [1.05-1.29],1.16 [1.05-1.29],1.17 [1.06-1.3],1.17 [1.06-1.3],1.18 [1.06-1.31],1.18 [1.06-1.31],1.18 [1.06-1.31],1.17 [1.05-1.3],1.17 [1.05-1.3],1.17 [1.05-1.3],1.17 [1.05-1.3],1.17 [1.05-1.3],1.17 [1.05-1.3],1.17 [1.05-1.3]
Stroke,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Stroke,1,0.66 [0.47-0.93],0.79 [0.56-1.12],0.81 [0.57-1.14],0.81 [0.57-1.13],0.79 [0.56-1.11],0.82 [0.56-1.2],0.9 [0.61-1.33],0.98 [0.66-1.45],0.99 [0.67-1.47],1.02 [0.69-1.52],1 [0.67-1.49],0.98 [0.66-1.46],0.98 [0.66-1.46],0.99 [0.67-1.48],0.99 [0.67-1.48],0.99 [0.67-1.47],0.99 [0.67-1.47],0.99 [0.67-1.48],1.03 [0.69-1.53],1.05 [0.7-1.56],1.03 [0.69-1.54],1.03 [0.69-1.54],1.03 [0.69-1.54],1.03 [0.69-1.54],1.03 [0.69-1.53]
Kidney disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Kidney disease,1,0.54 [0.41-0.7],0.6 [0.46-0.78],0.61 [0.47-0.79],0.6 [0.46-0.79],0.6 [0.46-0.79],0.56 [0.42-0.73],0.55 [0.42-0.73],0.62 [0.47-0.82],0.71 [0.53-0.95],0.72 [0.54-0.97],0.71 [0.53-0.95],0.69 [0.52-0.92],0.69 [0.52-0.92],0.69 [0.52-0.92],0.7 [0.52-0.93],0.71 [0.53-0.96],0.71 [0.53-0.96],0.71 [0.53-0.96],0.72 [0.54-0.97],0.72 [0.54-0.97],0.77 [0.58-1.04],0.78 [0.58-1.04],0.78 [0.58-1.04],0.78 [0.58-1.04],0.78 [0.58-1.05]
Liver disease,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Liver disease,1,0.66 [0.43-1.01],0.6 [0.39-0.93],0.6 [0.39-0.92],0.59 [0.39-0.91],0.58 [0.38-0.9],0.61 [0.38-0.96],0.64 [0.4-1.03],0.7 [0.44-1.12],0.77 [0.48-1.24],0.8 [0.49-1.29],0.79 [0.49-1.28],0.79 [0.49-1.27],0.79 [0.49-1.27],0.81 [0.5-1.31],0.81 [0.5-1.31],0.84 [0.52-1.37],0.84 [0.52-1.37],0.84 [0.52-1.37],0.86 [0.53-1.4],0.85 [0.53-1.39],1.01 [0.62-1.64],1.01 [0.62-1.65],1.01 [0.62-1.64],1.01 [0.62-1.64],1.01 [0.62-1.65]
Anemia,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Anemia,1,0.58 [0.44-0.77],0.59 [0.44-0.78],0.58 [0.43-0.77],0.58 [0.43-0.77],0.57 [0.43-0.76],0.55 [0.41-0.75],0.55 [0.41-0.75],0.61 [0.45-0.83],0.63 [0.46-0.86],0.64 [0.47-0.88],0.64 [0.47-0.87],0.63 [0.46-0.86],0.63 [0.46-0.86],0.64 [0.47-0.88],0.65 [0.48-0.89],0.65 [0.48-0.89],0.65 [0.48-0.89],0.65 [0.48-0.89],0.67 [0.49-0.92],0.68 [0.49-0.93],0.75 [0.54-1.02],0.75 [0.55-1.03],0.74 [0.54-1.02],0.74 [0.54-1.02],0.76 [0.55-1.04]
Asthma,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Asthma,1,1.07 [0.93-1.23],1 [0.87-1.15],0.98 [0.85-1.13],0.98 [0.85-1.13],0.97 [0.84-1.12],0.95 [0.82-1.1],0.96 [0.82-1.11],1.01 [0.87-1.18],0.99 [0.85-1.16],0.99 [0.85-1.16],0.99 [0.85-1.16],0.99 [0.85-1.15],0.99 [0.85-1.15],0.99 [0.85-1.15],0.99 [0.85-1.15],0.99 [0.85-1.15],0.99 [0.85-1.15],1 [0.86-1.16],0.98 [0.84-1.14],0.98 [0.84-1.14],0.99 [0.85-1.15],0.99 [0.85-1.15],0.98 [0.84-1.15],0.98 [0.84-1.15],0.99 [0.85-1.15]
Other lung condition,0 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
