"Variable","Category","Positive_r8","Total_r8","Prevalence_r8","Lower_r8","Upper_r8","Positive_r9","Total_r9","Prevalence_r9","Lower_r9","Upper_r9","Positive_r9a","Total_r9a","Prevalence_r9a","Lower_r9a","Upper_r9a","Positive_r9b","Total_r9b","Prevalence_r9b","Lower_r9b","Upper_r9b"
"hh_size_cat","1",275,25360,0.010844,0.009641,0.012195,68,23576,0.002884,0.002276,0.003655,29,11817,0.002454,0.001709,0.003522,39,11759,0.003317,0.002427,0.00453
"hh_size_cat","2",622,61379,0.010134,0.009372,0.010957,177,59046,0.002998,0.002588,0.003472,108,33894,0.003186,0.00264,0.003845,69,25152,0.002743,0.002168,0.00347
"hh_size_cat","3",455,29965,0.015184,0.013861,0.016632,145,30652,0.004731,0.004022,0.005563,90,15387,0.005849,0.004761,0.007183,55,15265,0.003603,0.002769,0.004686
"hh_size_cat","4",568,34847,0.0163,0.015023,0.017684,182,35280,0.005159,0.004463,0.005962,100,17801,0.005618,0.004621,0.006827,82,17479,0.004691,0.003781,0.005819
"hh_size_cat","5",246,11566,0.021269,0.018794,0.024062,83,12055,0.006885,0.005558,0.008526,43,6087,0.007064,0.005249,0.009501,40,5968,0.006702,0.004926,0.009113
"hh_size_cat","6+",116,4525,0.025635,0.021417,0.030658,34,4847,0.007015,0.005024,0.009786,18,2423,0.007429,0.004704,0.011713,16,2424,0.006601,0.004067,0.010696
"covidcon_char","No",1130,138065,0.008185,0.007723,0.008674,350,139231,0.002514,0.002264,0.002791,198,79174,0.002501,0.002176,0.002874,152,60057,0.002531,0.00216,0.002966
"covidcon_char","Yes, contact with confirmed/tested COVID-19 case",730,5008,0.145767,0.136265,0.155811,215,2587,0.083108,0.073079,0.094373,133,1425,0.093333,0.079304,0.10955,82,1162,0.070568,0.057214,0.086752
"covidcon_char","Yes, contact with suspected COVID-19 case",58,1329,0.043642,0.033911,0.056004,15,640,0.023438,0.014254,0.038308,12,328,0.036585,0.02105,0.06285,3,312,0.009615,0.003275,0.027884
"covidcon_char","NA",364,23240,0.015663,0.014144,0.017341,109,22998,0.00474,0.003931,0.005714,45,6482,0.006942,0.005193,0.009276,64,16516,0.003875,0.003036,0.004945
"sympt_cat","Classic COVID symptoms",822,6475,0.12695,0.119061,0.135281,223,4968,0.044887,0.039473,0.051005,135,2783,0.048509,0.041131,0.057132,88,2185,0.040275,0.032806,0.049357
"sympt_cat","Other symptoms",350,19609,0.017849,0.016088,0.019799,105,17099,0.006141,0.005076,0.007428,58,9547,0.006075,0.004703,0.007845,47,7552,0.006224,0.004684,0.008265
"sympt_cat","No symptoms",747,118401,0.006309,0.005874,0.006776,256,120482,0.002125,0.00188,0.002401,151,68638,0.0022,0.001876,0.002579,105,51844,0.002025,0.001673,0.002451
"sympt_cat","NA",363,23157,0.015676,0.014154,0.017358,105,22907,0.004584,0.003788,0.005545,44,6441,0.006831,0.005093,0.009158,61,16466,0.003705,0.002885,0.004755
"imd_quintile","1",257,15190,0.016919,0.014987,0.019095,108,15718,0.006871,0.005695,0.008288,58,7721,0.007512,0.005816,0.009698,50,7997,0.006252,0.004746,0.008233
"imd_quintile","2",449,26012,0.017261,0.015748,0.018917,142,25369,0.005597,0.004751,0.006593,78,12698,0.006143,0.004925,0.007659,64,12671,0.005051,0.003958,0.006444
"imd_quintile","3",479,36061,0.013283,0.012152,0.014518,122,35741,0.003413,0.00286,0.004074,76,18587,0.004089,0.003268,0.005114,46,17154,0.002682,0.002011,0.003575
"imd_quintile","4",540,42002,0.012857,0.011823,0.013979,157,41455,0.003787,0.00324,0.004426,89,22255,0.003999,0.003251,0.004918,68,19200,0.003542,0.002795,0.004487
"imd_quintile","5",557,48377,0.011514,0.010601,0.012504,160,47173,0.003392,0.002906,0.003958,87,26148,0.003327,0.002698,0.004102,73,21025,0.003472,0.002763,0.004363
