Variable,Category,total,Number with 1 or more symptoms,Number with 2 or more symptoms,Number with 3 or more symptoms,Prevalence 1 or more symptoms (unweighted),Prevalence 2 or more symptoms (unweighted),Prevalence 3 or more symptoms (unweighted)
Stroke,1,3352,189,131,96,5.64 [4.91-6.47],3.91 [3.3-4.62],2.86 [2.35-3.48]
Kidney disease,1,3867,294,209,133,7.6 [6.81-8.48],5.4 [4.74-6.16],3.44 [2.91-4.06]
Liver disease,1,2107,153,110,80,7.26 [6.23-8.45],5.22 [4.35-6.25],3.8 [3.06-4.7]
Anemia,1,7575,737,521,368,9.73 [9.08-10.42],6.88 [6.33-7.47],4.86 [4.4-5.37]
Asthma,1,51337,4021,2714,1757,7.83 [7.6-8.07],5.29 [5.1-5.48],3.42 [3.27-3.58]
Other lung condition,1,12500,1020,736,551,8.16 [7.69-8.65],5.89 [5.49-6.31],4.41 [4.06-4.78]
Cancer,1,8042,349,227,157,4.34 [3.92-4.81],2.82 [2.48-3.21],1.95 [1.67-2.28]
Condition affecting the brain and nerves,1,5415,348,271,202,6.43 [5.8-7.11],5 [4.46-5.62],3.73 [3.26-4.27]
A weakened immune system/reduced ability to deal with infections,1,19302,1651,1225,875,8.55 [8.17-8.96],6.35 [6.01-6.7],4.53 [4.25-4.84]
Depression,1,38125,3630,2533,1756,9.52 [9.23-9.82],6.64 [6.4-6.9],4.61 [4.4-4.82]
Anxiety,1,57140,5074,3433,2246,8.88 [8.65-9.12],6.01 [5.82-6.21],3.93 [3.77-4.09]
Psychiatric disorder,1,3385,347,249,189,10.25 [9.27-11.32],7.36 [6.52-8.28],5.58 [4.86-6.41]
symptomatic,1,92116,24867,14810,8555,27 [26.71-27.28],16.08 [15.84-16.32],9.29 [9.1-9.48]
follow_up_84_days,1,76155,24867,14810,8555,32.65 [32.32-32.99],19.45 [19.17-19.73],11.23 [11.01-11.46]
