Variable,Category,total,Number with 1 or more symptoms,Number with 2 or more symptoms,Number with 3 or more symptoms,Prevalence 1 or more symptoms (unweighted),Prevalence 2 or more symptoms (unweighted),Prevalence 3 or more symptoms (unweighted)
Current vaper,Not current vaper,477729,26586,16493,10340,5.57 [5.5-5.63],3.45 [3.4-3.5],2.16 [2.12-2.21]
Current vaper,Prefer not to say,2542,141,94,67,5.55 [4.72-6.51],3.7 [3.03-4.5],2.64 [2.08-3.33]
Severity of COVID symptoms,Mild symptoms,27572,5441,2746,1351,19.73 [19.27-20.21],9.96 [9.61-10.32],4.9 [4.65-5.16]
Severity of COVID symptoms,Moderate symptoms,45357,14501,8841,5423,31.97 [31.54-32.4],19.49 [19.13-19.86],11.96 [11.66-12.26]
Severity of COVID symptoms,No symptoms,416589,0,0,0,0 [0-0],0 [0-0],0 [0-0]
Severity of COVID symptoms,Severe symptoms,19187,8771,6273,4467,45.71 [45.01-46.42],32.69 [32.03-33.36],23.28 [22.69-23.88]
Treatment sought/ received for COVID,Hospital admission,739,408,319,241,55.21 [51.61-58.76],43.17 [39.64-46.76],32.61 [29.33-36.07]
Treatment sought/ received for COVID,No medical attention sought,58330,15098,8544,4912,25.88 [25.53-26.24],14.65 [14.36-14.94],8.42 [8.2-8.65]
Treatment sought/ received for COVID,Sought medical attention from pharmacist / by phone (NHS 111/GP),21388,8717,5991,4120,40.76 [40.1-41.42],28.01 [27.41-28.62],19.26 [18.74-19.8]
Treatment sought/ received for COVID,Visited GP/walk-in centre/A&E,6792,2811,1911,1263,41.39 [40.22-42.56],28.14 [27.08-29.22],18.6 [17.69-19.54]
Hospitalised with COVID,No,507968,28305,17541,11000,5.57 [5.51-5.64],3.45 [3.4-3.5],2.17 [2.13-2.21]
Hospitalised with COVID,Yes,739,408,319,241,55.21 [51.61-58.76],43.17 [39.64-46.76],32.61 [29.33-36.07]
Gross household income,">150,000",16279,886,463,245,5.44 [5.1-5.8],2.84 [2.6-3.11],1.51 [1.33-1.7]
Gross household income,"0-14,999",32819,2316,1673,1209,7.06 [6.78-7.34],5.1 [4.86-5.34],3.68 [3.49-3.89]
Gross household income,"15,000-49,999",148039,8746,5548,3521,5.91 [5.79-6.03],3.75 [3.65-3.85],2.38 [2.3-2.46]
Gross household income,"50,000-149,999",128957,7100,4088,2325,5.51 [5.38-5.63],3.17 [3.08-3.27],1.8 [1.73-1.88]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3445,2288,1535,6.85 [6.64-7.08],4.55 [4.37-4.74],3.05 [2.91-3.21]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3445,2288,1535,6.85 [6.64-7.08],4.55 [4.37-4.74],3.05 [2.91-3.21]
Index of multiple deprivation (IMD) quintile,2,80894,5066,3223,2118,6.26 [6.1-6.43],3.98 [3.85-4.12],2.62 [2.51-2.73]
Index of multiple deprivation (IMD) quintile,2,80894,5066,3223,2118,6.26 [6.1-6.43],3.98 [3.85-4.12],2.62 [2.51-2.73]
Index of multiple deprivation (IMD) quintile,3,109928,6336,3937,2500,5.76 [5.63-5.9],3.58 [3.47-3.69],2.27 [2.19-2.36]
Index of multiple deprivation (IMD) quintile,3,109928,6336,3937,2500,5.76 [5.63-5.9],3.58 [3.47-3.69],2.27 [2.19-2.36]
Index of multiple deprivation (IMD) quintile,4,126237,6728,4122,2553,5.33 [5.21-5.45],3.27 [3.17-3.36],2.02 [1.95-2.1]
Index of multiple deprivation (IMD) quintile,4,126237,6728,4122,2553,5.33 [5.21-5.45],3.27 [3.17-3.36],2.02 [1.95-2.1]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,7138,4290,2535,5.05 [4.94-5.16],3.03 [2.95-3.12],1.79 [1.73-1.86]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,7138,4290,2535,5.05 [4.94-5.16],3.03 [2.95-3.12],1.79 [1.73-1.86]
Lateral flow test result (antibody),1,32647,6232,3954,2357,19.09 [18.67-19.52],12.11 [11.76-12.47],7.22 [6.94-7.51]
Organ transplant recipient,1,596,35,27,20,5.87 [4.25-8.06],4.53 [3.13-6.51],3.36 [2.18-5.13]
Diabetes (type I or II),1,27358,1596,1118,837,5.83 [5.56-6.12],4.09 [3.86-4.33],3.06 [2.86-3.27]
Heart disease or heart problems,1,21430,1521,1090,816,7.1 [6.76-7.45],5.09 [4.8-5.39],3.81 [3.56-4.07]
Hypertension (high blood pressure),1,65792,4009,2744,1905,6.09 [5.91-6.28],4.17 [4.02-4.33],2.9 [2.77-3.03]
Stroke,1,3352,211,149,110,6.29 [5.52-7.17],4.45 [3.8-5.2],3.28 [2.73-3.94]
Kidney disease,1,3867,325,238,166,8.4 [7.57-9.32],6.15 [5.44-6.96],4.29 [3.7-4.98]
Liver disease,1,2107,171,123,103,8.12 [7.02-9.36],5.84 [4.91-6.92],4.89 [4.05-5.89]
Anemia,1,7575,801,586,439,10.57 [9.9-11.29],7.74 [7.16-8.36],5.8 [5.29-6.34]
Asthma,1,51337,4419,3123,2192,8.61 [8.37-8.85],6.08 [5.88-6.29],4.27 [4.1-4.45]
Other lung condition,1,12500,1113,840,643,8.9 [8.42-9.42],6.72 [6.29-7.17],5.14 [4.77-5.55]
Cancer,1,8042,411,270,196,5.11 [4.65-5.61],3.36 [2.99-3.77],2.44 [2.12-2.8]
Condition affecting the brain and nerves,1,5415,378,295,229,6.98 [6.33-7.69],5.45 [4.87-6.08],4.23 [3.72-4.8]
A weakened immune system/reduced ability to deal with infections,1,19302,1815,1400,1055,9.4 [9-9.82],7.25 [6.9-7.63],5.47 [5.15-5.8]
Depression,1,38125,3931,2873,2146,10.31 [10.01-10.62],7.54 [7.28-7.81],5.63 [5.4-5.86]
Anxiety,1,57140,5553,3923,2809,9.72 [9.48-9.96],6.87 [6.66-7.08],4.92 [4.74-5.1]
Psychiatric disorder,1,3385,372,284,226,10.99 [9.98-12.09],8.39 [7.5-9.37],6.68 [5.88-7.57]
symptomatic,1,92116,28713,17860,11241,31.17 [30.87-31.47],19.39 [19.13-19.65],12.2 [11.99-12.42]
follow_up_84_days,1,76155,28713,17860,11241,37.7 [37.36-38.05],23.45 [23.15-23.75],14.76 [14.51-15.01]
