Variable,Category,total,Number with 1 or more symptoms (weighted),Number with 2 or more symptoms (weighted),Number with 3 or more symptoms (weighted),Prevalence 1 or more symptoms (weighted),Prevalence 2 or more symptoms (weighted),Prevalence 3 or more symptoms (weighted)
Healthcare or care home worker,Yes,27690,1935,1240,740,6.85 [6.56-7.15],4.41 [4.18-4.66],2.57 [2.39-2.76]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,2925,1890,1179,5.65 [5.51-5.8],3.61 [3.5-3.73],2.21 [2.12-2.31]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,2925,1890,1179,5.65 [5.51-5.8],3.61 [3.5-3.73],2.21 [2.12-2.31]
Index of multiple deprivation (IMD) quintile,2,80894,4175,2577,1621,5.12 [4.99-5.26],3.05 [2.95-3.15],1.85 [1.77-1.94]
Index of multiple deprivation (IMD) quintile,2,80894,4175,2577,1621,5.12 [4.99-5.26],3.05 [2.95-3.15],1.85 [1.77-1.94]
Index of multiple deprivation (IMD) quintile,3,109928,5136,3170,1893,4.45 [4.33-4.58],2.73 [2.63-2.83],1.58 [1.51-1.66]
Index of multiple deprivation (IMD) quintile,3,109928,5136,3170,1893,4.45 [4.33-4.58],2.73 [2.63-2.83],1.58 [1.51-1.66]
Index of multiple deprivation (IMD) quintile,4,126237,5407,3220,1838,4.18 [4.06-4.3],2.46 [2.36-2.56],1.38 [1.31-1.45]
Index of multiple deprivation (IMD) quintile,4,126237,5407,3220,1838,4.18 [4.06-4.3],2.46 [2.36-2.56],1.38 [1.31-1.45]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,5669,3278,1775,3.92 [3.8-4.05],2.25 [2.16-2.34],1.21 [1.15-1.28]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,5669,3278,1775,3.92 [3.8-4.05],2.25 [2.16-2.34],1.21 [1.15-1.28]
Current smoker,Current cigarette smoker,50983,2972,1948,1221,5.88 [5.69-6.07],3.76 [3.6-3.92],2.35 [2.22-2.47]
Current smoker,Not current cigarette smoker,453681,20128,12061,7008,4.5 [4.44-4.57],2.69 [2.65-2.74],1.56 [1.52-1.59]
Current smoker,Prefer not to say,4043,212,126,77,5.35 [4.73-6.04],3.39 [2.9-3.96],1.84 [1.49-2.28]
Current vaper,Current vaper,28436,1680,1046,641,6.11 [5.85-6.38],3.83 [3.62-4.05],2.22 [2.06-2.39]
Current vaper,Not current vaper,477729,21505,13006,7612,4.57 [4.51-4.63],2.75 [2.7-2.8],1.61 [1.57-1.65]
Current vaper,Prefer not to say,2542,127,83,53,5.09 [4.35-5.96],3.33 [2.73-4.05],1.77 [1.35-2.32]
Severity of COVID symptoms,Mild symptoms,27572,4088,1985,802,13.9 [13.52-14.29],6.67 [6.4-6.96],2.67 [2.5-2.86]
Severity of COVID symptoms,Moderate symptoms,45357,11772,6892,3951,25.23 [24.84-25.62],14.7 [14.38-15.02],8.52 [8.27-8.78]
Severity of COVID symptoms,No symptoms,416589,0,0,0,0 [0-0],0 [0-0],0 [0-0]
Severity of COVID symptoms,Severe symptoms,19187,7452,5258,3553,38.1 [37.42-38.77],27.01 [26.39-27.63],17.87 [17.35-18.41]
Treatment sought/ received for COVID,Hospital admission,739,367,278,203,47.97 [44.61-51.36],36.71 [33.52-40.03],26.34 [23.47-29.42]
Treatment sought/ received for COVID,No medical attention sought,58330,11985,6588,3433,19.54 [19.23-19.85],10.65 [10.41-10.89],5.6 [5.42-5.79]
Treatment sought/ received for COVID,Sought medical attention from pharmacist / by phone (NHS 111/GP),21388,7308,4904,3237,32.97 [32.37-33.58],21.92 [21.39-22.46],14.36 [13.91-14.81]
Treatment sought/ received for COVID,Visited GP/walk-in centre/A&E,6792,2258,1498,909,32.3 [31.2-33.42],22.02 [21.05-23.02],12.79 [12.02-13.61]
Hospitalised with COVID,No,507968,22945,13857,8103,4.59 [4.54-4.65],2.76 [2.72-2.81],1.61 [1.57-1.64]
Hospitalised with COVID,Yes,739,367,278,203,47.97 [44.61-51.36],36.71 [33.52-40.03],26.34 [23.47-29.42]
Gross household income,">150,000",16279,673,347,162,4.2 [3.88-4.54],2.1 [1.87-2.34],0.92 [0.78-1.09]
Gross household income,"0-14,999",32819,1967,1347,918,5.98 [5.74-6.22],4.07 [3.88-4.28],2.82 [2.66-2.99]
Gross household income,"15,000-49,999",148039,7175,4451,2635,5 [4.89-5.11],3.09 [3-3.18],1.81 [1.75-1.88]
Gross household income,"50,000-149,999",128957,5595,3160,1684,4.42 [4.31-4.54],2.45 [2.36-2.53],1.28 [1.22-1.34]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,2925,1890,1179,5.65 [5.51-5.8],3.61 [3.5-3.73],2.21 [2.12-2.31]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,2925,1890,1179,5.65 [5.51-5.8],3.61 [3.5-3.73],2.21 [2.12-2.31]
Index of multiple deprivation (IMD) quintile,2,80894,4175,2577,1621,5.12 [4.99-5.26],3.05 [2.95-3.15],1.85 [1.77-1.94]
Index of multiple deprivation (IMD) quintile,2,80894,4175,2577,1621,5.12 [4.99-5.26],3.05 [2.95-3.15],1.85 [1.77-1.94]
Index of multiple deprivation (IMD) quintile,3,109928,5136,3170,1893,4.45 [4.33-4.58],2.73 [2.63-2.83],1.58 [1.51-1.66]
Index of multiple deprivation (IMD) quintile,3,109928,5136,3170,1893,4.45 [4.33-4.58],2.73 [2.63-2.83],1.58 [1.51-1.66]
Index of multiple deprivation (IMD) quintile,4,126237,5407,3220,1838,4.18 [4.06-4.3],2.46 [2.36-2.56],1.38 [1.31-1.45]
Index of multiple deprivation (IMD) quintile,4,126237,5407,3220,1838,4.18 [4.06-4.3],2.46 [2.36-2.56],1.38 [1.31-1.45]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,5669,3278,1775,3.92 [3.8-4.05],2.25 [2.16-2.34],1.21 [1.15-1.28]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,5669,3278,1775,3.92 [3.8-4.05],2.25 [2.16-2.34],1.21 [1.15-1.28]
Lateral flow test result (antibody),1,32647,5243,3286,1840,14.87 [14.52-15.24],9.18 [8.89-9.48],5.16 [4.94-5.39]
Organ transplant recipient,1,596,31,23,16,4.55 [3.14-6.53],3.7 [2.45-5.53],2.86 [1.79-4.53]
Diabetes (type I or II),1,27358,1366,929,644,5.02 [4.77-5.28],3.37 [3.16-3.58],2.45 [2.28-2.64]
Heart disease or heart problems,1,21430,1290,893,629,6.15 [5.83-6.48],4.18 [3.92-4.45],2.94 [2.72-3.17]
Hypertension (high blood pressure),1,65792,3373,2231,1433,5.26 [5.08-5.43],3.52 [3.38-3.67],2.32 [2.2-2.44]
Stroke,1,3352,182,124,92,5.43 [4.73-6.23],3.43 [2.88-4.09],2.66 [2.18-3.25]
Kidney disease,1,3867,278,201,132,7.42 [6.64-8.27],4.87 [4.24-5.58],3.28 [2.77-3.88]
Liver disease,1,2107,155,111,81,7.64 [6.6-8.82],4.98 [4.15-5.98],3.57 [2.87-4.43]
Anemia,1,7575,719,510,362,9.8 [9.19-10.45],6.68 [6.17-7.23],4.7 [4.27-5.17]
Asthma,1,51337,3838,2635,1727,7.51 [7.28-7.74],5.13 [4.94-5.32],3.3 [3.15-3.46]
Other lung condition,1,12500,992,719,541,8.03 [7.58-8.51],5.82 [5.43-6.23],4.47 [4.13-4.84]
Cancer,1,8042,332,217,153,4.29 [3.87-4.77],2.83 [2.49-3.22],2.17 [1.87-2.51]
Condition affecting the brain and nerves,1,5415,336,266,200,6.38 [5.76-7.07],4.85 [4.31-5.45],3.53 [3.07-4.06]
A weakened immune system/reduced ability to deal with infections,1,19302,1597,1201,868,8.62 [8.23-9.04],6.52 [6.18-6.89],4.61 [4.31-4.92]
Depression,1,38125,3541,2487,1733,9.3 [9.02-9.58],6.61 [6.38-6.86],4.52 [4.32-4.72]
Anxiety,1,57140,4919,3358,2219,8.86 [8.64-9.09],6.08 [5.89-6.27],3.96 [3.81-4.11]
Psychiatric disorder,1,3385,334,244,186,9.53 [8.65-10.49],6.76 [6.02-7.59],5.19 [4.54-5.92]
symptomatic,1,92116,23312,14135,8306,24.26 [23.99-24.53],14.66 [14.44-14.88],8.57 [8.4-8.75]
