areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2022-08-23,64,175154
nation,England,E92000001,2022-08-22,55,175090
nation,England,E92000001,2022-08-21,48,175035
nation,England,E92000001,2022-08-20,65,174987
nation,England,E92000001,2022-08-19,52,174922
nation,England,E92000001,2022-08-18,51,174870
nation,England,E92000001,2022-08-17,50,174819
nation,England,E92000001,2022-08-16,60,174769
nation,England,E92000001,2022-08-15,69,174709
nation,England,E92000001,2022-08-14,68,174640
nation,England,E92000001,2022-08-13,76,174572
nation,England,E92000001,2022-08-12,92,174496
nation,England,E92000001,2022-08-11,86,174404
nation,England,E92000001,2022-08-10,61,174318
nation,England,E92000001,2022-08-09,74,174257
nation,England,E92000001,2022-08-08,79,174183
nation,England,E92000001,2022-08-07,87,174104
nation,England,E92000001,2022-08-06,56,174017
nation,England,E92000001,2022-08-05,65,173961
nation,England,E92000001,2022-08-04,69,173896
nation,England,E92000001,2022-08-03,97,173827
nation,England,E92000001,2022-08-02,86,173730
nation,England,E92000001,2022-08-01,75,173644
nation,England,E92000001,2022-07-31,78,173569
nation,England,E92000001,2022-07-30,63,173491
nation,England,E92000001,2022-07-29,100,173428
nation,England,E92000001,2022-07-28,103,173328
nation,England,E92000001,2022-07-27,98,173225
nation,England,E92000001,2022-07-26,94,173127
nation,England,E92000001,2022-07-25,92,173033
nation,England,E92000001,2022-07-24,106,172941
nation,England,E92000001,2022-07-23,99,172835
nation,England,E92000001,2022-07-22,88,172736
nation,England,E92000001,2022-07-21,101,172648
nation,England,E92000001,2022-07-20,170,172547
nation,England,E92000001,2022-07-19,187,172377
nation,England,E92000001,2022-07-18,99,172190
nation,England,E92000001,2022-07-17,133,172091
nation,England,E92000001,2022-07-16,95,171958
nation,England,E92000001,2022-07-15,90,171863
nation,England,E92000001,2022-07-14,99,171773
nation,England,E92000001,2022-07-13,109,171674
nation,England,E92000001,2022-07-12,116,171565
nation,England,E92000001,2022-07-11,99,171449
nation,England,E92000001,2022-07-10,86,171350
nation,England,E92000001,2022-07-09,86,171264
nation,England,E92000001,2022-07-08,84,171178
nation,England,E92000001,2022-07-07,82,171094
nation,England,E92000001,2022-07-06,88,171012
nation,England,E92000001,2022-07-05,83,170924
nation,England,E92000001,2022-07-04,71,170841
nation,England,E92000001,2022-07-03,52,170770
nation,England,E92000001,2022-07-02,67,170718
nation,England,E92000001,2022-07-01,62,170651
nation,England,E92000001,2022-06-30,53,170589
nation,England,E92000001,2022-06-29,66,170536
nation,England,E92000001,2022-06-28,49,170470
nation,England,E92000001,2022-06-27,45,170421
nation,England,E92000001,2022-06-26,57,170376
nation,England,E92000001,2022-06-25,56,170319
nation,England,E92000001,2022-06-24,36,170263
nation,England,E92000001,2022-06-23,44,170227
nation,England,E92000001,2022-06-22,56,170183
nation,England,E92000001,2022-06-21,39,170127
nation,England,E92000001,2022-06-20,41,170088
nation,England,E92000001,2022-06-19,35,170047
nation,England,E92000001,2022-06-18,35,170012
nation,England,E92000001,2022-06-17,35,169977
nation,England,E92000001,2022-06-16,41,169942
nation,England,E92000001,2022-06-15,38,169901
nation,England,E92000001,2022-06-14,26,169863
nation,England,E92000001,2022-06-13,26,169837
nation,England,E92000001,2022-06-12,34,169811
nation,England,E92000001,2022-06-11,27,169777
nation,England,E92000001,2022-06-10,31,169750
nation,England,E92000001,2022-06-09,18,169719
nation,England,E92000001,2022-06-08,31,169701
nation,England,E92000001,2022-06-07,26,169670
nation,England,E92000001,2022-06-06,37,169644
nation,England,E92000001,2022-06-05,23,169607
nation,England,E92000001,2022-06-04,32,169584
nation,England,E92000001,2022-06-03,22,169552
nation,England,E92000001,2022-06-02,37,169530
nation,England,E92000001,2022-06-01,23,169493
nation,England,E92000001,2022-05-31,42,169470
nation,England,E92000001,2022-05-30,42,169428
nation,England,E92000001,2022-05-29,22,169386
nation,England,E92000001,2022-05-28,30,169364
nation,England,E92000001,2022-05-27,39,169334
nation,England,E92000001,2022-05-26,40,169295
nation,England,E92000001,2022-05-25,26,169255
nation,England,E92000001,2022-05-24,39,169229
nation,England,E92000001,2022-05-23,51,169190
nation,England,E92000001,2022-05-22,43,169139
nation,England,E92000001,2022-05-21,36,169096
nation,England,E92000001,2022-05-20,55,169060
nation,England,E92000001,2022-05-19,27,169005
nation,England,E92000001,2022-05-18,38,168978
nation,England,E92000001,2022-05-17,55,168940
nation,England,E92000001,2022-05-16,52,168885
nation,England,E92000001,2022-05-15,61,168833
nation,England,E92000001,2022-05-14,54,168772
nation,England,E92000001,2022-05-13,66,168718
nation,England,E92000001,2022-05-12,55,168652
nation,England,E92000001,2022-05-11,57,168597
nation,England,E92000001,2022-05-10,86,168540
nation,England,E92000001,2022-05-09,72,168454
nation,England,E92000001,2022-05-08,72,168382
nation,England,E92000001,2022-05-07,83,168310
nation,England,E92000001,2022-05-06,89,168227
nation,England,E92000001,2022-05-05,70,168138
nation,England,E92000001,2022-05-04,79,168068
nation,England,E92000001,2022-05-03,84,167989
nation,England,E92000001,2022-05-02,90,167905
nation,England,E92000001,2022-05-01,100,167815
nation,England,E92000001,2022-04-30,91,167715
nation,England,E92000001,2022-04-29,81,167624
nation,England,E92000001,2022-04-28,110,167543
nation,England,E92000001,2022-04-27,115,167433
nation,England,E92000001,2022-04-26,95,167318
nation,England,E92000001,2022-04-25,106,167223
nation,England,E92000001,2022-04-24,105,167117
nation,England,E92000001,2022-04-23,123,167012
nation,England,E92000001,2022-04-22,123,166889
nation,England,E92000001,2022-04-21,132,166766
nation,England,E92000001,2022-04-20,134,166634
nation,England,E92000001,2022-04-19,128,166500
nation,England,E92000001,2022-04-18,144,166372
nation,England,E92000001,2022-04-17,135,166228
nation,England,E92000001,2022-04-16,140,166093
nation,England,E92000001,2022-04-15,143,165953
nation,England,E92000001,2022-04-14,161,165810
nation,England,E92000001,2022-04-13,183,165649
nation,England,E92000001,2022-04-12,159,165466
nation,England,E92000001,2022-04-11,159,165307
nation,England,E92000001,2022-04-10,160,165148
nation,England,E92000001,2022-04-09,148,164988
nation,England,E92000001,2022-04-08,194,164840
nation,England,E92000001,2022-04-07,188,164646
nation,England,E92000001,2022-04-06,163,164458
nation,England,E92000001,2022-04-05,160,164295
nation,England,E92000001,2022-04-04,140,164135
nation,England,E92000001,2022-04-03,154,163995
nation,England,E92000001,2022-04-02,169,163841
nation,England,E92000001,2022-04-01,162,163672
nation,England,E92000001,2022-03-31,153,163510
nation,England,E92000001,2022-03-30,148,163357
nation,England,E92000001,2022-03-29,154,163209
nation,England,E92000001,2022-03-28,135,163055
nation,England,E92000001,2022-03-27,125,162920
nation,England,E92000001,2022-03-26,127,162795
nation,England,E92000001,2022-03-25,137,162668
nation,England,E92000001,2022-03-24,117,162531
nation,England,E92000001,2022-03-23,122,162414
nation,England,E92000001,2022-03-22,123,162292
nation,England,E92000001,2022-03-21,121,162169
nation,England,E92000001,2022-03-20,127,162048
nation,England,E92000001,2022-03-19,121,161921
nation,England,E92000001,2022-03-18,121,161800
nation,England,E92000001,2022-03-17,105,161679
nation,England,E92000001,2022-03-16,107,161574
nation,England,E92000001,2022-03-15,99,161467
nation,England,E92000001,2022-03-14,114,161368
nation,England,E92000001,2022-03-13,80,161254
nation,England,E92000001,2022-03-12,99,161174
nation,England,E92000001,2022-03-11,97,161075
nation,England,E92000001,2022-03-10,91,160978
nation,England,E92000001,2022-03-09,88,160887
nation,England,E92000001,2022-03-08,100,160799
nation,England,E92000001,2022-03-07,91,160699
nation,England,E92000001,2022-03-06,63,160608
nation,England,E92000001,2022-03-05,81,160545
nation,England,E92000001,2022-03-04,85,160464
nation,England,E92000001,2022-03-03,81,160379
nation,England,E92000001,2022-03-02,107,160298
nation,England,E92000001,2022-03-01,82,160191
nation,England,E92000001,2022-02-28,82,160109
nation,England,E92000001,2022-02-27,92,160027
nation,England,E92000001,2022-02-26,81,159935
nation,England,E92000001,2022-02-25,90,159854
nation,England,E92000001,2022-02-24,95,159764
nation,England,E92000001,2022-02-23,90,159669
nation,England,E92000001,2022-02-22,92,159579
nation,England,E92000001,2022-02-21,94,159487
nation,England,E92000001,2022-02-20,105,159393
nation,England,E92000001,2022-02-19,97,159288
nation,England,E92000001,2022-02-18,101,159191
nation,England,E92000001,2022-02-17,104,159090
nation,England,E92000001,2022-02-16,109,158986
nation,England,E92000001,2022-02-15,103,158877
nation,England,E92000001,2022-02-14,130,158774
nation,England,E92000001,2022-02-13,110,158644
nation,England,E92000001,2022-02-12,127,158534
nation,England,E92000001,2022-02-11,120,158407
nation,England,E92000001,2022-02-10,106,158287
nation,England,E92000001,2022-02-09,118,158181
nation,England,E92000001,2022-02-08,135,158063
nation,England,E92000001,2022-02-07,124,157928
nation,England,E92000001,2022-02-06,132,157804
nation,England,E92000001,2022-02-05,152,157672
nation,England,E92000001,2022-02-04,143,157520
nation,England,E92000001,2022-02-03,163,157377
nation,England,E92000001,2022-02-02,163,157214
nation,England,E92000001,2022-02-01,168,157051
nation,England,E92000001,2022-01-31,177,156883
nation,England,E92000001,2022-01-30,169,156706
nation,England,E92000001,2022-01-29,160,156537
nation,England,E92000001,2022-01-28,163,156377
nation,England,E92000001,2022-01-27,179,156214
nation,England,E92000001,2022-01-26,175,156035
nation,England,E92000001,2022-01-25,156,155860
nation,England,E92000001,2022-01-24,202,155704
nation,England,E92000001,2022-01-23,181,155502
nation,England,E92000001,2022-01-22,194,155321
nation,England,E92000001,2022-01-21,213,155127
nation,England,E92000001,2022-01-20,166,154914
nation,England,E92000001,2022-01-19,180,154748
nation,England,E92000001,2022-01-18,201,154568
nation,England,E92000001,2022-01-17,197,154367
nation,England,E92000001,2022-01-16,210,154170
nation,England,E92000001,2022-01-15,210,153960
nation,England,E92000001,2022-01-14,202,153750
nation,England,E92000001,2022-01-13,190,153548
nation,England,E92000001,2022-01-12,198,153358
nation,England,E92000001,2022-01-11,202,153160
nation,England,E92000001,2022-01-10,200,152958
nation,England,E92000001,2022-01-09,199,152758
nation,England,E92000001,2022-01-08,188,152559
nation,England,E92000001,2022-01-07,205,152371
nation,England,E92000001,2022-01-06,182,152166
nation,England,E92000001,2022-01-05,159,151984
nation,England,E92000001,2022-01-04,156,151825
nation,England,E92000001,2022-01-03,153,151669
nation,England,E92000001,2022-01-02,143,151516
nation,England,E92000001,2022-01-01,152,151373
nation,England,E92000001,2021-12-31,133,151221
nation,England,E92000001,2021-12-30,156,151088
nation,England,E92000001,2021-12-29,107,150932
nation,England,E92000001,2021-12-28,136,150825
nation,England,E92000001,2021-12-27,115,150689
nation,England,E92000001,2021-12-26,101,150574
nation,England,E92000001,2021-12-25,97,150473
nation,England,E92000001,2021-12-24,104,150376
nation,England,E92000001,2021-12-23,124,150272
nation,England,E92000001,2021-12-22,123,150148
nation,England,E92000001,2021-12-21,92,150025
nation,England,E92000001,2021-12-20,111,149933
nation,England,E92000001,2021-12-19,102,149822
nation,England,E92000001,2021-12-18,92,149720
nation,England,E92000001,2021-12-17,114,149628
nation,England,E92000001,2021-12-16,98,149514
nation,England,E92000001,2021-12-15,99,149416
nation,England,E92000001,2021-12-14,124,149317
nation,England,E92000001,2021-12-13,95,149193
nation,England,E92000001,2021-12-12,121,149098
nation,England,E92000001,2021-12-11,86,148977
nation,England,E92000001,2021-12-10,98,148891
nation,England,E92000001,2021-12-09,107,148793
nation,England,E92000001,2021-12-08,111,148686
nation,England,E92000001,2021-12-07,99,148575
nation,England,E92000001,2021-12-06,111,148476
nation,England,E92000001,2021-12-05,95,148365
nation,England,E92000001,2021-12-04,129,148270
nation,England,E92000001,2021-12-03,123,148141
nation,England,E92000001,2021-12-02,94,148018
nation,England,E92000001,2021-12-01,107,147924
nation,England,E92000001,2021-11-30,109,147817
nation,England,E92000001,2021-11-29,117,147708
nation,England,E92000001,2021-11-28,104,147591
nation,England,E92000001,2021-11-27,97,147487
nation,England,E92000001,2021-11-26,102,147390
nation,England,E92000001,2021-11-25,112,147288
nation,England,E92000001,2021-11-24,105,147176
nation,England,E92000001,2021-11-23,119,147071
nation,England,E92000001,2021-11-22,100,146952
nation,England,E92000001,2021-11-21,98,146852
nation,England,E92000001,2021-11-20,105,146754
nation,England,E92000001,2021-11-19,107,146649
nation,England,E92000001,2021-11-18,106,146542
nation,England,E92000001,2021-11-17,95,146436
nation,England,E92000001,2021-11-16,134,146341
nation,England,E92000001,2021-11-15,136,146207
nation,England,E92000001,2021-11-14,108,146071
nation,England,E92000001,2021-11-13,117,145963
nation,England,E92000001,2021-11-12,107,145846
nation,England,E92000001,2021-11-11,128,145739
nation,England,E92000001,2021-11-10,129,145611
nation,England,E92000001,2021-11-09,131,145482
nation,England,E92000001,2021-11-08,128,145351
nation,England,E92000001,2021-11-07,123,145223
nation,England,E92000001,2021-11-06,135,145100
nation,England,E92000001,2021-11-05,131,144965
nation,England,E92000001,2021-11-04,131,144834
nation,England,E92000001,2021-11-03,135,144703
nation,England,E92000001,2021-11-02,132,144568
nation,England,E92000001,2021-11-01,146,144436
nation,England,E92000001,2021-10-31,151,144290
nation,England,E92000001,2021-10-30,124,144139
nation,England,E92000001,2021-10-29,132,144015
nation,England,E92000001,2021-10-28,157,143883
nation,England,E92000001,2021-10-27,140,143726
nation,England,E92000001,2021-10-26,132,143586
nation,England,E92000001,2021-10-25,123,143454
nation,England,E92000001,2021-10-24,120,143331
nation,England,E92000001,2021-10-23,131,143211
nation,England,E92000001,2021-10-22,115,143080
nation,England,E92000001,2021-10-21,115,142965
nation,England,E92000001,2021-10-20,116,142850
nation,England,E92000001,2021-10-19,109,142734
nation,England,E92000001,2021-10-18,97,142625
nation,England,E92000001,2021-10-17,109,142528
nation,England,E92000001,2021-10-16,105,142419
nation,England,E92000001,2021-10-15,108,142314
nation,England,E92000001,2021-10-14,114,142206
nation,England,E92000001,2021-10-13,99,142092
nation,England,E92000001,2021-10-12,96,141993
nation,England,E92000001,2021-10-11,97,141897
nation,England,E92000001,2021-10-10,82,141800
nation,England,E92000001,2021-10-09,94,141718
nation,England,E92000001,2021-10-08,95,141624
nation,England,E92000001,2021-10-07,95,141529
nation,England,E92000001,2021-10-06,79,141434
nation,England,E92000001,2021-10-05,96,141355
nation,England,E92000001,2021-10-04,84,141259
nation,England,E92000001,2021-10-03,78,141175
nation,England,E92000001,2021-10-02,73,141097
nation,England,E92000001,2021-10-01,102,141024
nation,England,E92000001,2021-09-30,95,140922
nation,England,E92000001,2021-09-29,93,140827
nation,England,E92000001,2021-09-28,88,140734
nation,England,E92000001,2021-09-27,84,140646
nation,England,E92000001,2021-09-26,76,140562
nation,England,E92000001,2021-09-25,89,140486
nation,England,E92000001,2021-09-24,100,140397
nation,England,E92000001,2021-09-23,109,140297
nation,England,E92000001,2021-09-22,114,140188
nation,England,E92000001,2021-09-21,99,140074
nation,England,E92000001,2021-09-20,116,139975
nation,England,E92000001,2021-09-19,102,139859
nation,England,E92000001,2021-09-18,102,139757
nation,England,E92000001,2021-09-17,130,139655
nation,England,E92000001,2021-09-16,118,139525
nation,England,E92000001,2021-09-15,122,139407
nation,England,E92000001,2021-09-14,126,139285
nation,England,E92000001,2021-09-13,78,139159
nation,England,E92000001,2021-09-12,102,139081
nation,England,E92000001,2021-09-11,109,138979
nation,England,E92000001,2021-09-10,111,138870
nation,England,E92000001,2021-09-09,137,138759
nation,England,E92000001,2021-09-08,116,138622
nation,England,E92000001,2021-09-07,129,138506
nation,England,E92000001,2021-09-06,129,138377
nation,England,E92000001,2021-09-05,122,138248
nation,England,E92000001,2021-09-04,119,138126
nation,England,E92000001,2021-09-03,124,138007
nation,England,E92000001,2021-09-02,105,137883
nation,England,E92000001,2021-09-01,102,137778
nation,England,E92000001,2021-08-31,102,137676
nation,England,E92000001,2021-08-30,93,137574
nation,England,E92000001,2021-08-29,114,137481
nation,England,E92000001,2021-08-28,105,137367
nation,England,E92000001,2021-08-27,114,137262
nation,England,E92000001,2021-08-26,108,137148
nation,England,E92000001,2021-08-25,86,137040
nation,England,E92000001,2021-08-24,104,136954
nation,England,E92000001,2021-08-23,97,136850
nation,England,E92000001,2021-08-22,110,136753
nation,England,E92000001,2021-08-21,97,136643
nation,England,E92000001,2021-08-20,108,136546
nation,England,E92000001,2021-08-19,99,136438
nation,England,E92000001,2021-08-18,89,136339
nation,England,E92000001,2021-08-17,89,136250
nation,England,E92000001,2021-08-16,78,136161
nation,England,E92000001,2021-08-15,75,136083
nation,England,E92000001,2021-08-14,86,136008
nation,England,E92000001,2021-08-13,81,135922
nation,England,E92000001,2021-08-12,91,135841
nation,England,E92000001,2021-08-11,78,135750
nation,England,E92000001,2021-08-10,73,135672
nation,England,E92000001,2021-08-09,74,135599
nation,England,E92000001,2021-08-08,67,135525
nation,England,E92000001,2021-08-07,90,135458
nation,England,E92000001,2021-08-06,85,135368
nation,England,E92000001,2021-08-05,89,135283
nation,England,E92000001,2021-08-04,79,135194
nation,England,E92000001,2021-08-03,70,135115
nation,England,E92000001,2021-08-02,76,135045
nation,England,E92000001,2021-08-01,74,134969
nation,England,E92000001,2021-07-31,73,134895
nation,England,E92000001,2021-07-30,90,134822
nation,England,E92000001,2021-07-29,73,134732
nation,England,E92000001,2021-07-28,70,134659
nation,England,E92000001,2021-07-27,61,134589
nation,England,E92000001,2021-07-26,70,134528
nation,England,E92000001,2021-07-25,62,134458
nation,England,E92000001,2021-07-24,60,134396
nation,England,E92000001,2021-07-23,68,134336
nation,England,E92000001,2021-07-22,74,134268
nation,England,E92000001,2021-07-21,48,134194
nation,England,E92000001,2021-07-20,54,134146
nation,England,E92000001,2021-07-19,76,134092
nation,England,E92000001,2021-07-18,60,134016
nation,England,E92000001,2021-07-17,49,133956
nation,England,E92000001,2021-07-16,44,133907
nation,England,E92000001,2021-07-15,45,133863
nation,England,E92000001,2021-07-14,38,133818
nation,England,E92000001,2021-07-13,40,133780
nation,England,E92000001,2021-07-12,34,133740
nation,England,E92000001,2021-07-11,28,133706
nation,England,E92000001,2021-07-10,34,133678
nation,England,E92000001,2021-07-09,43,133644
nation,England,E92000001,2021-07-08,30,133601
nation,England,E92000001,2021-07-07,28,133571
nation,England,E92000001,2021-07-06,22,133543
nation,England,E92000001,2021-07-05,21,133521
nation,England,E92000001,2021-07-04,24,133500
nation,England,E92000001,2021-07-03,27,133476
nation,England,E92000001,2021-07-02,26,133449
nation,England,E92000001,2021-07-01,25,133423
nation,England,E92000001,2021-06-30,23,133398
nation,England,E92000001,2021-06-29,21,133375
nation,England,E92000001,2021-06-28,13,133354
nation,England,E92000001,2021-06-27,20,133341
nation,England,E92000001,2021-06-26,10,133321
nation,England,E92000001,2021-06-25,21,133311
nation,England,E92000001,2021-06-24,23,133290
nation,England,E92000001,2021-06-23,6,133267
nation,England,E92000001,2021-06-22,13,133261
nation,England,E92000001,2021-06-21,12,133248
nation,England,E92000001,2021-06-20,20,133236
nation,England,E92000001,2021-06-19,17,133216
nation,England,E92000001,2021-06-18,14,133199
nation,England,E92000001,2021-06-17,7,133185
nation,England,E92000001,2021-06-16,15,133178
nation,England,E92000001,2021-06-15,15,133163
nation,England,E92000001,2021-06-14,12,133148
nation,England,E92000001,2021-06-13,9,133136
nation,England,E92000001,2021-06-12,11,133127
nation,England,E92000001,2021-06-11,11,133116
nation,England,E92000001,2021-06-10,16,133105
nation,England,E92000001,2021-06-09,14,133089
nation,England,E92000001,2021-06-08,13,133075
nation,England,E92000001,2021-06-07,5,133062
nation,England,E92000001,2021-06-06,12,133057
nation,England,E92000001,2021-06-05,5,133045
nation,England,E92000001,2021-06-04,13,133040
nation,England,E92000001,2021-06-03,14,133027
nation,England,E92000001,2021-06-02,10,133013
nation,England,E92000001,2021-06-01,9,133003
nation,England,E92000001,2021-05-31,10,132994
nation,England,E92000001,2021-05-30,8,132984
nation,England,E92000001,2021-05-29,9,132976
nation,England,E92000001,2021-05-28,12,132967
nation,England,E92000001,2021-05-27,8,132955
nation,England,E92000001,2021-05-26,12,132947
nation,England,E92000001,2021-05-25,8,132935
nation,England,E92000001,2021-05-24,13,132927
nation,England,E92000001,2021-05-23,14,132914
nation,England,E92000001,2021-05-22,3,132900
nation,England,E92000001,2021-05-21,16,132897
nation,England,E92000001,2021-05-20,6,132881
nation,England,E92000001,2021-05-19,3,132875
nation,England,E92000001,2021-05-18,9,132872
nation,England,E92000001,2021-05-17,11,132863
nation,England,E92000001,2021-05-16,10,132852
nation,England,E92000001,2021-05-15,13,132842
nation,England,E92000001,2021-05-14,9,132829
nation,England,E92000001,2021-05-13,10,132820
nation,England,E92000001,2021-05-12,13,132810
nation,England,E92000001,2021-05-11,19,132797
nation,England,E92000001,2021-05-10,7,132778
nation,England,E92000001,2021-05-09,11,132771
nation,England,E92000001,2021-05-08,17,132760
nation,England,E92000001,2021-05-07,16,132743
nation,England,E92000001,2021-05-06,14,132727
nation,England,E92000001,2021-05-05,20,132713
nation,England,E92000001,2021-05-04,14,132693
nation,England,E92000001,2021-05-03,17,132679
nation,England,E92000001,2021-05-02,16,132662
nation,England,E92000001,2021-05-01,14,132646
nation,England,E92000001,2021-04-30,16,132632
