"level","prevalence_13","lower_13","upper_13","prevalence_13a","lower_13a","upper_13a","prevalence_13b","lower_13b","upper_13b"
"Yorkshire and The Humber",0.00876484509738483,0.00667384931685817,0.0115033876513884,0.00790302037278581,0.00519253891430606,0.0120112777337,0.00968666805499475,0.00678925565853095,0.0138034080635278
"East Midlands",0.00649435777075847,0.00474226359347035,0.00888800618363553,0.00506497362117881,0.00307293749890371,0.00833755020327019,0.0080001132056281,0.00533745354166372,0.0119750841463405
"West Midlands",0.00556563890142941,0.00402484441500618,0.00769172640510342,0.00540809312344493,0.00322212760353072,0.00906358313157167,0.00572139189318134,0.00383840669705263,0.0085202017042212
"East of England",0.00414473591184935,0.00298356279318025,0.00575521745501182,0.00446731887036413,0.00283566419452963,0.00703121530131727,0.00382041440691773,0.0023737768955052,0.00614323922002653
"London",0.00939902628975233,0.00760732290581444,0.0116077820447426,0.0114418654342462,0.00854746022468409,0.0153012694321784,0.00773755733360695,0.00569294315791367,0.010508731442676
"South West",0.00426079122874242,0.00299901461238707,0.00605021410000738,0.00349091309090639,0.00208007428846397,0.005853059996023,0.00504841772780931,0.00313934879812769,0.00810896674215441
"HCW/CHW",0.00637969217930155,0.00456453028339235,0.00891022244254839,0.00764041403753228,0.0046170551260052,0.0126184437200609,0.0054099373087776,0.00350363979437973,0.00834474780966769
"Key worker (other)",0.00669401459043457,0.0052790901719605,0.00848493827263366,0.00498058345641846,0.00337860985522839,0.00733654398860401,0.0081049769036062,0.00601090161971499,0.0109205701267134
"Other worker",0.00645133069570062,0.00553080945038283,0.00752389993075319,0.00680404009440479,0.00540670504749768,0.00855940128602012,0.00617484399359778,0.00501894620697005,0.0075949209285788
"Not FT, PT, SE",0.00543754385802313,0.00453785221469659,0.00651444443029872,0.00508802372363591,0.00397130467521286,0.00651670632028721,0.00596853766608069,0.00458648030385164,0.00776380615919973
"NA",0.012684101187926,0.00864315205413087,0.0185789162079557,0.0138183328945231,0.00815269532788002,0.02332864463551,0.0117962334728181,0.00676859967902427,0.0204813246688772
"White",0.00585735206606404,0.0052626871544304,0.00651877164913627,0.00546468469626188,0.00468017541647873,0.00637985357336904,0.00626402582700711,0.00540174471348611,0.00726294782576212
"Asian / Asian British",0.0082732598284222,0.00589811125402504,0.011593717581644,0.00684903535675468,0.00368276963918979,0.0127027945341171,0.00933714760220178,0.00626474129441626,0.0138952795250707
"Black / African / Caribbean / Black British",0.0120745610006085,0.00754385332077682,0.0192734902102509,0.0212703818059189,0.0111789095494626,0.0401022164346057,0.00704463889283926,0.00366763695051672,0.0134889417139401
"Mixed",0.00983732242256118,0.00616930517761409,0.0156518468452046,0.0125253739036174,0.00700823591644012,0.022288315533076,0.00760716717130387,0.00352105895171644,0.0163572727780224
"Other",0.00863613314979451,0.00396447234422238,0.0187093874514516,0.0135998458845255,0.00537566382857894,0.0339763293879449,0.00507253754611913,0.00122409465668199,0.020768546946961
"NA",0.00402109704892048,0.00210798926209802,0.00765712502942196,0.00317573631436438,0.00113153118368017,0.00888013618985612,0.00475553733573353,0.00207792717366584,0.0108460066503593
"1",0.00442493971885291,0.00321301139575302,0.00609120656097718,0.00493300692968042,0.00313740745141522,0.00774827538496618,0.00392623230705697,0.00251227289203787,0.00613110601961874
"2",0.0043933568071513,0.003623112021569,0.00532647413449122,0.00340064440116031,0.00253078281836945,0.00456811899473112,0.00543100984791807,0.00421441888804748,0.00699633085870512
"3",0.00611168766915849,0.00492904854253868,0.00757592005985784,0.00606718082144344,0.00449767334382917,0.00817988309172721,0.00615232864415393,0.00452432155698625,0.00836122850517625
"4",0.00806719661410589,0.00671607491027024,0.00968748230421137,0.00842134680594225,0.00643507078209822,0.0110139188611951,0.007726582585779,0.00602953666334898,0.00989651564874467
"5",0.0101032989436434,0.00761648145940651,0.0133911177129422,0.0113832598770011,0.00769714501211131,0.016804737427599,0.00883867856829012,0.00588968708402005,0.0132445702526306
"6+",0.0134883117436343,0.00902506941000159,0.0201139974444772,0.00995612577639502,0.00508164131038965,0.0194151383232772,0.016878716224968,0.0102172678893618,0.0277614754975217
"No",0.00389240217664401,0.0033713328300063,0.0044936442817676,0.00334356600630769,0.00268432247333573,0.00416403736121952,0.00454852446602989,0.0037654418424107,0.00549356335774119
"Yes, contact with confirmed/tested COVID-19 case",0.0558757168886784,0.047480275287118,0.0656533177537865,0.062990170166678,0.0509301953335967,0.0776721630986354,0.0482434058328336,0.0373985135268545,0.0620304669395074
"Yes, contact with suspected COVID-19 case",0.0250885919959189,0.0160231987121535,0.0390791864537135,0.0248899461532393,0.0139480674145998,0.0440321298035367,0.0253010002885198,0.012635015523343,0.0500207723449774
"NA",0.00661461315473332,0.00519981925062237,0.00841109682357897,0.00785275388198438,0.00502914158519035,0.0122421778889881,0.00615200173177785,0.00462635737485604,0.00817662837977825
"Classic COVID symptoms",0.0646310308099467,0.0547913426593499,0.0760955168701255,0.0720607609400582,0.0578764918115133,0.089391448503106,0.0565988515248047,0.0439777243324287,0.0725671659753432
"Other symptoms",0.00727473687514268,0.00554859263335954,0.00953272985521224,0.00690236681415688,0.0047734526894048,0.00997124336515058,0.00768812214303708,0.00516837415997735,0.0114222233753161
"No symptoms",0.00336010942150665,0.00287198813520352,0.00393086444591235,0.00279822394357243,0.00220123357508013,0.003556545287536,0.00403710817230946,0.00328249087433723,0.00496434164725691
"NA",0.00659256823240756,0.00517512007951097,0.00839497454137596,0.00771248319901144,0.00489700198341606,0.0121269696313375,0.00617543070278362,0.00464398705447682,0.00820773278393696
"1",0.00823509761926904,0.00649882119413189,0.0104303813074016,0.00791929546551382,0.00559044598080938,0.0112073554825233,0.00855563701197275,0.00619725118160206,0.0118008576800907
"2",0.00680303664267499,0.00547791255484524,0.00844599008115433,0.00728983775984061,0.00537321460610972,0.0098833261792826,0.0063119095483922,0.00464690591381168,0.00856835461688791
"3",0.00596091990038088,0.00483352786847412,0.00734932756494068,0.00509607964106251,0.00374001152149274,0.00694041095348101,0.00678252025436267,0.00510807230680443,0.00900089352285094
"4",0.00590903139739578,0.00484363649638946,0.007207070919113,0.00563149520687823,0.00422469464523726,0.00750322292826514,0.00617742200709328,0.00469052072454372,0.00813182197087607
"5",0.0047997914912015,0.00393392618347989,0.00585511528043126,0.0044756075461521,0.0033028989040774,0.00606215900154631,0.00512003734145044,0.0039401245458263,0.006650928431727
"NA",0.00522330888502714,0.00389696015876392,0.00699791522011582,0.00531360158449427,0.00295209193703171,0.0095461011273541,0.00518694954654596,0.00370850642553165,0.00725050341409901
"Not vaccinated",0.0120602005912488,0.0102872849252946,0.0141342978464484,0.0120302722747728,0.00956551903641265,0.0151204243705502,0.0120924857383008,0.00970805177855361,0.0150536675759833
"One does",0.00802972817948792,0.00625572574249432,0.0103015882140494,0.0081228421664617,0.00594743418533287,0.0110850813822583,0.00791809263188903,0.00528525863330057,0.0118468439881386
"Two does",0.0040494473057757,0.00343499177719973,0.00477329092796148,0.00361119233212348,0.00281717943960669,0.00462795656823793,0.00455066516636974,0.00365726517945829,0.00566106568663328
"Unknown does",0.00439103847698761,0.00224488554322265,0.00857132820747826,0.00202773332527642,0.000630584578974898,0.0065003264770205,0.00763076033215295,0.00339297396937012,0.0170708316121043
