"Variable","Category","Positive_r12","Total_r12","Prevalence_r12","Lower_r12","Upper_r12","Positive_r13","Total_r13","Prevalence_r13","Lower_r13","Upper_r13","Positive_r13a","Total_r13a","Prevalence_r13a","Lower_r13a","Upper_r13a","Positive_r13b","Total_r13b","Prevalence_r13b","Lower_r13b","Upper_r13b"
"work_new_alt","HCW/CHW",6,7955,0.000754,0.000277,0.001641,42,7415,0.005664,0.004085,0.007649,19,3165,0.006003,0.003618,0.009359,23,4250,0.005412,0.003434,0.008109
"work_new_alt","Key worker (other)",17,16663,0.00102,0.000594,0.001633,89,14327,0.006212,0.004992,0.007639,31,6389,0.004852,0.003299,0.00688,58,7938,0.007307,0.005553,0.009435
"work_new_alt","Other worker",73,41503,0.001759,0.001379,0.002211,209,37818,0.005526,0.004804,0.006326,94,16472,0.005707,0.004614,0.006979,115,21346,0.005387,0.00445,0.006463
"work_new_alt","Not FT, PT, SE",36,40639,0.000886,0.000621,0.001226,157,36633,0.004286,0.003643,0.005009,88,21852,0.004027,0.003231,0.004959,69,14781,0.004668,0.003634,0.005904
"work_new_alt","NA",3,2151,0.001395,0.000288,0.00407,30,2040,0.014706,0.009943,0.020927,15,888,0.016892,0.009484,0.027708,15,1152,0.013021,0.007305,0.021385
"ethnic_new_char","White",104,95019,0.001095,0.000894,0.001326,427,85518,0.004993,0.004532,0.005489,202,43359,0.004659,0.00404,0.005346,225,42159,0.005337,0.004664,0.006079
"ethnic_new_char","Asian / Asian British",15,6386,0.002349,0.001315,0.003871,43,5772,0.00745,0.005397,0.010022,13,2478,0.005246,0.002796,0.008954,30,3294,0.009107,0.006153,0.012976
"ethnic_new_char","Black / African / Caribbean / Black British",4,2289,0.001747,0.000476,0.004468,21,2036,0.010314,0.006396,0.015724,11,712,0.015449,0.007737,0.027475,10,1324,0.007553,0.003628,0.013846
"ethnic_new_char","Mixed",3,1998,0.001502,0.00031,0.004382,19,1823,0.010422,0.006286,0.016228,12,825,0.014545,0.007538,0.02527,7,998,0.007014,0.002825,0.014398
"ethnic_new_char","Other",3,1257,0.002387,0.000492,0.006959,7,1063,0.006585,0.002652,0.013521,5,442,0.011312,0.003683,0.0262,2,621,0.003221,0.00039,0.011585
"ethnic_new_char","NA",6,1962,0.003058,0.001123,0.006644,10,2021,0.004948,0.002375,0.009081,4,950,0.004211,0.001148,0.010745,6,1071,0.005602,0.002059,0.012154
"hh_size_cat","1",10,16885,0.000592,0.000284,0.001089,58,15556,0.003728,0.002832,0.004817,32,7717,0.004147,0.002838,0.005849,26,7839,0.003317,0.002168,0.004856
"hh_size_cat","2",37,41682,0.000888,0.000625,0.001223,136,37287,0.003647,0.003061,0.004313,55,19226,0.002861,0.002156,0.003722,81,18061,0.004485,0.003563,0.005571
"hh_size_cat","3",29,19196,0.001511,0.001012,0.002169,98,17202,0.005697,0.004627,0.006939,48,8101,0.005925,0.004372,0.007848,50,9101,0.005494,0.00408,0.007237
"hh_size_cat","4",34,20955,0.001623,0.001124,0.002267,148,19328,0.007657,0.006477,0.008989,71,9347,0.007596,0.005937,0.009572,77,9981,0.007715,0.006093,0.009633
"hh_size_cat","5",15,7050,0.002128,0.001191,0.003507,59,6287,0.009384,0.007151,0.012089,31,3107,0.009977,0.006789,0.014133,28,3180,0.008805,0.005859,0.012701
"hh_size_cat","6+",10,3143,0.003182,0.001527,0.005843,28,2573,0.010882,0.007243,0.01569,10,1268,0.007886,0.003788,0.014455,18,1305,0.013793,0.008195,0.021712
"covidcon_char","No",70,90682,0.000772,0.000602,0.000975,248,78814,0.003147,0.002768,0.003563,112,42632,0.002627,0.002164,0.00316,136,36182,0.003759,0.003155,0.004445
"covidcon_char","Yes, contact with confirmed/tested COVID-19 case",21,438,0.047945,0.02992,0.072358,165,2843,0.058037,0.049725,0.067273,97,1465,0.066212,0.054018,0.080178,68,1378,0.049347,0.03852,0.062142
"covidcon_char","Yes, contact with suspected COVID-19 case",3,229,0.0131,0.00271,0.037806,24,1075,0.022326,0.014356,0.033037,13,536,0.024254,0.012976,0.041118,11,539,0.020408,0.010231,0.036222
"covidcon_char","NA",41,17562,0.002335,0.001676,0.003166,90,15501,0.005806,0.004671,0.007132,25,4133,0.006049,0.003918,0.008916,65,11368,0.005718,0.004416,0.007282
"sympt_cat","Classic COVID symptoms",32,2640,0.012121,0.008305,0.017069,174,2936,0.059264,0.050996,0.068424,101,1508,0.066976,0.054881,0.080789,73,1428,0.05112,0.040281,0.06385
"sympt_cat","Other symptoms",9,10841,0.00083,0.00038,0.001575,62,9859,0.006289,0.004825,0.008055,32,5144,0.006221,0.004259,0.008771,30,4715,0.006363,0.004297,0.009071
"sympt_cat","No symptoms",53,77932,0.00068,0.000509,0.000889,202,70011,0.002885,0.002502,0.003311,90,38012,0.002368,0.001904,0.002909,112,31999,0.0035,0.002883,0.00421
"sympt_cat","NA",41,17498,0.002343,0.001682,0.003177,89,15427,0.005769,0.004636,0.007095,24,4102,0.005851,0.003752,0.008693,65,11325,0.00574,0.004432,0.00731
"imd_quintile","1",27,12916,0.00209,0.001378,0.00304,84,11541,0.007278,0.00581,0.009003,40,5810,0.006885,0.004923,0.009363,44,5731,0.007678,0.005584,0.010293
"imd_quintile","2",24,18796,0.001277,0.000818,0.001899,102,16794,0.006074,0.004955,0.007368,53,8507,0.00623,0.00467,0.008141,49,8287,0.005913,0.004377,0.00781
"imd_quintile","3",24,22762,0.001054,0.000676,0.001568,110,20556,0.005351,0.0044,0.006446,48,9979,0.00481,0.003549,0.006372,62,10577,0.005862,0.004497,0.007508
"imd_quintile","4",34,25891,0.001313,0.00091,0.001835,118,23284,0.005068,0.004197,0.006066,56,11491,0.004873,0.003683,0.006324,62,11793,0.005257,0.004033,0.006735
"imd_quintile","5",26,28546,0.000911,0.000595,0.001334,113,26058,0.004336,0.003575,0.005211,50,12979,0.003852,0.002861,0.005076,63,13079,0.004817,0.003703,0.006159
"vax_status_cat","NA",33,16174,0.00204,0.001405,0.002864,64,14136,0.004527,0.003488,0.005778,15,3924,0.003823,0.002141,0.006297,49,10212,0.004798,0.003552,0.006339
"vax_status_cat","Not vaccinated",51,22760,0.002241,0.001669,0.002945,178,15135,0.011761,0.010105,0.013608,89,7902,0.011263,0.009055,0.013842,89,7233,0.012305,0.009893,0.01512
"vax_status_cat","One does",20,18674,0.001071,0.000654,0.001654,77,9675,0.007959,0.006286,0.009937,47,5246,0.008959,0.00659,0.011896,30,4429,0.006774,0.004575,0.009656
"vax_status_cat","Two does",30,48413,0.00062,0.000418,0.000884,197,55962,0.00352,0.003047,0.004047,93,29776,0.003123,0.002522,0.003825,104,26186,0.003972,0.003246,0.00481
"vax_status_cat","Unknown does",1,2890,0.000346,9e-06,0.001926,11,3325,0.003308,0.001653,0.005912,3,1918,0.001564,0.000323,0.004564,8,1407,0.005686,0.002458,0.011173
