"Variable","Category","Positive_r11","Total_r11","Prevalence_r11","Lower_r11","Upper_r11","Positive_r12","Total_r12","Prevalence_r12","Lower_r12","Upper_r12"
"imd_quintile","2",25,19323,0.001294,0.000837,0.001909,24,18796,0.001277,0.000818,0.001899
"imd_quintile","3",14,27056,0.000517,0.000283,0.000868,24,22762,0.001054,0.000676,0.001568
"imd_quintile","4",34,32105,0.001059,0.000734,0.00148,34,25891,0.001313,0.00091,0.001835
"imd_quintile","5",28,37325,0.00075,0.000499,0.001084,26,28546,0.000911,0.000595,0.001334
"vax_status_char","Not vaccinated",27,22931,0.001177,0.000776,0.001713,17,11452,0.001484,0.000865,0.002376
"vax_status_char","Vaccinated 12 or more",23,22244,0.001034,0.000656,0.001551,20,23100,0.000866,0.000529,0.001337
"vax_status_char","Vaccinated 11 or less",1,2150,0.000465,1.2e-05,0.002589,3,2241,0.001339,0.000276,0.003907
"vax_status_char","NA",64,80083,0.000799,0.000616,0.00102,95,72118,0.001317,0.001066,0.00161
"vax_type_char","pfizer",2,804,0.002488,0.000301,0.008957,4,3067,0.001304,0.000355,0.003336
"vax_type_char","oxford",8,5354,0.001494,0.000645,0.002942,4,2184,0.001832,0.000499,0.004683
"vax_type_char","moderna",0,223,0,0,0.016406,0,326,0,0,0.011252
"vax_type_char","other",0,28,0,0,0.123436,0,17,0,0,0.195064
"vax_type_char","NA",105,120999,0.000868,0.00071,0.00105,127,103317,0.001229,0.001025,0.001462
