Variable,Category,total,Number with 1 or more symptoms (weighted),Number with 2 or more symptoms (weighted),Number with 3 or more symptoms (weighted),Prevalence 1 or more symptoms (weighted),Prevalence 2 or more symptoms (weighted),Prevalence 3 or more symptoms (weighted)
Treatment sought/ received for COVID,Visited GP/walk-in centre/A&E,6792,2567,1796,1194,36.78 [35.64-37.94],26.08 [25.05-27.14],17.1 [16.22-18.02]
Hospitalised with COVID,No,507968,26652,16859,10735,5.36 [5.3-5.42],3.35 [3.3-3.4],2.13 [2.09-2.17]
Hospitalised with COVID,Yes,739,387,308,235,50.66 [47.28-54.03],40.17 [36.9-43.52],30.27 [27.26-33.47]
Gross household income,">150,000",16279,802,426,227,5.08 [4.73-5.45],2.53 [2.28-2.8],1.32 [1.15-1.52]
Gross household income,"0-14,999",32819,2218,1630,1190,6.8 [6.55-7.06],4.96 [4.74-5.18],3.66 [3.47-3.85]
Gross household income,"15,000-49,999",148039,8310,5367,3454,5.78 [5.67-5.91],3.7 [3.61-3.8],2.35 [2.27-2.43]
Gross household income,"50,000-149,999",128957,6544,3873,2256,5.21 [5.09-5.34],2.98 [2.89-3.08],1.72 [1.65-1.79]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3306,2221,1509,6.49 [6.34-6.65],4.25 [4.12-4.37],2.84 [2.74-2.94]
Index of multiple deprivation (IMD) quintile,1 - most deprived,50260,3306,2221,1509,6.49 [6.34-6.65],4.25 [4.12-4.37],2.84 [2.74-2.94]
Index of multiple deprivation (IMD) quintile,2,80894,4797,3112,2071,5.9 [5.76-6.05],3.68 [3.56-3.79],2.42 [2.33-2.51]
Index of multiple deprivation (IMD) quintile,2,80894,4797,3112,2071,5.9 [5.76-6.05],3.68 [3.56-3.79],2.42 [2.33-2.51]
Index of multiple deprivation (IMD) quintile,3,109928,5960,3808,2452,5.23 [5.1-5.37],3.28 [3.18-3.39],2.07 [1.98-2.15]
Index of multiple deprivation (IMD) quintile,3,109928,5960,3808,2452,5.23 [5.1-5.37],3.28 [3.18-3.39],2.07 [1.98-2.15]
Index of multiple deprivation (IMD) quintile,4,126237,6315,3949,2483,4.92 [4.79-5.06],3.03 [2.92-3.13],1.88 [1.8-1.96]
Index of multiple deprivation (IMD) quintile,4,126237,6315,3949,2483,4.92 [4.79-5.06],3.03 [2.92-3.13],1.88 [1.8-1.96]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6661,4077,2455,4.62 [4.49-4.75],2.82 [2.71-2.92],1.67 [1.6-1.76]
Index of multiple deprivation (IMD) quintile,5 - least deprived,141388,6661,4077,2455,4.62 [4.49-4.75],2.82 [2.71-2.92],1.67 [1.6-1.76]
Lateral flow test result (antibody),1,32647,5824,3776,2309,16.57 [16.2-16.95],10.5 [10.2-10.82],6.44 [6.2-6.69]
Organ transplant recipient,1,596,35,27,20,5.55 [3.98-7.69],4.2 [2.86-6.13],3.53 [2.32-5.34]
Diabetes (type I or II),1,27358,1542,1093,825,5.7 [5.43-5.97],3.94 [3.72-4.17],3.07 [2.88-3.28]
Heart disease or heart problems,1,21430,1461,1068,800,6.85 [6.52-7.19],5 [4.72-5.3],3.78 [3.54-4.05]
Hypertension (high blood pressure),1,65792,3853,2680,1875,5.93 [5.75-6.12],4.17 [4.02-4.33],2.97 [2.84-3.11]
Stroke,1,3352,202,143,107,5.92 [5.18-6.75],4 [3.4-4.71],3.09 [2.56-3.71]
Kidney disease,1,3867,308,230,165,8.02 [7.22-8.91],5.93 [5.24-6.71],4.09 [3.51-4.75]
Liver disease,1,2107,171,126,104,8.37 [7.28-9.6],5.81 [4.9-6.87],4.76 [3.94-5.73]
Anemia,1,7575,780,573,433,10.74 [10.11-11.42],7.66 [7.11-8.24],5.73 [5.26-6.24]
Asthma,1,51337,4234,3042,2156,8.37 [8.14-8.61],5.91 [5.71-6.11],4.17 [4-4.35]
Other lung condition,1,12500,1087,823,633,8.81 [8.34-9.31],6.61 [6.2-7.05],5.25 [4.88-5.65]
Cancer,1,8042,391,261,192,5.02 [4.56-5.53],3.42 [3.04-3.85],2.64 [2.31-3.02]
Condition affecting the brain and nerves,1,5415,363,289,228,6.88 [6.24-7.59],5.27 [4.71-5.9],4.05 [3.56-4.61]
A weakened immune system/reduced ability to deal with infections,1,19302,1754,1374,1046,9.43 [9.02-9.86],7.38 [7.01-7.76],5.57 [5.25-5.91]
Depression,1,38125,3841,2828,2127,10.11 [9.82-10.4],7.43 [7.18-7.68],5.53 [5.31-5.75]
Anxiety,1,57140,5390,3849,2780,9.76 [9.53-10],6.91 [6.71-7.11],4.97 [4.8-5.15]
Psychiatric disorder,1,3385,359,278,223,10.42 [9.51-11.42],7.88 [7.08-8.76],6.05 [5.35-6.84]
symptomatic,1,92116,27039,17167,10970,28.26 [27.98-28.54],17.73 [17.49-17.97],11.31 [11.11-11.51]
