Variable,Category,total,Number with 1 or more symptoms,Number with 2 or more symptoms,Number with 3 or more symptoms,Prevalence 1 or more symptoms (unweighted),Prevalence 2 or more symptoms (unweighted),Prevalence 3 or more symptoms (unweighted)
Heart disease or heart problems,1,21430,1290,893,629,6.02 [5.71-6.35],4.17 [3.91-4.44],2.94 [2.72-3.17]
Hypertension (high blood pressure),1,65792,3373,2231,1433,5.13 [4.96-5.3],3.39 [3.26-3.53],2.18 [2.07-2.29]
Stroke,1,3352,182,124,92,5.43 [4.71-6.25],3.7 [3.11-4.39],2.74 [2.24-3.35]
Kidney disease,1,3867,278,201,132,7.19 [6.42-8.05],5.2 [4.54-5.94],3.41 [2.89-4.03]
Liver disease,1,2107,155,111,81,7.36 [6.32-8.55],5.27 [4.39-6.31],3.84 [3.1-4.75]
Anemia,1,7575,719,510,362,9.49 [8.85-10.17],6.73 [6.19-7.32],4.78 [4.32-5.28]
Asthma,1,51337,3838,2635,1727,7.48 [7.25-7.71],5.13 [4.95-5.33],3.36 [3.21-3.52]
Other lung condition,1,12500,992,719,541,7.94 [7.47-8.42],5.75 [5.36-6.17],4.33 [3.99-4.7]
Cancer,1,8042,332,217,153,4.13 [3.71-4.59],2.7 [2.37-3.08],1.9 [1.63-2.22]
Condition affecting the brain and nerves,1,5415,336,266,200,6.2 [5.59-6.88],4.91 [4.37-5.52],3.69 [3.22-4.23]
A weakened immune system/reduced ability to deal with infections,1,19302,1597,1201,868,8.27 [7.89-8.67],6.22 [5.89-6.57],4.5 [4.21-4.8]
Depression,1,38125,3541,2487,1733,9.29 [9-9.58],6.52 [6.28-6.78],4.55 [4.34-4.76]
Anxiety,1,57140,4919,3358,2219,8.61 [8.38-8.84],5.88 [5.69-6.07],3.88 [3.73-4.04]
Psychiatric disorder,1,3385,334,244,186,9.87 [8.91-10.92],7.21 [6.38-8.13],5.49 [4.78-6.31]
symptomatic,1,92116,23312,14135,8306,25.31 [25.03-25.59],15.34 [15.11-15.58],9.02 [8.83-9.2]
